table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2016,field_2017,field_2018,field_2019_total,field_2019_principal_investigators,field_2019_other_personnel
3191,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['432', 'i']","['432', 'i']","['432', 'i']","['432', '']","['53', '']","['379', '']"
3191,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['89', '']","['94', '']","['89', '']","['89', 'i']","['32', 'i']","['57', 'i']"
3191,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['1,690', '']","['2,229', '']","['2,380', '']","['4,200', '']","['1,200', '']","['3,000', '']"
3191,r006,Alabama -> Public -> Jacksonville State U.,Alabama,Public,Jacksonville State U.,3,"['61', '']","['16', 'i']","['16', '']","['17', '']","['4', '']","['13', '']"
3191,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['5,093', '']","['4,842', '']","['5,085', '']","['5,373', '']","['858', '']","['4,515', '']"
3191,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['1,134', '']","['1,258', '']","['1,151', '']","['1,207', '']","['203', '']","['1,004', '']"
3191,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['1,223', '']","['1,258', '']","['1,323', '']","['1,499', '']","['339', '']","['1,160', '']"
3191,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['464', '']","['425', '']","['416', '']","['500', '']","['144', '']","['356', '']"
