table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12584,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,1366,1411,1498,3.3,6.2
12584,r002,R&D and R&D plant -> Hospital and medical care for veterans (703),R&D and R&D plant,Hospital and medical care for veterans (703),,,,2,1366,1411,1498,3.3,6.2
12584,r003,R&D and R&D plant -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs,R&D and R&D plant,Hospital and medical care for veterans (703),Department of Veterans Affairs,,,3,1366,1411,1498,3.3,6.2
12584,r004,R&D and R&D plant -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs -> Medical and prosthetic research,R&D and R&D plant,Hospital and medical care for veterans (703),Department of Veterans Affairs,Medical and prosthetic research,,4,750,795,882,6.0,10.9
12584,r005,R&D and R&D plant -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs -> Medical services,R&D and R&D plant,Hospital and medical care for veterans (703),Department of Veterans Affairs,Medical services,,4,616,616,616,0.0,0.0
12584,r006,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,1366,1411,1498,3.3,6.2
12584,r007,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703),R&D and R&D plant,R&D,Hospital and medical care for veterans (703),,,3,1366,1411,1498,3.3,6.2
12584,r008,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs,R&D and R&D plant,R&D,Hospital and medical care for veterans (703),Department of Veterans Affairs,,4,1366,1411,1498,3.3,6.2
12584,r009,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs -> Medical and prosthetic research,R&D and R&D plant,R&D,Hospital and medical care for veterans (703),Department of Veterans Affairs,Medical and prosthetic research,5,750,795,882,6.0,10.9
12584,r010,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs -> Medical services,R&D and R&D plant,R&D,Hospital and medical care for veterans (703),Department of Veterans Affairs,Medical services,5,616,616,616,0.0,0.0
