table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022,field_2023_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2023_atmospheric_science_and_meteorology,field_2023_geological_and_earth_sciences,field_2023_ocean_sciences_and_marine_sciences,field_2023_geosciences_atmospheric_sciences_and_ocean_sciences_nec
12689,r001,All institutions,All institutions,,1,-,"['2,108,912', '']","['2,144,414', '']","['2,440,465', '']","['2,693,891', '']","['583,161', '']","['921,482', '']","['891,194', '']","['298,054', '']"
12689,r002,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,1,"['128,962', '']","['107,137', '']","['122,993', '']","['169,439', '']","['0', '']","['23,281', '']","['146,158', '']","['0', '']"
12689,r003,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,2,"['115,744', '']","['129,085', '']","['129,264', 'i']","['154,295', '']","['32,606', 'i']","['64,517', 'i']","['47,738', 'i']","['9,434', 'i']"
12689,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['114,555', '']","['105,493', '']","['131,461', '']","['135,638', '']","['58,249', '']","['11,003', '']","['61,819', '']","['4,567', '']"
12689,r005,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,4,"['116,177', '']","['116,175', '']","['126,188', '']","['134,584', '']","['25,653', '']","['17,360', '']","['2,617', '']","['88,954', '']"
12689,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['82,072', '']","['81,667', '']","['97,109', '']","['99,602', '']","['5,372', '']","['6,156', '']","['84,815', '']","['3,259', '']"
12689,r007,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,6,"['54,408', '']","['76,984', '']","['102,308', '']","['95,819', '']","['10,191', '']","['58,030', '']","['27,264', '']","['334', '']"
12689,r008,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,7,"['41,304', '']","['44,691', '']","['74,212', '']","['92,244', '']","['31,674', '']","['6,921', '']","['53,649', '']","['0', '']"
12689,r009,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,8,"['51,008', '']","['55,924', '']","['68,050', '']","['74,204', '']","['7,474', '']","['51,376', '']","['978', '']","['14,376', '']"
12689,r010,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,9,"['59,766', '']","['73,509', '']","['90,660', '']","['67,703', '']","['10,976', '']","['28,152', '']","['21,952', '']","['6,623', '']"
12689,r011,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,10,"['64,742', '']","['69,382', '']","['71,650', '']","['64,382', '']","['61,619', '']","['2,739', '']","['0', '']","['24', '']"
12689,r012,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,11,"['54,388', '']","['53,955', '']","['59,425', '']","['63,561', '']","['6,981', '']","['20,187', '']","['36,393', '']","['0', '']"
12689,r013,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,12,"['47,728', '']","['45,399', '']","['48,908', '']","['56,127', '']","['1,658', '']","['13,958', '']","['36,240', '']","['4,271', '']"
12689,r014,All institutions -> U. Miami,All institutions,U. Miami,2,13,"['39,430', '']","['44,559', '']","['50,038', '']","['52,297', '']","['35,033', '']","['0', '']","['16,534', '']","['730', '']"
12689,r015,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,14,"['33,730', '']","['37,629', '']","['41,103', '']","['50,415', '']","['1,888', '']","['13,952', '']","['22,465', '']","['12,110', '']"
12689,r016,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,15,"['55,722', '']","['46,601', '']","['44,116', '']","['48,659', '']","['43,350', '']","['4,434', '']","['101', '']","['774', '']"
12689,r017,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,16,"['25,349', '']","['33,815', '']","['42,342', '']","['45,185', '']","['0', '']","['2,507', '']","['33,565', '']","['9,113', '']"
12689,r018,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,17,"['35,879', '']","['35,050', '']","['38,120', '']","['44,661', '']","['31,905', '']","['7,341', '']","['0', '']","['5,415', '']"
12689,r019,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,18,"['54,650', '']","['49,889', '']","['47,652', '']","['41,166', '']","['125', '']","['41,006', '']","['35', '']","['0', '']"
12689,r020,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,19,"['27,134', '']","['31,060', '']","['37,619', '']","['38,858', '']","['10,025', '']","['26,680', '']","['0', '']","['2,153', '']"
12689,r021,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,20,"['12,497', '']","['12,883', '']","['16,989', '']","['30,538', '']","['24,765', '']","['3,101', '']","['2,448', '']","['224', '']"
12689,r022,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,21,"['27,071', '']","['25,067', '']","['34,882', '']","['30,338', '']","['0', '']","['26,621', '']","['0', '']","['3,717', '']"
