table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_hierarchy_depth,field_employment
1636,r001,All occupations,All occupations,,,1,17002829
1636,r002,All occupations -> Architecture and engineering occupations,All occupations,Architecture and engineering occupations,,2,820722
1636,r003,All occupations -> Architecture and engineering occupations -> Aerospace engineers,All occupations,Architecture and engineering occupations,Aerospace engineers,3,14817
1636,r004,"All occupations -> Architecture and engineering occupations -> Architects, except naval",All occupations,Architecture and engineering occupations,"Architects, except naval",3,16343
1636,r005,All occupations -> Architecture and engineering occupations -> Biomedical engineers,All occupations,Architecture and engineering occupations,Biomedical engineers,3,2251
1636,r006,All occupations -> Architecture and engineering occupations -> Chemical engineers,All occupations,Architecture and engineering occupations,Chemical engineers,3,4590
1636,r007,All occupations -> Architecture and engineering occupations -> Civil engineers,All occupations,Architecture and engineering occupations,Civil engineers,3,40535
1636,r008,All occupations -> Architecture and engineering occupations -> Computer hardware engineers,All occupations,Architecture and engineering occupations,Computer hardware engineers,3,10147
1636,r009,All occupations -> Architecture and engineering occupations -> Drafters,All occupations,Architecture and engineering occupations,Drafters,3,111986
1636,r010,All occupations -> Architecture and engineering occupations -> Electrical and electronics engineers,All occupations,Architecture and engineering occupations,Electrical and electronics engineers,3,44860
1636,r011,"All occupations -> Architecture and engineering occupations -> Engineering technicians, except drafters",All occupations,Architecture and engineering occupations,"Engineering technicians, except drafters",3,282729
1636,r012,"All occupations -> Architecture and engineering occupations -> Engineers, all other",All occupations,Architecture and engineering occupations,"Engineers, all other",3,98116
1636,r013,All occupations -> Architecture and engineering occupations -> Environmental engineers,All occupations,Architecture and engineering occupations,Environmental engineers,3,3179
1636,r014,"All occupations -> Architecture and engineering occupations -> Industrial engineers, including health and safety",All occupations,Architecture and engineering occupations,"Industrial engineers, including health and safety",3,58093
1636,r015,All occupations -> Architecture and engineering occupations -> Marine engineers and naval architects,All occupations,Architecture and engineering occupations,Marine engineers and naval architects,3,3385
1636,r016,All occupations -> Architecture and engineering occupations -> Materials engineers,All occupations,Architecture and engineering occupations,Materials engineers,3,9022
1636,r017,All occupations -> Architecture and engineering occupations -> Mechanical engineers,All occupations,Architecture and engineering occupations,Mechanical engineers,3,57159
1636,r018,All occupations -> Architecture and engineering occupations -> Petroleum engineers,All occupations,Architecture and engineering occupations,Petroleum engineers,3,6223
1636,r019,All occupations -> Architecture and engineering occupations -> Surveying and mapping technicians,All occupations,Architecture and engineering occupations,Surveying and mapping technicians,3,50951
1636,r020,"All occupations -> Architecture and engineering occupations -> Surveyors, cartographers, and photogrammetrists",All occupations,Architecture and engineering occupations,"Surveyors, cartographers, and photogrammetrists",3,6336
1636,r021,"All occupations -> Arts, design, entertainment, sports, and media occupations",All occupations,"Arts, design, entertainment, sports, and media occupations",,2,172073
1636,r022,"All occupations -> Arts, design, entertainment, sports, and media occupations -> Broadcast and sound engineering technicians and radio operators",All occupations,"Arts, design, entertainment, sports, and media occupations",Broadcast and sound engineering technicians and radio operators,3,60549
1636,r023,"All occupations -> Arts, design, entertainment, sports, and media occupations -> Photographers",All occupations,"Arts, design, entertainment, sports, and media occupations",Photographers,3,75542
1636,r024,"All occupations -> Arts, design, entertainment, sports, and media occupations -> Technical writers",All occupations,"Arts, design, entertainment, sports, and media occupations",Technical writers,3,14358
1636,r025,"All occupations -> Arts, design, entertainment, sports, and media occupations -> Television, video, and motion picture camera operators and editors",All occupations,"Arts, design, entertainment, sports, and media occupations","Television, video, and motion picture camera operators and editors",3,21624
1636,r026,All occupations -> Business and financial operations occupations,All occupations,Business and financial operations occupations,,2,251418
1636,r027,All occupations -> Business and financial operations occupations -> Appraisers and assessors of real estate,All occupations,Business and financial operations occupations,Appraisers and assessors of real estate,3,35683
1636,r028,All occupations -> Business and financial operations occupations -> Logisticians,All occupations,Business and financial operations occupations,Logisticians,3,75039
1636,r029,"All occupations -> Business and financial operations occupations -> Tax examiners and collectors, and revenue agents",All occupations,Business and financial operations occupations,"Tax examiners and collectors, and revenue agents",3,25111
1636,r030,"All occupations -> Business and financial operations occupations -> Wholesale and retail buyers, except farm products",All occupations,Business and financial operations occupations,"Wholesale and retail buyers, except farm products",3,115585
1636,r031,All occupations -> Computer and mathematical occupations,All occupations,Computer and mathematical occupations,,2,1322376
1636,r032,All occupations -> Computer and mathematical occupations -> Actuaries,All occupations,Computer and mathematical occupations,Actuaries,3,292
1636,r033,All occupations -> Computer and mathematical occupations -> Computer and information research scientists,All occupations,Computer and mathematical occupations,Computer and information research scientists,3,614
1636,r034,All occupations -> Computer and mathematical occupations -> Computer network architects,All occupations,Computer and mathematical occupations,Computer network architects,3,44698
1636,r035,"All occupations -> Computer and mathematical occupations -> Computer occupations, all other",All occupations,Computer and mathematical occupations,"Computer occupations, all other",3,292350
1636,r036,All occupations -> Computer and mathematical occupations -> Computer programmers,All occupations,Computer and mathematical occupations,Computer programmers,3,99088
1636,r037,All occupations -> Computer and mathematical occupations -> Computer support specialists,All occupations,Computer and mathematical occupations,Computer support specialists,3,322811
1636,r038,All occupations -> Computer and mathematical occupations -> Computer systems analysts,All occupations,Computer and mathematical occupations,Computer systems analysts,3,131080
1636,r039,All occupations -> Computer and mathematical occupations -> Database administrators,All occupations,Computer and mathematical occupations,Database administrators,3,30626
1636,r040,All occupations -> Computer and mathematical occupations -> Information security analysts,All occupations,Computer and mathematical occupations,Information security analysts,3,29472
1636,r041,All occupations -> Computer and mathematical occupations -> Miscellaneous mathematical science occupations,All occupations,Computer and mathematical occupations,Miscellaneous mathematical science occupations,3,4939
1636,r042,All occupations -> Computer and mathematical occupations -> Network and computer systems administrators,All occupations,Computer and mathematical occupations,Network and computer systems administrators,3,85465
1636,r043,All occupations -> Computer and mathematical occupations -> Operations research analysts,All occupations,Computer and mathematical occupations,Operations research analysts,3,35719
1636,r044,"All occupations -> Computer and mathematical occupations -> Software developers, applications and systems software",All occupations,Computer and mathematical occupations,"Software developers, applications and systems software",3,190212
1636,r045,All occupations -> Computer and mathematical occupations -> Web developers,All occupations,Computer and mathematical occupations,Web developers,3,55010
1636,r046,All occupations -> Construction and extraction occupations,All occupations,Construction and extraction occupations,,2,3552569
1636,r047,All occupations -> Construction and extraction occupations -> Boilermakers,All occupations,Construction and extraction occupations,Boilermakers,3,13629
1636,r048,"All occupations -> Construction and extraction occupations -> Brickmasons, blockmasons, and stonemasons",All occupations,Construction and extraction occupations,"Brickmasons, blockmasons, and stonemasons",3,133466
1636,r049,All occupations -> Construction and extraction occupations -> Carpenters,All occupations,Construction and extraction occupations,Carpenters,3,1073301
1636,r050,All occupations -> Construction and extraction occupations -> Construction and building inspectors,All occupations,Construction and extraction occupations,Construction and building inspectors,3,64108
1636,r051,"All occupations -> Construction and extraction occupations -> Derrick, rotary drill, and service unit operators, oil, gas, and mining",All occupations,Construction and extraction occupations,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",3,23853
1636,r052,"All occupations -> Construction and extraction occupations -> Drywall installers, ceiling tile installers, and tapers",All occupations,Construction and extraction occupations,"Drywall installers, ceiling tile installers, and tapers",3,128315
