table_id,row_id,time_period,_b_total_in_survey_b_level_1,_b_total_in_survey_b_level_2,_b_total_in_survey_b_level_3,_b_total_in_survey_b_hierarchy_depth,value
6018,r001,"Fall 2020, all surveyed fields<sup>a</sup>",Total in survey,Master's students,Full time,3,243859
6018,r002,"Fall 2020, all surveyed fields<sup>a</sup>",Total in survey,Master's students,Part time,3,170619
6018,r003,"Fall 2020, all surveyed fields<sup>a</sup>",Total in survey,Doctoral students,Full time,3,247656
6018,r004,"Fall 2020, all surveyed fields<sup>a</sup>",Total in survey,Doctoral students,Part time,3,35679
6018,r005,"Fall 2020, all surveyed fields<sup>a</sup>",Number imputed,Master's students,Full time,3,6582
6018,r006,"Fall 2020, all surveyed fields<sup>a</sup>",Number imputed,Master's students,Part time,3,3837
6018,r007,"Fall 2020, all surveyed fields<sup>a</sup>",Number imputed,Doctoral students,Full time,3,6512
6018,r008,"Fall 2020, all surveyed fields<sup>a</sup>",Number imputed,Doctoral students,Part time,3,993
6018,r009,"Fall 2020, all surveyed fields<sup>a</sup>",Imputation rate (%),Master's students,Full time,3,2.7
6018,r010,"Fall 2020, all surveyed fields<sup>a</sup>",Imputation rate (%),Master's students,Part time,3,2.2
6018,r011,"Fall 2020, all surveyed fields<sup>a</sup>",Imputation rate (%),Doctoral students,Full time,3,2.6
6018,r012,"Fall 2020, all surveyed fields<sup>a</sup>",Imputation rate (%),Doctoral students,Part time,3,2.8
6018,r013,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Total in survey,Master's students,Full time,3,155502
6018,r014,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Total in survey,Master's students,Part time,3,112402
6018,r015,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Total in survey,Doctoral students,Full time,3,175039
6018,r016,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Total in survey,Doctoral students,Part time,3,21703
6018,r017,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Number imputed,Master's students,Full time,3,4867
6018,r018,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Number imputed,Master's students,Part time,3,2712
6018,r019,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Number imputed,Doctoral students,Full time,3,5558
6018,r020,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Number imputed,Doctoral students,Part time,3,558
6018,r021,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Imputation rate (%),Master's students,Full time,3,3.1
6018,r022,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Imputation rate (%),Master's students,Part time,3,2.4
6018,r023,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Imputation rate (%),Doctoral students,Full time,3,3.2
6018,r024,"Fall 2020, all surveyed fields<sup>a</sup> -> Science",Imputation rate (%),Doctoral students,Part time,3,2.6
6018,r025,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Total in survey,Master's students,Full time,3,3731
6018,r026,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Total in survey,Master's students,Part time,3,2756
6018,r027,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Total in survey,Doctoral students,Full time,3,3540
6018,r028,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Total in survey,Doctoral students,Part time,3,773
6018,r029,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Number imputed,Master's students,Full time,3,64
6018,r030,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Number imputed,Master's students,Part time,3,52
6018,r031,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Number imputed,Doctoral students,Full time,3,40
6018,r032,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Number imputed,Doctoral students,Part time,3,6
6018,r033,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Master's students,Full time,3,1.7
6018,r034,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Master's students,Part time,3,1.9
6018,r035,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Doctoral students,Full time,3,1.1
6018,r036,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Doctoral students,Part time,3,0.8
6018,r037,"Fall 2020, all surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences",Total in survey,Master's students,Full time,3,26473
