table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_agricultural_sciences_and_natural_resources_conservation_2016,field_total_agricultural_sciences_and_natural_resources_conservation_2017,field_total_agricultural_sciences_and_natural_resources_conservation_2018,field_total_agricultural_sciences_and_natural_resources_conservation_2019,field__agricultural_sciences_2019,field__natural_resources_and_conservation_2019,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2016,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2017,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2018,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2019,field__agricultural_sciences_2019,field__natural_resources_and_conservation_2019
3160,r001,All institutions,All institutions,,1,-,"['3,981,534', '']","['3,964,817', '']","['4,087,552', '']","['4,266,544', '']","['3,428,585', '']","['837,959', '']","['1,291,555', '']","['1,247,111', '']","['1,269,298', '']","['1,357,437', '']","['989,573', '']","['367,864', '']"
3160,r002,All institutions -> U. Florida,All institutions,U. Florida,2,1,"['175,833', '']","['183,183', '']","['195,362', '']","['203,199', '']","['182,978', '']","['20,221', '']","['38,507', '']","['36,668', '']","['40,329', '']","['47,246', '']","['41,031', '']","['6,215', '']"
3160,r003,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,2,"['179,738', '']","['192,639', '']","['190,226', '']","['197,366', '']","['184,299', '']","['13,067', '']","['37,884', '']","['41,602', '']","['44,092', '']","['50,436', '']","['42,001', '']","['8,435', '']"
3160,r004,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,3,"['142,581', '']","['141,734', '']","['155,642', '']","['153,739', '']","['153,739', '']","['0', '']","['38,682', '']","['32,218', '']","['32,921', '']","['34,738', '']","['34,738', '']","['0', '']"
3160,r005,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,4,"['134,890', '']","['145,456', '']","['151,818', '']","['152,185', '']","['136,723', '']","['15,462', '']","['50,980', '']","['56,810', '']","['55,336', '']","['54,697', '']","['52,627', '']","['2,070', '']"
3160,r006,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,5,"['130,723', '']","['127,962', '']","['126,486', '']","['138,419', '']","['138,419', '']","['0', '']","['39,395', '']","['38,781', '']","['37,846', '']","['36,973', '']","['36,973', '']","['0', '']"
3160,r007,All institutions -> Cornell U.,All institutions,Cornell U.,2,6,"['119,342', '']","['113,483', '']","['129,201', '']","['138,182', '']","['118,509', '']","['19,673', '']","['34,264', '']","['32,830', '']","['32,841', '']","['36,625', '']","['33,439', '']","['3,186', '']"
3160,r008,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,7,"['130,936', '']","['121,633', '']","['122,775', '']","['131,139', '']","['59,210', '']","['71,929', '']","['42,825', '']","['42,868', '']","['39,805', '']","['49,187', '']","['19,709', '']","['29,478', '']"
3160,r009,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,8,"['121,238', '']","['43,368', '']","['68,172', '']","['123,760', '']","['50,080', '']","['73,680', '']","['88,565', '']","['20,029', '']","['39,558', '']","['85,722', '']","['18,884', '']","['66,838', '']"
3160,r010,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,9,"['107,127', '']","['108,226', '']","['109,175', '']","['116,791', '']","['64,132', '']","['52,659', '']","['26,649', '']","['26,159', '']","['25,879', '']","['26,814', '']","['16,638', '']","['10,176', '']"
3160,r011,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,10,"['103,108', '']","['102,007', '']","['108,148', '']","['112,979', '']","['97,932', '']","['15,047', '']","['21,148', '']","['23,795', '']","['27,443', '']","['29,816', '']","['25,138', '']","['4,678', '']"
3160,r012,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,11,"['122,545', '']","['113,295', '']","['112,533', '']","['111,537', '']","['111,537', '']","['0', '']","['18,755', '']","['22,908', '']","['18,549', '']","['17,763', '']","['17,763', '']","['0', '']"
3160,r013,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,12,"['105,496', '']","['109,002', '']","['105,102', '']","['109,892', '']","['95,384', '']","['14,508', '']","['27,250', '']","['28,314', '']","['28,006', '']","['30,989', '']","['26,606', '']","['4,383', '']"
