table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_2018,field_2019,field__change_2018_19
3057,r001,All R&D fields,All R&D fields,,,,1,79014076,83496348,5.7
3057,r002,All R&D fields -> Science,All R&D fields,Science,,,2,62010922,65418917,5.5
3057,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,2399150,2639334,10.0
3057,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,3160061,3185089,0.8
3057,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,608069,590387,-2.9
3057,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1131945,1120621,-1.0
3057,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1061406,1100653,3.7
3057,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences, nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences, nec",4,358641,373428,4.1
3057,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,45603136,48230138,5.8
3057,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,3311482,3428585,3.5
3057,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,14512898,15386607,6.0
3057,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,25773804,27274318,5.8
3057,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,776070,837959,8.0
3057,r014,"All R&D fields -> Science -> Life sciences -> Life sciences, nec",All R&D fields,Science,Life sciences,"Life sciences, nec",4,1228882,1302669,6.0
