table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
1790,r001,All doctorate recipients (number)<sup>c</sup>,All doctorate recipients (number)<sup>c</sup>,,,,1,55195,12780,6335,4030,8899,10183,4834,5145,2989
1790,r002,All doctorate recipients (number)<sup>c</sup> -> Sex (%),All doctorate recipients (number)<sup>c</sup>,Sex (%),,,2,,,,,,,,,
1790,r003,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>c</sup>,Sex (%),Male,,3,54.0,44.3,66.5,75.5,40.9,75.9,30.9,49.9,48.6
1790,r004,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>c</sup>,Sex (%),Female,,3,46.0,55.7,33.4,24.4,59.1,24.1,69.0,50.0,51.3
1790,r005,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Sex (%),Unknown,,3,0.1,0.1,0.05,0.1,0.05,0.05,0.05,0.1,0.2
1790,r006,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Citizenship (%),,,2,,,,,,,,,
1790,r007,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,64.1,70.7,59.5,43.2,75.3,41.4,83.4,80.7,58.5
1790,r008,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),Temporary visa holder,,3,31.9,26.3,37.5,52.9,19.9,54.8,12.7,14.3,34.5
1790,r009,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),Unknown,,3,4.0,2.9,3.0,4.0,4.8,3.8,3.9,5.0,7.1
1790,r010,All doctorate recipients (number)<sup>c</sup> -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Marital status (%),,,2,,,,,,,,,
1790,r011,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Never married,,3,33.9,34.6,43.4,41.9,29.5,40.8,19.1,27.1,24.9
1790,r012,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Married,,3,43.2,43.3,36.0,39.1,42.3,40.8,57.0,46.7,46.6
1790,r013,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Marriage-like relationship,,3,8.7,10.2,10.1,6.7,11.5,6.2,5.2,10.1,6.1
1790,r014,"All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Marital status (%),"Separated, divorced, widowed",,3,3.1,2.9,1.7,1.7,3.9,1.5,7.2,4.0,4.5
1790,r015,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Unknown,,3,11.0,9.0,8.8,10.6,12.9,10.7,11.5,12.1,17.9
1790,r016,All doctorate recipients (number)<sup>c</sup> -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Bachelor's in same field as doctorate (%)<sup>d</sup>,,,2,56.4,51.3,70.0,64.1,52.1,77.9,23.9,54.2,36.0
1790,r017,All doctorate recipients (number)<sup>c</sup> -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Master's earned (%),,,2,69.6,50.8,53.7,72.4,82.6,71.2,88.8,84.2,79.8
1790,r018,All doctorate recipients (number)<sup>c</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Age at doctorate (median years),,,2,31.4,30.9,29.5,30.2,32.3,29.9,38.2,34.3,34.7
1790,r019,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),,,2,,,,,,,,,
1790,r020,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From bachelor's,,3,8.6,8.2,7.0,7.6,9.3,7.3,14.7,11.0,11.2
1790,r021,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From graduate school start,,3,7.3,6.8,6.3,6.8,7.8,6.7,11.9,9.4,9.2
1790,r022,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From doctoral program start<sup>e</sup>,,3,5.8,5.5,5.7,5.7,6.0,5.3,5.8,6.8,5.2
1790,r023,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),,,2,29798,5659,4214,3043,3641,7726,1496,2567,1452
1790,r024,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,,,,,,
1790,r025,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,58.2,67.8,57.6,43.3,70.1,40.0,81.7,81.2,55.8
1790,r026,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),Temporary visa holder,4,38.0,29.1,39.5,52.9,25.7,56.3,14.2,13.8,37.7
1790,r027,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),Unknown,4,3.8,3.1,2.9,3.8,4.2,3.7,4.1,5.0,6.5
1790,r028,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,,,,,
1790,r029,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,35.9,35.3,44.5,42.7,29.7,41.5,17.4,25.1,23.6
1790,r030,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Married,4,43.3,43.8,35.8,38.8,44.8,41.1,61.9,49.8,50.3
1790,r031,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,7.9,9.9,9.1,6.9,10.4,5.7,5.1,9.2,5.6
1790,r032,"All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,2.0,1.8,1.5,1.6,2.9,1.2,3.7,3.2,3.3
1790,r033,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,10.8,9.2,9.1,10.1,12.2,10.5,11.9,12.7,17.2
1790,r034,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,3,60.4,50.0,70.3,64.4,49.9,79.3,21.9,56.6,35.5
1790,r035,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Master's earned (%),,3,68.6,48.5,55.3,71.5,82.0,72.3,87.8,83.8,79.7
1790,r036,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,31.2,31.1,29.6,30.2,32.8,30.1,38.3,34.5,34.9
1790,r037,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,,
1790,r038,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,8.3,8.1,7.0,7.6,9.4,7.4,14.4,11.0,11.3
1790,r039,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.3,6.8,6.3,6.8,7.9,6.8,11.5,9.6,9.2
1790,r040,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>e</sup>,4,5.7,5.5,5.8,5.7,5.9,5.3,5.7,6.8,5.0
1790,r041,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),,,2,25368,7114,2118,983,5256,2453,3337,2575,1532
1790,r042,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),,3,,,,,,,,,
1790,r043,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,71.2,73.2,63.5,42.9,79.0,46.0,84.2,80.2,61.2
1790,r044,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),Temporary visa holder,4,24.8,24.1,33.6,52.8,15.9,50.3,12.0,14.9,31.5
1790,r045,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),Unknown,4,4.0,2.7,2.9,4.3,5.1,3.7,3.7,4.9,7.3
1790,r046,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,,,,,
1790,r047,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,31.5,34.0,41.3,39.5,29.3,38.4,19.9,29.0,26.2
1790,r048,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Married,4,43.2,43.0,36.5,40.1,40.5,40.1,54.9,43.7,43.2
1790,r049,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,9.7,10.5,12.2,6.1,12.3,7.9,5.2,11.0,6.5
1790,r050,"All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,4.5,3.8,2.0,2.2,4.6,2.4,8.8,4.9,5.7
1790,r051,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,11.1,8.7,8.1,12.1,13.3,11.1,11.2,11.4,18.3
1790,r052,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,3,51.9,52.3,69.5,63.6,53.5,73.5,24.8,52.0,36.5
1790,r053,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Master's earned (%),,3,70.9,52.6,50.4,75.2,83.1,68.0,89.3,84.7,80.2
