table_id,row_id,_b_sex_and_field_b_full_path,_b_sex_and_field_b_level_1,_b_sex_and_field_b_level_2,_b_sex_and_field_b_level_3,_b_sex_and_field_b_level_4,_b_sex_and_field_b_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
4689,r001,All doctorate recipients<sup>c</sup>,All doctorate recipients<sup>c</sup>,,,,1,55283,35289,31845,12289,7744,7831,3981,3430,14
4689,r002,All doctorate recipients<sup>c</sup> -> Life sciences,All doctorate recipients<sup>c</sup>,Life sciences,,,2,12561,7784,7141,4172,1091,1274,604,640,3
4689,r003,All doctorate recipients<sup>c</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Life sciences,Agricultural sciences and natural resources,,3,1472,919,765,354,159,135,117,153,1
4689,r004,All doctorate recipients<sup>c</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Life sciences,Biological and biomedical sciences,,3,8418,5181,4855,3268,431,914,242,325,1
4689,r005,All doctorate recipients<sup>c</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Life sciences,Health sciences,,3,2671,1684,1521,550,501,225,245,162,1
4689,r006,All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,,,2,6247,4047,3648,2104,252,1062,230,399,0
4689,r007,All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,Chemistry,,3,2763,1692,1571,867,104,536,64,121,0
4689,r008,"All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,1243,845,741,463,70,115,93,104,0
4689,r009,All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,2241,1510,1336,774,78,411,73,174,0
4689,r010,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,,,2,4392,3088,2719,738,525,1287,169,365,4
4689,r011,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Computer and information sciences,,3,2361,1687,1497,282,271,848,96,188,2
4689,r012,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,2031,1401,1222,456,254,439,73,177,2
4689,r013,All doctorate recipients<sup>c</sup> -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,,,2,8946,6042,5399,2245,1608,693,853,641,2
4689,r014,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Psychology,,3,3879,2655,2573,1544,417,302,310,82,0
4689,r015,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Anthropology,,3,448,246,206,71,85,11,39,40,0
4689,r016,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Economics,,3,1216,920,693,128,234,194,137,227,0
4689,r017,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Political science and government,,3,637,444,386,126,175,31,54,57,1
4689,r018,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Sociology,,3,607,428,384,106,212,25,41,43,1
4689,r019,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Other social sciences,,3,2159,1349,1157,270,485,130,272,192,0
4689,r020,All doctorate recipients<sup>c</sup> -> Engineering,All doctorate recipients<sup>c</sup>,Engineering,,,2,10476,6607,5985,2149,394,2952,490,618,4
