table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_hierarchy_depth,field_totala,field_u_s_citizen,field_temp_visa_holder,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_temp_visa_holder,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_temp_visa_holder,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_temp_visa_holder,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_temp_visa_holder,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_temp_visa_holder,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_temp_visa_holder,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_temp_visa_holder,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_temp_visa_holder
11727,r001,All doctorate recipients (number),All doctorate recipients (number),,,1,57862,35566,19393,3449,1346,115,6,3828,12821,2725,721,23057,3148,1296,124,459,631,637,596
11727,r002,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,,2,,,,,,,,,,,,,,,,,,,
11727,r003,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Teaching assistantships,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Teaching assistantships,3,21.2,19.7,23.8,18.3,24.0,10.9,0.0,18.1,23.6,11.4,29.1,21.2,23.6,18.1,23.5,19.7,24.1,20.0,23.1
11727,r004,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Research or other assistantships or traineeships<sup>c</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Research or other assistantships or traineeships<sup>c</sup>,3,35.6,28.8,48.1,22.7,36.4,6.5,,35.9,52.7,16.1,41.8,30.1,37.1,29.9,34.5,28.0,,15.3,42.0
11727,r005,"All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Fellowships, scholarships, or dissertation grants",All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,"Fellowships, scholarships, or dissertation grants",3,24.6,26.7,20.7,35.3,28.9,42.4,0.0,30.2,17.9,26.7,19.8,24.6,27.8,30.6,28.6,27.7,26.6,29.4,23.1
11727,r006,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Own resources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Own resources,3,14.7,20.4,4.1,20.5,3.1,32.6,,12.5,4.0,40.8,7.1,19.4,4.1,17.5,,21.7,,29.4,7.7
11727,r007,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Employer or other sources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Employer or other sources,3,4.0,4.4,3.3,3.2,7.6,7.6,0.0,3.4,1.7,4.9,2.2,4.7,7.4,3.9,10.1,2.9,9.4,5.9,4.2
11727,r008,All doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,2,60.6,61.3,61.5,61.7,65.6,49.5,,60.0,60.7,48.1,57.0,63.1,64.2,64.6,,61.2,60.0,45.9,51.9
11727,r009,All doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number),Master's earned (%),,2,73.2,70.4,79.9,70.4,82.7,84.2,100.0,67.6,77.0,85.4,87.7,69.4,88.2,63.8,82.5,69.6,82.5,76.4,81.5
11727,r010,All doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),3,44.6,50.0,35.9,51.6,36.2,43.0,,48.9,37.3,39.8,36.2,51.2,29.9,58.0,49.0,44.8,,41.2,35.3
11727,r011,All doctorate recipients (number) -> Marital status (%),All doctorate recipients (number),Marital status (%),,2,,,,,,,,,,,,,,,,,,,
11727,r012,All doctorate recipients (number) -> Marital status (%) -> Not married<sup>e</sup>,All doctorate recipients (number),Marital status (%),Not married<sup>e</sup>,3,41.5,39.4,51.4,41.5,47.1,24.3,,42.7,56.5,49.4,44.9,38.2,49.8,46.3,40.3,28.5,,8.6,9.1
11727,r013,All doctorate recipients (number) -> Marital status (%) -> Married or in marriage-like relationship,All doctorate recipients (number),Marital status (%),Married or in marriage-like relationship,3,46.5,53.4,40.7,50.8,49.1,54.8,,51.9,40.3,42.9,50.8,56.8,46.9,51.0,55.6,39.2,,12.4,9.7
11727,r014,All doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number),Marital status (%),Unknown,3,12.0,7.2,7.9,7.7,3.8,20.9,,5.4,3.2,7.7,4.3,5.0,3.4,2.7,4.0,32.2,,79.0,81.2
11727,r015,All doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number),Has dependent age 18 or younger (%),,2,19.2,21.0,15.7,19.7,16.7,35.2,0.0,19.3,12.9,30.9,41.7,20.6,19.6,16.0,25.8,19.9,20.7,24.0,20.0
11727,r016,All doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number),Has one or more functional limitations (%),,2,14.2,16.2,10.2,20.9,13.8,24.2,0.0,12.2,9.6,14.8,10.0,16.2,10.8,18.8,17.2,19.1,17.5,18.5,13.6
11727,r017,All doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number),Age at doctorate (median years),,2,31.4,31.6,31.2,31.9,33.3,36.2,,31.0,30.6,35.4,34.3,31.4,32.3,30.7,31.3,32.5,,32.3,32.1
11727,r018,All doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number),Time to doctorate (median years),,2,,,,,,,,,,,,,,,,,,,
11727,r019,All doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,3,8.6,8.8,8.3,8.6,9.5,11.4,,8.3,8.0,11.4,10.5,8.6,9.4,8.0,8.6,9.2,8.8,9.6,9.0
11727,r020,All doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number),Time to doctorate (median years),From graduate school start,3,7.2,7.1,7.3,7.3,7.9,8.8,,7.0,7.0,9.7,7.9,7.0,8.0,6.8,7.0,7.6,7.3,8.1,7.7
11727,r021,All doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>f</sup>,All doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>f</sup>,3,5.7,5.8,5.3,5.8,5.4,5.8,,5.8,5.3,5.8,4.9,5.8,5.6,5.8,5.8,5.8,5.6,5.8,5.7
11727,r022,All doctorate recipients (number) -> Time to doctorate (median years) -> Received tuition remission (%),All doctorate recipients (number),Time to doctorate (median years),Received tuition remission (%),3,85.6,84.1,88.8,81.1,84.7,73.1,,86.1,91.6,67.5,85.2,86.1,81.3,86.0,78.8,83.4,,75.3,82.7
