table_id,row_id,class_prevalence_full_path,class_prevalence_level_1,class_prevalence_level_2,class_prevalence_hierarchy_depth,field_response_very_important,field_response_somewhat_important,field_response_unimportant
6861,r001,Class 1 (27.6%): Everything Is Very Important,Class 1 (27.6%): Everything Is Very Important,,1,,,
6861,r002,Class 1 (27.6%): Everything Is Very Important -> Salary,Class 1 (27.6%): Everything Is Very Important,Salary,2,0.879,0.118,0.003
6861,r003,Class 1 (27.6%): Everything Is Very Important -> Benefits,Class 1 (27.6%): Everything Is Very Important,Benefits,2,0.96,0.031,0.009
6861,r004,Class 1 (27.6%): Everything Is Very Important -> Security,Class 1 (27.6%): Everything Is Very Important,Security,2,0.886,0.101,0.013
6861,r005,Class 1 (27.6%): Everything Is Very Important -> Location,Class 1 (27.6%): Everything Is Very Important,Location,2,0.756,0.221,0.023
6861,r006,Class 1 (27.6%): Everything Is Very Important -> Opportunities,Class 1 (27.6%): Everything Is Very Important,Opportunities,2,0.795,0.175,0.031
6861,r007,Class 1 (27.6%): Everything Is Very Important -> Challenge,Class 1 (27.6%): Everything Is Very Important,Challenge,2,0.992,0.008,0.0
6861,r008,Class 1 (27.6%): Everything Is Very Important -> Responsibility,Class 1 (27.6%): Everything Is Very Important,Responsibility,2,0.885,0.111,0.004
6861,r009,Class 1 (27.6%): Everything Is Very Important -> Independence,Class 1 (27.6%): Everything Is Very Important,Independence,2,0.959,0.04,0.001
6861,r010,Class 1 (27.6%): Everything Is Very Important -> Contribution,Class 1 (27.6%): Everything Is Very Important,Contribution,2,0.864,0.12,0.015
6861,r011,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits,,1,,,
6861,r012,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits -> Salary,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits,Salary,2,0.169,0.806,0.024
6861,r013,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits -> Benefits,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits,Benefits,2,0.194,0.767,0.039
6861,r014,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits -> Security,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits,Security,2,0.331,0.594,0.075
6861,r015,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits -> Location,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits,Location,2,0.495,0.454,0.051
6861,r016,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits -> Opportunities,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits,Opportunities,2,0.396,0.509,0.095
6861,r017,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits -> Challenge,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits,Challenge,2,0.959,0.04,0.0
6861,r018,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits -> Responsibility,Class 2 (25.8%): Challenge and Independence Are More Important than Salary and Benefits,Responsibility,2,0.613,0.371,0.016
