table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_did_not_have_a_career_advisor,field_had_a_career_advisor,field_position_of_primary_career_advisor_direct_supervisor,field_position_of_primary_career_advisor_senior_colleague,field_position_of_primary_career_advisor_peer_or_colleague,field_position_of_primary_career_advisor_doctoral_degree_advisor,field_position_of_primary_career_advisor_someone_else
3808,r001,All early career doctorates,All early career doctorates,,,,1,186700,8.7,91.3,32.5,31.1,14.5,17.3,4.5
3808,r002,All early career doctorates -> Sex,All early career doctorates,Sex,,,2,,,,,,,,
3808,r003,All early career doctorates -> Sex -> Female,All early career doctorates,Sex,Female,,3,89400,8.0,92.0,29.4,32.7,15.7,16.8,5.3
3808,r004,All early career doctorates -> Sex -> Male,All early career doctorates,Sex,Male,,3,97300,9.4,90.6,35.4,29.6,13.3,17.9,3.8
3808,r005,All early career doctorates -> Citizenship and sex,All early career doctorates,Citizenship and sex,,,2,,,,,,,,
3808,r006,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,,3,156100,8.9,91.1,28.8,33.8,15.8,16.9,4.7
3808,r007,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,4,79900,8.1,91.9,28.0,34.1,16.6,16.0,5.3
3808,r008,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,4,76300,9.7,90.3,29.6,33.4,15.0,17.8,4.1
3808,r009,All early career doctorates -> Citizenship and sex -> Temporary visa holder,All early career doctorates,Citizenship and sex,Temporary visa holder,,3,30600,8.1,91.9,51.2,17.7,7.7,19.7,3.7
3808,r010,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,All early career doctorates,Citizenship and sex,Temporary visa holder,Female,4,9600,7.6,92.4,41.1,21.3,8.2,23.7,5.7
3808,r011,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,All early career doctorates,Citizenship and sex,Temporary visa holder,Male,4,21000,8.3,91.7,55.8,16.0,7.4,17.9,2.8
3808,r012,All early career doctorates -> Ethnicity and race,All early career doctorates,Ethnicity and race,,,2,,,,,,,,
3808,r013,All early career doctorates -> Ethnicity and race -> Hispanic or Latino,All early career doctorates,Ethnicity and race,Hispanic or Latino,,3,13600,8.5,91.5,32.8,29.9,14.5,18.4,4.4
3808,r014,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,
3808,r015,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Asian,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Asian,4,37600,8.3,91.7,42.8,23.9,9.4,20.3,3.7
3808,r016,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,10100,7.5,92.5,22.7,33.9,16.2,16.6,10.6
3808,r017,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> White,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,White,4,120800,9.1,90.9,30.5,33.2,15.8,16.3,4.2
3808,r018,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,4,4700,5.8,94.2,23.1,32.6,17.0,20.1,7.2
3808,r019,All early career doctorates -> Age quartile,All early career doctorates,Age quartile,,,2,,,,,,,,
3808,r020,All early career doctorates -> Age quartile -> 32 years and under,All early career doctorates,Age quartile,32 years and under,,3,38400,6.2,93.8,43.7,22.2,9.4,20.6,4.0
3808,r021,All early career doctorates -> Age quartile -> 33&#8211;35 year,All early career doctorates,Age quartile,33&#8211;35 year,,3,51100,5.8,94.2,32.8,31.8,13.0,18.8,3.6
3808,r022,All early career doctorates -> Age quartile -> 36&#8211;40 years,All early career doctorates,Age quartile,36&#8211;40 years,,3,41900,9.5,90.5,26.9,37.2,16.0,15.8,4.1
3808,r023,All early career doctorates -> Age quartile -> 41 years or older,All early career doctorates,Age quartile,41 years or older,,3,55300,12.7,87.3,28.3,32.4,18.5,14.7,6.2
3808,r024,All early career doctorates -> Marital status,All early career doctorates,Marital status,,,2,,,,,,,,
3808,r025,All early career doctorates -> Marital status -> Never married,All early career doctorates,Marital status,Never married,,3,29500,7.4,92.6,34.5,27.0,14.4,19.4,4.7
3808,r026,All early career doctorates -> Marital status -> Married,All early career doctorates,Marital status,Married,,3,135400,8.9,91.1,32.4,31.6,14.3,17.2,4.5
3808,r027,All early career doctorates -> Marital status -> Marriage-like relationship,All early career doctorates,Marital status,Marriage-like relationship,,3,11500,8.9,91.1,28.8,32.2,15.7,18.3,5.0
3808,r028,"All early career doctorates -> Marital status -> Separated, divorced, widowed",All early career doctorates,Marital status,"Separated, divorced, widowed",,3,10300,10.4,89.6,32.4,35.3,15.6,12.9,3.8
3808,r029,All early career doctorates -> Dependents,All early career doctorates,Dependents,,,2,,,,,,,,
3808,r030,All early career doctorates -> Dependents -> With dependents,All early career doctorates,Dependents,With dependents,,3,96800,9.6,90.4,30.5,32.8,15.2,17.0,4.5
3808,r031,All early career doctorates -> Dependents -> Without dependents,All early career doctorates,Dependents,Without dependents,,3,90000,7.9,92.1,34.6,29.4,13.6,17.7,4.6
3808,r032,All early career doctorates -> Disability status,All early career doctorates,Disability status,,,2,,,,,,,,
3808,r033,All early career doctorates -> Disability status -> With disability,All early career doctorates,Disability status,With disability,,3,51700,10.5,89.5,29.2,33.5,15.6,17.1,4.5
3808,r034,All early career doctorates -> Disability status -> Without disability,All early career doctorates,Disability status,Without disability,,3,135000,8.1,91.9,33.8,30.2,14.0,17.4,4.5
