table_id,row_id,field_sex_race_ethnicity_and_disability_status_full_path,field_sex_race_ethnicity_and_disability_status_level_1,field_sex_race_ethnicity_and_disability_status_level_2,field_sex_race_ethnicity_and_disability_status_level_3,field_sex_race_ethnicity_and_disability_status_level_4,field_sex_race_ethnicity_and_disability_status_hierarchy_depth,field_total,field_full_time_student,field_employed_in_s_e_or_s_e_related_occupationsa,field_employed_in_non_s_e_occupationsb,field_not_employed,field_median_salary_for_full_time_employedc_
3300,r001,All S&E and health fields,All S&E and health fields,,,,1,1235000,112000,781000,297000,45000,78000
3300,r002,All S&E and health fields -> Female,All S&E and health fields,Female,,,2,681000,50000,430000,176000,25000,70000
3300,r003,All S&E and health fields -> Male,All S&E and health fields,Male,,,2,553000,62000,351000,121000,19000,84000
3300,r004,All S&E and health fields -> White,All S&E and health fields,White,,,2,730000,52000,469000,183000,25000,74000
3300,r005,All S&E and health fields -> Asian,All S&E and health fields,Asian,,,2,249000,36000,178000,24000,11000,86000
3300,r006,All S&E and health fields -> Underrepresented minority<sup>d</sup>,All S&E and health fields,Underrepresented minority<sup>d</sup>,,,2,216000,21000,107000,82000,7000,69000
3300,r007,All S&E and health fields -> Without disability,All S&E and health fields,Without disability,,,2,1152000,105000,736000,273000,38000,78000
3300,r008,All S&E and health fields -> With disability,All S&E and health fields,With disability,,,2,83000,7000,45000,24000,7000,74000
3300,r009,All S&E and health fields -> Science,All S&E and health fields,Science,,,2,562000,78000,271000,190000,23000,70000
3300,r010,All S&E and health fields -> Science -> Female,All S&E and health fields,Science,Female,,3,280000,35000,117000,113000,15000,60000
3300,r011,All S&E and health fields -> Science -> Male,All S&E and health fields,Science,Male,,3,282000,42000,154000,78000,8000,80000
3300,r012,All S&E and health fields -> Science -> White,All S&E and health fields,Science,White,,3,321000,38000,152000,122000,9000,64000
3300,r013,All S&E and health fields -> Science -> Asian,All S&E and health fields,Science,Asian,,3,120000,21000,74000,16000,8000,92000
