table_id,row_id,_b_field_and_primary_source_of_support_b_full_path,_b_field_and_primary_source_of_support_b_level_1,_b_field_and_primary_source_of_support_b_level_2,_b_field_and_primary_source_of_support_b_level_3,_b_field_and_primary_source_of_support_b_level_4,_b_field_and_primary_source_of_support_b_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
9586,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,57596,30522,27069,35311,19633,3354,98,3586,2647,23320,1210,425,671
9586,r002,"All doctorate recipients reporting primary source of support, all fields (number)","All doctorate recipients reporting primary source of support, all fields (number)",,,,1,51170,27154,24011,32673,18210,3124,79,3328,2429,22095,1168,282,168
9586,r003,"All doctorate recipients reporting primary source of support, all fields (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Teaching assistantships,,,2,21.7,22.1,21.2,19.8,25.0,19.0,13.9,19.3,10.5,21.0,19.6,23.4,20.8
9586,r004,"All doctorate recipients reporting primary source of support, all fields (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Research assistantships or traineeships<sup>b</sup>,,,2,35.0,40.3,29.0,27.9,47.7,21.4,12.7,33.9,14.2,29.6,26.5,23.8,30.4
9586,r005,"All doctorate recipients reporting primary source of support, all fields (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)","Fellowships, scholarships, or dissertation grants",,,2,24.6,22.9,26.6,27.6,19.3,36.3,45.6,31.1,27.8,25.5,33.6,24.8,25.0
9586,r006,"All doctorate recipients reporting primary source of support, all fields (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Own resources,,,2,14.6,10.6,19.2,20.3,4.3,19.9,24.1,13.3,41.7,19.2,17.0,22.3,20.2
9586,r007,"All doctorate recipients reporting primary source of support, all fields (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Employer or other sources,,,2,4.1,4.1,4.1,4.3,3.7,3.4,3.8,2.5,5.8,4.6,3.3,5.7,3.6
9586,r008,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),,,2,41086,22997,18088,24917,15935,2365,50,2802,1501,16926,938,210,125
9586,r009,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Teaching assistantships,,3,20.8,21.3,20.0,18.5,24.3,16.7,,18.2,10.7,19.4,18.4,,19.2
9586,r010,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Research assistantships or traineeships<sup>b</sup>,,3,40.9,45.7,34.9,34.0,51.8,26.0,,37.7,18.2,36.1,31.2,,37.6
