table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_other_fieldsa,field_business_management_and_administration,field_communication,field_non_s_e_fields_nec
2849,r001,All doctorate recipients (number)<sup>b</sup>,All doctorate recipients (number)<sup>b</sup>,,,,1,3034,1536,543,955
2849,r002,All doctorate recipients (number)<sup>b</sup> -> Sex (%),All doctorate recipients (number)<sup>b</sup>,Sex (%),,,2,,,,
2849,r003,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>b</sup>,Sex (%),Male,,3,46.6,56.9,37.8,35.1
2849,r004,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>b</sup>,Sex (%),Female,,3,53.4,43.1,62.2,64.9
2849,r005,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Sex (%),Unknown,,3,0.0,0.0,0.0,0.0
2849,r006,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Citizenship (%),,,2,,,,
2849,r007,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,56.7,48.6,64.3,65.3
2849,r008,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),Temporary visa holder,,3,36.5,44.9,30.0,26.7
2849,r009,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),Unknown,,3,6.8,6.4,5.7,8.0
2849,r010,All doctorate recipients (number)<sup>b</sup> -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Marital status (%),,,2,,,,
2849,r011,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Never married,,3,25.0,25.1,28.9,22.7
2849,r012,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Married,,3,48.3,51.4,42.5,46.6
2849,r013,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Marriage-like relationship,,3,4.4,3.1,7.4,4.8
2849,r014,"All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Marital status (%),"Separated, divorced, widowed",,3,5.6,5.5,5.2,6.2
2849,r015,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Unknown,,3,16.6,15.0,16.0,19.7
2849,r016,All doctorate recipients (number)<sup>b</sup> -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Bachelor's in same field as doctorate (%)<sup>c</sup>,,,2,34.8,36.3,43.3,27.7
2849,r017,All doctorate recipients (number)<sup>b</sup> -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Master's earned (%),,,2,80.4,78.1,84.3,81.8
2849,r018,All doctorate recipients (number)<sup>b</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Age at doctorate (median years),,,2,34.9,34.0,34.0,36.8
2849,r019,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),,,2,,,,
2849,r020,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From bachelor's,,3,11.4,11.0,10.3,13.4
2849,r021,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From graduate school start,,3,9.3,8.9,8.3,11.1
2849,r022,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From doctoral program start<sup>d</sup>,,3,5.1,5.0,5.0,5.8
2849,r023,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),,,2,1414,874,205,335
2849,r024,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,
2849,r025,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,49.9,44.5,58.5,58.5
2849,r026,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),Temporary visa holder,4,42.9,49.3,34.1,31.6
2849,r027,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),Unknown,4,7.2,6.2,7.3,9.9
2849,r028,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,
2849,r029,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,25.0,25.7,27.8,21.5
