table_id,row_id,education_attainment_and_occupation_full_path,education_attainment_and_occupation_level_1,education_attainment_and_occupation_level_2,education_attainment_and_occupation_level_3,education_attainment_and_occupation_level_4,education_attainment_and_occupation_hierarchy_depth,field_number_total,field_number_women,field_number_men,field_median_annual_wage_earnings_total,field_median_annual_wage_earnings_women,field_median_annual_wage_earnings_men
3334,r001,Total employed,Total employed,,,,1,138644920,65534169,73110751,40000,35000,48000
3334,r002,Total employed -> Less than a bachelor's degree,Total employed,Less than a bachelor's degree,,,2,84516506,38019925,46496581,33000,28000,40000
3334,r003,Total employed -> Less than a bachelor's degree -> Total skilled technical workers,Total employed,Less than a bachelor's degree,Total skilled technical workers,,3,17964076,4642244,13321832,46000,41000,48000
3334,r004,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Construction and extraction occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Construction and extraction occupations,4,3697331,74894,3622437,42000,32000,42000
3334,r005,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Health care practitioners and technical occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Health care practitioners and technical occupations,4,3429381,2795089,634292,45000,43000,50000
3334,r006,"Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Installation, maintenance, and repair occupations",Total employed,Less than a bachelor's degree,Total skilled technical workers,"Installation, maintenance, and repair occupations",4,3675517,130140,3545377,46000,37000,47000
3334,r007,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Production occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Production occupations,4,2611306,545600,2065706,42000,30000,45000
3334,r008,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Architecture and engineering occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Architecture and engineering occupations,4,907931,120435,787496,63000,48000,65000
3334,r009,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Computer and mathematical occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Computer and mathematical occupations,4,1413593,372263,1041330,61000,52000,65000
3334,r010,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> All other skilled technical worker occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,All other skilled technical worker occupations,4,2229017,603823,1625194,45000,40000,47000
3334,r011,Total employed -> Less than a bachelor's degree -> Total non-skilled technical worker occupations,Total employed,Less than a bachelor's degree,Total non-skilled technical worker occupations,,3,66552430,33377681,33174749,30000,26000,35000
3334,r012,Total employed -> Bachelor's degree (all occupations),Total employed,Bachelor's degree (all occupations),,,2,33218584,16562184,16656400,55000,48000,67000
3334,r013,Total employed -> Advanced degree (all occupations),Total employed,Advanced degree (all occupations),,,2,20909830,10952060,9957770,75000,64000,90000
