table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5547,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,44431,43471,51138,-2.2,17.6
5547,r002,R&D and R&D plant -> Consumer and occupational health and safety (554) ,R&D and R&D plant,Consumer and occupational health and safety (554) ,,,,2,507,507,507,0.0,0.0
5547,r003,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Consumer Product Safety Commission,R&D and R&D plant,Consumer and occupational health and safety (554) ,Consumer Product Safety Commission,,,3,1,1,1,0.0,0.0
5547,r004,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Food and Drug Administration (HHS),R&D and R&D plant,Consumer and occupational health and safety (554) ,Food and Drug Administration (HHS),,,3,506,506,506,0.0,0.0
5547,r005,"R&D and R&D plant -> Health care services and health research and training (551, 552)<sup>a</sup>",R&D and R&D plant,"Health care services and health research and training (551, 552)<sup>a</sup>",,,,2,43924,42964,50631,-2.2,17.8
5547,r006,"R&D and R&D plant -> Health care services and health research and training (551, 552)<sup>a</sup> -> Department of Health and Human Services<sup>b</sup> ",R&D and R&D plant,"Health care services and health research and training (551, 552)<sup>a</sup>",Department of Health and Human Services<sup>b</sup> ,,,3,43924,42964,50631,-2.2,17.8
5547,r007,"R&D and R&D plant -> Health care services and health research and training (551, 552)<sup>a</sup> -> Department of Health and Human Services<sup>b</sup>  -> Agency for Healthcare Research and Quality",R&D and R&D plant,"Health care services and health research and training (551, 552)<sup>a</sup>",Department of Health and Human Services<sup>b</sup> ,Agency for Healthcare Research and Quality,,4,357,357,398,0.0,11.5
5547,r008,"R&D and R&D plant -> Health care services and health research and training (551, 552)<sup>a</sup> -> Department of Health and Human Services<sup>b</sup>  -> Centers for Disease Control and Prevention<sup>c</sup>",R&D and R&D plant,"Health care services and health research and training (551, 552)<sup>a</sup>",Department of Health and Human Services<sup>b</sup> ,Centers for Disease Control and Prevention<sup>c</sup>,,4,404,605,605,49.8,0.0
5547,r009,"R&D and R&D plant -> Health care services and health research and training (551, 552)<sup>a</sup> -> Department of Health and Human Services<sup>b</sup>  -> Departmental management (other)",R&D and R&D plant,"Health care services and health research and training (551, 552)<sup>a</sup>",Department of Health and Human Services<sup>b</sup> ,Departmental management (other),,4,18,18,18,0.0,0.0
5547,r010,"R&D and R&D plant -> Health care services and health research and training (551, 552)<sup>a</sup> -> Department of Health and Human Services<sup>b</sup>  -> Health Resources and Services Administration",R&D and R&D plant,"Health care services and health research and training (551, 552)<sup>a</sup>",Department of Health and Human Services<sup>b</sup> ,Health Resources and Services Administration,,4,28,28,28,0.0,0.0
5547,r011,"R&D and R&D plant -> Health care services and health research and training (551, 552)<sup>a</sup> -> Department of Health and Human Services<sup>b</sup>  -> National Institutes of Health<sup>d</sup>",R&D and R&D plant,"Health care services and health research and training (551, 552)<sup>a</sup>",Department of Health and Human Services<sup>b</sup> ,National Institutes of Health<sup>d</sup>,,4,43117,41956,49582,-2.7,18.2
5547,r012,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,43936,43199,50816,-1.7,17.6
5547,r013,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554) ,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,,,3,465,465,465,0.0,0.0
