table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_other_agency_r_d_expendituresa,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
7997,r001,All institutions,All institutions,,1,-,"['3,547,676', '']","['130,541', '']","['603,772', '']","['717,307', '']","['32,430', '']","['96,377', '']","['69,709', '']","['238,947', '']","['51,312', '']","['996,134', '']","['611,147', '']"
7997,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['174,963', '']","['33,479', '']","['1,472', '']","['13,824', '']","['13,463', '']","['3,907', '']","['0', '']","['758', '']","['7,300', '']","['99,429', '']","['1,331', '']"
7997,r003,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,2,"['148,689', '']","['2,442', '']","['36,122', '']","['58,731', '']","['418', '']","['6,494', '']","['1,718', '']","['831', '']","['131', '']","['15,158', '']","['26,644', '']"
7997,r004,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,3,"['92,824', '']","['788', '']","['57,175', '']","['366', '']","['198', '']","['21,573', '']","['5', '']","['1,258', '']","['142', '']","['7,569', '']","['3,750', '']"
7997,r005,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,4,"['81,278', '']","['7,751', '']","['1,413', '']","['1,660', '']","['12', '']","['3,730', '']","['386', '']","['865', '']","['0', '']","['61,860', '']","['3,601', '']"
7997,r006,All institutions -> U. Maryland<sup>c</sup>,All institutions,U. Maryland<sup>c</sup>,2,5,"['79,983', '']","['8,856', '']","['28,386', '']","['4,004', '']","['52', '']","['2,159', '']","['498', '']","['3,828', '']","['249', '']","['23,051', '']","['8,900', '']"
7997,r007,All institutions -> U. Dayton,All institutions,U. Dayton,2,6,"['71,400', '']","['491', '']","['311', '']","['0', '']","['0', '']","['20', '']","['0', '']","['0', '']","['0', '']","['70,153', '']","['425', '']"
7997,r008,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,7,"['70,480', '']","['967', '']","['36,024', '']","['16,731', '']","['276', '']","['78', '']","['604', '']","['1,558', '']","['0', '']","['8,356', '']","['5,886', '']"
7997,r009,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,8,"['67,336', '']","['2,450', '']","['5,799', '']","['8,839', '']","['0', '']","['17', '']","['11,901', '']","['27,329', '']","['0', '']","['5,740', '']","['5,261', '']"
7997,r010,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,9,"['65,118', '']","['1,286', '']","['8,508', '']","['16,576', '']","['0', '']","['329', '']","['295', '']","['1,670', '']","['1,645', '']","['21,637', '']","['13,172', '']"
7997,r011,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,10,"['65,018', '']","['91', '']","['409', '']","['13,351', '']","['6', '']","['80', '']","['342', '']","['2,767', '']","['14,604', '']","['23,449', '']","['9,919', '']"
7997,r012,All institutions -> Utah State U.,All institutions,Utah State U.,2,11,"['61,159', '']","['47', '']","['26', '']","['5,469', '']","['0', '']","['6', '']","['223', '']","['166', '']","['0', '']","['55,085', '']","['137', '']"
7997,r013,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,12,"['56,130', '']","['5,535', '']","['2,307', '']","['2,247', '']","['405', '']","['234', '']","['945', '']","['649', '']","['0', '']","['42,080', '']","['1,728', '']"
7997,r014,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,13,"['50,647', '']","['392', '']","['23,597', '']","['13,310', '']","['50', '']","['940', '']","['18', '']","['461', '']","['131', '']","['6,012', '']","['5,736', '']"
7997,r015,All institutions -> U. South Florida<sup>d</sup>,All institutions,U. South Florida<sup>d</sup>,2,14,"['50,442', '']","['145', '']","['5,002', '']","['5,741', '']","['150', '']","['36', '']","['452', '']","['5,803', '']","['0', '']","['10,542', '']","['22,571', '']"
7997,r016,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,15,"['45,652', '']","['274', '']","['28,608', '']","['723', '']","['0', '']","['0', '']","['597', '']","['1,742', '']","['0', '']","['2,005', '']","['11,703', '']"
7997,r017,All institutions -> Tufts U.,All institutions,Tufts U.,2,16,"['41,025', '']","['95', '']","['34', '']","['29,905', '']","['852', '']","['180', '']","['3,979', '']","['1,637', '']","['1,630', '']","['2,327', '']","['386', '']"
7997,r018,All institutions -> U. Florida,All institutions,U. Florida,2,17,"['36,801', '']","['755', '']","['569', '']","['12,511', '']","['0', '']","['0', '']","['42', '']","['1,227', '']","['0', '']","['9,890', '']","['11,807', '']"
7997,r019,All institutions -> U. Delaware,All institutions,U. Delaware,2,18,"['35,320', '']","['28', '']","['3,921', '']","['1,119', '']","['0', '']","['365', '']","['17', '']","['2,500', '']","['0', '']","['24,941', '']","['2,429', '']"
