table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_postdoctoral_appointees_2017,field_postdoctoral_appointees_2018,field_postdoctoral_appointees_2019,field_postdoctoral_appointees_2020,field_postdoctoral_appointees_percent_change_2017_20,field_postdoctoral_appointees_percent_change_2019_20
5559,r001,All surveyed fields,All surveyed fields,,,,1,64733,64783,66247,65681,1.5,-0.9
5559,r002,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,,,2,30110,29622,29452,29890,-0.7,1.5
5559,r003,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Male,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Male,,3,16378,15934,15570,15579,-4.9,0.1
5559,r004,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Female,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Female,,3,13732,13688,13882,14311,4.2,3.1
5559,r005,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,1659,1856,1924,2027,22.2,5.4
5559,r006,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,
5559,r007,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,125,81,69,72,-42.4,4.3
5559,r008,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,6045,6020,5891,5696,-5.8,-3.3
5559,r009,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,1019,1104,1088,1081,6.1,-0.6
5559,r010,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,112,55,52,52,-53.6,0.0
5559,r011,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,17313,17232,16972,17123,-1.1,0.9
5559,r012,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,730,506,519,555,-24.0,6.9
5559,r013,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,3,3107,2768,2937,3284,5.7,11.8
5559,r014,All surveyed fields -> Temporary visa holders,All surveyed fields,Temporary visa holders,,,2,34623,35161,36795,35791,3.4,-2.7
5559,r015,All surveyed fields -> Temporary visa holders -> Male,All surveyed fields,Temporary visa holders,Male,,3,22492,22727,23603,22660,0.7,-4.0
5559,r016,All surveyed fields -> Temporary visa holders -> Female,All surveyed fields,Temporary visa holders,Female,,3,12131,12434,13192,13131,8.2,-0.5
