table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other_fields_of_s_e
12847,r001,Alabama,Alabama,,,1,"['2,804', '']","['242', '']","['545', '']","['94', '']","['682', '']","['53', '']","['689', '']","['41', '']","['92', '']","['245', '']","['75', '']","['46', '']","['0', '']"
12847,r002,Alabama -> Public,Alabama,Public,,2,"['2,495', '']","['146', '']","['516', '']","['80', '']","['529', '']","['53', '']","['670', '']","['41', '']","['92', '']","['245', '']","['75', '']","['46', '']","['0', '']"
12847,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['104', '&nbsp;']","['35', '&nbsp;']","['7', '&nbsp;']","['1', '&nbsp;']","['20', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['35', '&nbsp;']","['5', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12847,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['308', '']","['0', '']","['70', '']","['35', '']","['5', '']","['0', '']","['80', '']","['35', '']","['0', '']","['25', '']","['33', '']","['25', '']","['0', '']"
12847,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['453', '']","['109', '']","['38', '']","['9', '']","['167', '']","['1', '']","['17', '']","['*', '']","['47', '']","['51', '']","['12', '']","['*', '']","['0', '']"
12847,r006,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['17', '']","['0', '']","['2', '']","['1', '']","['*', '']","['1', '']","['4', '']","['1', '']","['2', '']","['3', '']","['1', '']","['1', '']","['0', '']"
12847,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['824', '']","['0', '']","['237', '']","['1', '']","['53', '']","['0', '']","['498', '']","['*', '']","['0', '']","['21', '']","['15', '']","['1', '']","['0', '']"
12847,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['278', '']","['1', '']","['15', '']","['24', '']","['136', '']","['22', '']","['2', '']","['5', '']","['1', '']","['71', '']","['1', '']","['1', '']","['0', '']"
12847,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['303', '']","['0', '']","['71', '']","['9', '']","['116', '']","['12', '']","['6', '']","['0', '']","['7', '']","['60', '']","['9', '']","['14', '']","['0', '']"
12847,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['208', '']","['0', '']","['76', '']","['1', '']","['33', '']","['17', '']","['64', '']","['0', '']","['0', '']","['9', '']","['4', '']","['5', '']","['0', '']"
12847,r011,Alabama -> Private,Alabama,Private,,2,"['309', '']","['96', '']","['28', '']","['13', '']","['153', '']","['0', '']","['19', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12847,r012,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['309', '']","['96', '']","['28', '']","['13', '']","['153', '']","['0', '']","['19', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12847,r013,Alaska,Alaska,,,1,"['543', '']","['42', '']","['107', '']","['18', '']","['123', '']","['132', '']","['13', '']","['1', '']","['21', '']","['30', '']","['10', '']","['14', '']","['33', '']"
12847,r014,Alaska -> Public,Alaska,Public,,2,"['536', '']","['42', '']","['106', '']","['17', '']","['123', '']","['132', '']","['12', '']","['1', '']","['16', '']","['29', '']","['10', '']","['14', '']","['33', '']"
12847,r015,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['90', '']","['0', '']","['26', '']","['5', '']","['31', '']","['4', '']","['2', '']","['*', '']","['3', '']","['6', '']","['3', '']","['10', '']","['0', '']"
12847,r016,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['434', '']","['42', '']","['75', '']","['12', '']","['92', '']","['125', '']","['10', '']","['1', '']","['12', '']","['22', '']","['7', '']","['3', '']","['33', '']"
12847,r017,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['12', '']","['0', '']","['6', '']","['0', '']","['0', '']","['3', '']","['0', '']","['0', '']","['1', '']","['1', '']","['*', '']","['0', '']","['0', '']"
12847,r018,Alaska -> Private,Alaska,Private,,2,"['7', '']","['0', '']","['1', '']","['1', '']","['0', '']","['0', '']","['1', '']","['0', '']","['5', '']","['1', '']","['0', '']","['0', '']","['0', '']"
12847,r019,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['7', '']","['0', '']","['1', '']","['1', '']","['0', '']","['0', '']","['1', '']","['0', '']","['5', '']","['1', '']","['0', '']","['0', '']","['0', '']"
12847,r020,Arizona,Arizona,,,1,"['3,309', '']","['313', '']","['754', '']","['30', '']","['613', '']","['326', '']","['283', '']","['20', '']","['80', '']","['625', '']","['77', '']","['106', '']","['82', '']"
12847,r021,Arizona -> Public,Arizona,Public,,2,"['3,309', '']","['313', '']","['754', '']","['30', '']","['613', '']","['326', '']","['283', '']","['20', '']","['80', '']","['625', '']","['77', '']","['106', '']","['82', '']"
12847,r022,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['1,294', '']","['2', '']","['306', '']","['7', '']","['415', '']","['88', '']","['94', '']","['14', '']","['9', '']","['226', '']","['52', '']","['58', '']","['22', '']"
12847,r023,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,3,"['35', '']","['8', '']","['8', '']","['1', '']","['0', '']","['1', '']","['2', '']","['2', '']","['0', '']","['5', '']","['2', '']","['2', '']","['5', '']"
12847,r024,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['259', '']","['0', '']","['118', '']","['11', '']","['24', '']","['27', '']","['17', '']","['2', '']","['19', '']","['23', '']","['7', '']","['12', '']","['0', '']"
12847,r025,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['1,720', '']","['303', '']","['321', '']","['10', '']","['174', '']","['210', '']","['171', '']","['3', '']","['52', '']","['371', '']","['16', '']","['34', '']","['55', '']"
