table_id,row_id,state_or_territory_control_and_institution_full_path,state_or_territory_control_and_institution_level_1,state_or_territory_control_and_institution_level_2,state_or_territory_control_and_institution_level_3,state_or_territory_control_and_institution_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_planned_to_start_in_fy_2020_or_fy_2021,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
3034,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['0', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', 'i']","['0', 'i']","['0', 'i']"
3034,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['20,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['na', '']","['na', '']","['35,762', '']","['0', '']","['7,500', '']","['960', '']","['17,160', '']","['20,000', '']","['165,000', '']","['0', '']"
3034,r006,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['0', '']","['5,065', '']","['348', '']","['0', '']","['0', '']","['351', '']","['0', '']","['65,098', '']","['0', '']","['0', '']"
3034,r007,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['0', '']","['0', '']","['0', '']","['5,200', '']","['0', '']","['0', '']","['0', '']","['30,000', '']","['0', '']","['0', '']"
3034,r008,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['0', '']","['0', '']","['97,288', '']","['0', '']","['0', '']","['0', '']","['0', '']","['16,450', '']","['0', '']","['0', '']"
3034,r009,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['15,300', '']","['8,000', '']","['14,500', '']","['0', '']","['0', '']","['0', '']","['1,838', '']","['1,000', '']","['162,000', '']","['0', '']"
3034,r010,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
