table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2019,field_2020,field_2021_all_engineering,field_2021_aerospace_aeronautical_and_astronautical_engineering,field_2021_bioengineering_and_biomedical_engineering,field_2021_chemical_engineering,field_2021_civil_engineering,field_2021_electrical_electronic_and_communications_engineering,field_2021_industrial_and_manufacturing_engineering,field_2021_mechanical_engineering,field_2021_metallurgical_and_materials_engineering,field_2021_engineering_nec_
8002,r001,All institutions,All institutions,,1,-,"['13,214,628', '']","['13,707,821', '']","['14,293,487', '']","['1,451,964', '']","['1,560,381', '']","['1,024,301', '']","['1,482,377', '']","['3,080,363', '']","['573,915', '']","['1,881,551', '']","['841,196', '']","['2,397,439', '']"
8002,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,147,335', 'i']","['1,205,632', 'i']","['1,237,980', 'i']","['148,593', 'i']","['69,477', 'i']","['21,053', 'i']","['16,577', 'i']","['549,900', 'i']","['99,189', 'i']","['225,086', 'i']","['32,038', 'i']","['76,067', 'i']"
8002,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['664,695', '']","['695,176', '']","['839,071', '']","['253,035', '']","['53,590', '']","['26,064', '']","['23,686', '']","['311,881', '']","['81,585', '']","['56,376', '']","['16,362', '']","['16,492', '']"
8002,r004,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,3,"['350,793', '']","['353,542', '']","['462,562', '']","['0', '']","['0', '']","['0', '']","['16', '']","['9', '']","['0', '']","['22', '']","['0', '']","['462,515', '']"
8002,r005,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,4,"['321,373', '']","['357,559', '']","['385,656', '']","['33,837', '']","['39,008', '']","['18,302', '']","['100,161', '']","['26,886', '']","['9,198', '']","['34,921', '']","['12,517', '']","['110,826', '']"
8002,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['450,915', '']","['419,636', '']","['382,569', '']","['32,321', '']","['100,911', '']","['45,797', '']","['16,423', '']","['42,546', '']","['79', '']","['46,417', '']","['30,592', '']","['67,483', '']"
8002,r007,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,6,"['350,391', '']","['367,730', '']","['378,667', '']","['32,084', '']","['30,144', '']","['12,167', '']","['10,826', '']","['108,919', '']","['3,459', '']","['131,856', '']","['49,212', '']","['0', '']"
8002,r008,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,7,"['270,525', '']","['280,592', '']","['285,469', '']","['24,570', '']","['18,756', '']","['19,532', '']","['35,323', '']","['49,674', '']","['12,793', '']","['52,859', '']","['19,817', '']","['52,145', '']"
8002,r009,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,8,"['249,788', '']","['259,935', '']","['279,730', '']","['13,515', '']","['10,287', '']","['41,078', '']","['37,375', '']","['67,530', '']","['101', '']","['60,298', '']","['22,629', '']","['26,917', '']"
8002,r010,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,9,"['291,887', '']","['283,329', '']","['279,682', '']","['13,744', '']","['23,304', '']","['14,277', '']","['20,239', '']","['77,614', '']","['5,282', '']","['45,339', '']","['11,156', '']","['68,727', '']"
8002,r011,All institutions -> Utah State U.,All institutions,Utah State U.,2,10,"['202,345', '']","['226,616', '']","['247,332', '']","['224,361', '']","['1,286', '']","['0', '']","['10,955', '']","['6,459', '']","['130', '']","['3,369', '']","['0', '']","['772', '']"
8002,r012,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,11,"['258,213', '']","['263,711', '']","['246,965', '']","['20,824', '']","['20,998', '']","['4,473', '']","['29,264', '']","['56,194', '']","['30,945', '']","['24,718', '']","['17,397', '']","['42,152', '']"
8002,r013,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,12,"['201,028', '']","['203,564', '']","['216,233', '']","['14,809', '']","['15,544', '']","['18,948', '']","['23,693', '']","['56,980', '']","['0', '']","['31,641', '']","['17,397', '']","['37,221', '']"
8002,r014,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,13,"['200,122', '']","['209,293', '']","['199,711', '']","['0', '']","['217', '']","['7,605', '']","['37,190', '']","['112,965', '']","['28', '']","['443', '']","['0', '']","['41,263', '']"
