table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2021,field_2022,field_2023_all_non_s_e_fields,field_2023_business_management_and_business_administration,field_2023_communication_and_communications_technologies,field_2023_education,field_2023_humanities,field_2023_law,field_2023_social_work,field_2023_visual_and_performing_arts,field_2023_non_s_e_nec
12705,r001,All institutions,All institutions,,1,-,"['5,118,609', '']","['5,862,482', '']","['6,904,991', '']","['1,218,052', '']","['253,609', '']","['2,042,372', '']","['846,919', '']","['430,807', '']","['416,735', '']","['283,750', '']","['1,412,747', '']"
12705,r002,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,1,"['81,652', '']","['128,398', '']","['163,241', '']","['37,854', '']","['5,832', '']","['76,667', '']","['11,694', '']","['5,407', '']","['13,870', '']","['11,917', '']","['0', '']"
12705,r003,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,2,"['139,396', '']","['139,339', '']","['146,054', '']","['79,067', '']","['11,225', '']","['15,332', '']","['11,402', '']","['12,108', '']","['0', '']","['3,921', '']","['12,999', '']"
12705,r004,All institutions -> Harvard U.,All institutions,Harvard U.,2,3,"['109,083', '']","['111,157', '']","['138,179', '']","['36,108', '']","['3,687', '']","['47,420', '']","['22,073', '']","['24,364', '']","['0', '']","['4,527', '']","['0', '']"
12705,r005,All institutions -> New York U.,All institutions,New York U.,2,4,"['76,810', '']","['115,115', '']","['124,024', '']","['8,788', '']","['0', '']","['31,012', '']","['26,973', '']","['40,785', '']","['5,849', '']","['1,734', '']","['8,883', '']"
12705,r006,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,5,"['85,191', '']","['95,771', '']","['115,891', '']","['13,381', '']","['8,154', '']","['39,358', '']","['19,710', '']","['6,555', '']","['951', '']","['3,153', '']","['24,629', '']"
12705,r007,All institutions -> U. Kansas,All institutions,U. Kansas,2,6,"['80,837', '']","['86,502', '']","['114,437', '']","['1,594', '']","['1,085', '']","['89,662', '']","['1,771', '']","['34', '']","['18,065', '']","['847', '']","['1,379', '']"
12705,r008,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,7,"['118,228', '']","['121,582', '']","['110,536', '']","['17,515', '']","['1,989', '']","['12,852', '']","['26,770', '']","['8,961', '']","['9,378', '']","['4,334', '']","['28,737', '']"
12705,r009,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,8,"['50,702', '']","['77,399', '']","['105,876', '']","['11,318', '']","['0', '']","['59,988', '']","['2,370', '']","['9,254', '']","['0', '']","['10,060', '']","['12,886', '']"
12705,r010,All institutions -> Florida State U.,All institutions,Florida State U.,2,9,"['77,689', '']","['88,449', '']","['103,341', '']","['15,532', '']","['3,103', '']","['45,173', '']","['11,743', '']","['4,709', '']","['14,763', '']","['5,504', '']","['2,814', '']"
12705,r011,All institutions -> U. Utah,All institutions,U. Utah,2,10,"['27,419', 'i']","['117,635', '']","['97,729', '']","['932', '']","['1,902', '']","['2,433', '']","['386', '']","['883', '']","['0', '']","['1,096', '']","['90,097', '']"
12705,r012,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,11,"['70,185', '']","['65,855', '']","['96,169', '']","['7,436', '']","['13,623', '']","['29,939', '']","['7,839', '']","['2,080', '']","['11,364', '']","['446', '']","['23,442', '']"
12705,r013,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,12,"['72,243', '']","['82,129', '']","['95,945', '']","['7,461', '']","['64', '']","['27,287', '']","['17,221', '']","['0', '']","['2,652', '']","['13,415', '']","['27,845', '']"
12705,r014,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,13,"['59,610', '']","['70,333', '']","['95,871', '']","['4,216', '']","['252', '']","['52,697', '']","['7,927', '']","['1,020', '']","['0', '']","['696', '']","['29,063', '']"
12705,r015,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,14,"['52,025', '']","['74,758', '']","['87,562', '']","['23,571', '']","['8,606', '']","['22,839', '']","['4,962', '']","['26,173', '']","['0', '']","['581', '']","['830', '']"
12705,r016,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,15,"['72,037', '']","['77,564', '']","['85,912', '']","['26,277', '']","['5,055', '']","['8,298', '']","['12,516', '']","['13,084', '']","['1,235', '']","['4,384', '']","['15,063', '']"
