table_id,row_id,_b_survey_population_and_type_of_institution_b_full_path,_b_survey_population_and_type_of_institution_b_level_1,_b_survey_population_and_type_of_institution_b_level_2,_b_survey_population_and_type_of_institution_b_level_3,_b_survey_population_and_type_of_institution_b_hierarchy_depth,field_number_in_survey_universe,field_complete_responses,field_partial_responses,field_total_responses,field_response_rate_
3202,r001,All respondents,All respondents,,,1,916,616,270,886,96.7
3202,r002,All respondents -> Standard form institutions,All respondents,Standard form institutions,,2,647,377,255,632,97.7
3202,r003,All respondents -> Standard form institutions -> Doctorate,All respondents,Standard form institutions,Doctorate,3,473,252,215,467,98.7
3202,r004,All respondents -> Standard form institutions -> Professional,All respondents,Standard form institutions,Professional,3,32,21,9,30,93.8
3202,r005,All respondents -> Standard form institutions -> Master's,All respondents,Standard form institutions,Master's,3,95,68,21,89,93.7
3202,r006,All respondents -> Standard form institutions -> Bachelor's,All respondents,Standard form institutions,Bachelor's,3,47,36,10,46,97.9
3202,r007,All respondents -> Standard form institutions -> Public,All respondents,Standard form institutions,Public,3,405,228,171,399,98.5
3202,r008,All respondents -> Standard form institutions -> Private,All respondents,Standard form institutions,Private,3,242,149,84,233,96.3
3202,r009,All respondents -> Short form institutions,All respondents,Short form institutions,,2,269,239,15,254,94.4
3202,r010,All respondents -> Short form institutions -> Doctorate,All respondents,Short form institutions,Doctorate,3,73,66,4,70,95.9
3202,r011,All respondents -> Short form institutions -> Professional,All respondents,Short form institutions,Professional,3,47,38,4,42,89.4
3202,r012,All respondents -> Short form institutions -> Master's,All respondents,Short form institutions,Master's,3,104,93,6,99,95.2
3202,r013,All respondents -> Short form institutions -> Bachelor's,All respondents,Short form institutions,Bachelor's,3,45,42,1,43,95.6
3202,r014,All respondents -> Short form institutions -> Public,All respondents,Short form institutions,Public,3,117,107,7,114,97.4
3202,r015,All respondents -> Short form institutions -> Private,All respondents,Short form institutions,Private,3,152,132,8,140,92.1
