table_id,row_id,policy_area_full_path,policy_area_level_1,policy_area_level_2,policy_area_hierarchy_depth,field_1981_n_1_611_,field_1983_n_1_615_,field_1985_n_1_986_,field_1988_n_2_041_a,field_1990_n_2_005_,field_1992_n_1_995_,field_1997_n_2_000_,field_1999_n_1_882_,field_2001_n_1_574_,field_2002_n_1_358_b,field_2004_n_1_401_c,field_2006_n_2_992_d,field_2008_n_3_558_e,field_2010_n_4_901_f,field_2012_n_4_820_g,field_2014_n_2_130_h,field_2016_n_2_867_i,field_2018_n_1_175_j
2267,r001,Education,Education,,1,,,,,,,,,,,,,,,,,,
2267,r002,Education -> Too little,Education,Too little,2,62,71,73,76,77,81,76,75,76,73,73,73,74,74,75,74,72,77
2267,r003,Education -> About right,Education,About right,2,30,23,22,19,17,14,16,18,17,20,21,20,21,20,18,19,20,17
2267,r004,Education -> Too much,Education,Too much,2,6,5,3,4,4,4,6,6,5,6,5,5,5,5,7,6,6,5
2267,r005,Education -> Don't know,Education,Don't know,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
2267,r006,Health,Health,,1,,,,,,,,,,,,,,,,,,
2267,r007,Health -> Too little,Health,Too little,2,61,na,68,67,75,79,68,71,70,73,77,72,75,58,61,57,62,70
2267,r008,Health -> About right,Health,About right,2,31,na,26,28,20,15,23,22,24,21,17,19,17,22,23,24,23,21
2267,r009,Health -> Too much,Health,Too much,2,6,na,3,2,3,4,7,6,4,4,4,7,7,17,14,16,12,7
2267,r010,Health -> Don't know,Health,Don't know,2,2,na,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2
2267,r011,Assistance for the poor,Assistance for the poor,,1,,,,,,,,,,,,,,,,,,
2267,r012,Assistance for the poor -> Too little,Assistance for the poor,Too little,2,45,na,54,55,57,56,43,49,53,66,69,68,68,61,61,63,71,72
2267,r013,Assistance for the poor -> About right,Assistance for the poor,About right,2,29,na,29,30,25,26,30,30,29,24,23,22,23,27,26,23,21,19
2267,r014,Assistance for the poor -> Too much,Assistance for the poor,Too much,2,24,na,13,12,15,17,23,19,15,8,6,8,7,10,10,12,7,7
2267,r015,Assistance for the poor -> Don't know,Assistance for the poor,Don't know,2,2,na,3,3,3,2,4,2,2,2,1,2,2,2,3,2,2,2
2267,r016,Environment,Environment,,1,,,,,,,,,,,,,,,,,,
2267,r017,Environment -> Too little,Environment,Too little,2,52,54,69,76,76,72,65,65,63,58,63,67,66,57,58,60,63,66
2267,r018,Environment -> About right,Environment,About right,2,32,31,21,18,17,20,23,25,28,32,29,23,23,30,30,27,27,24
2267,r019,Environment -> Too much,Environment,Too much,2,13,11,6,4,5,7,8,7,6,7,6,7,8,10,10,10,8,7
2267,r020,Environment -> Don't know,Environment,Don't know,2,3,4,3,2,2,2,4,3,3,2,2,3,3,2,3,3,2,3
2267,r021,Drug rehabilitation,Drug rehabilitation,,1,,,,,,,,,,,,,,,,,,
2267,r022,Drug rehabilitation -> Too little,Drug rehabilitation,Too little,2,na,na,na,na,na,na,na,na,na,56,53,55,51,49,48,54,61,66
2267,r023,Drug rehabilitation -> About right,Drug rehabilitation,About right,2,na,na,na,na,na,na,na,na,na,31,34,31,34,36,34,30,26,22
2267,r024,Drug rehabilitation -> Too much,Drug rehabilitation,Too much,2,na,na,na,na,na,na,na,na,na,10,9,9,10,10,13,11,9,8
2267,r025,Drug rehabilitation -> Don't know,Drug rehabilitation,Don't know,2,na,na,na,na,na,na,na,na,na,3,4,5,5,5,6,5,4,4
2267,r026,Law enforcement,Law enforcement,,1,,,,,,,,,,,,,,,,,,
2267,r027,Law enforcement -> Too little,Law enforcement,Too little,2,na,na,na,na,na,na,na,na,na,56,56,57,54,53,52,49,59,59
2267,r028,Law enforcement -> About right,Law enforcement,About right,2,na,na,na,na,na,na,na,na,na,35,36,33,35,36,36,37,30,29
2267,r029,Law enforcement -> Too much,Law enforcement,Too much,2,na,na,na,na,na,na,na,na,na,7,5,8,8,9,9,11,9,8
2267,r030,Law enforcement -> Don't know,Law enforcement,Don't know,2,na,na,na,na,na,na,na,na,na,3,3,2,2,2,3,2,2,4
2267,r031,Social Security,Social Security,,1,,,,,,,,,,,,,,,,,,
2267,r032,Social Security -> Too little,Social Security,Too little,2,na,na,na,na,na,na,na,na,na,59,63,61,58,53,54,52,58,57
2267,r033,Social Security -> About right,Social Security,About right,2,na,na,na,na,na,na,na,na,na,33,27,30,32,35,34,37,33,33
2267,r034,Social Security -> Too much,Social Security,Too much,2,na,na,na,na,na,na,na,na,na,4,5,5,5,8,7,6,5,5
2267,r035,Social Security -> Don't know,Social Security,Don't know,2,na,na,na,na,na,na,na,na,na,4,4,4,4,4,4,6,4,5
2267,r036,Assistance for childcare,Assistance for childcare,,1,,,,,,,,,,,,,,,,,,
2267,r037,Assistance for childcare -> Too little,Assistance for childcare,Too little,2,na,na,na,na,na,na,na,na,na,56,54,51,49,46,45,47,54,56
2267,r038,Assistance for childcare -> About right,Assistance for childcare,About right,2,na,na,na,na,na,na,na,na,na,31,34,35,39,41,39,38,35,33
2267,r039,Assistance for childcare -> Too much,Assistance for childcare,Too much,2,na,na,na,na,na,na,na,na,na,7,6,7,6,7,8,8,5,5
2267,r040,Assistance for childcare -> Don't know,Assistance for childcare,Don't know,2,na,na,na,na,na,na,na,na,na,6,6,7,6,6,7,7,6,5
2267,r041,Developing alternative energy sources,Developing alternative energy sources,,1,,,,,,,,,,,,,,,,,,
2267,r042,Developing alternative energy sources -> Too little,Developing alternative energy sources,Too little,2,na,na,na,na,na,na,na,na,na,na,na,na,na,61,60,56,54,55
2267,r043,Developing alternative energy sources -> About right,Developing alternative energy sources,About right,2,na,na,na,na,na,na,na,na,na,na,na,na,na,28,27,31,34,34
2267,r044,Developing alternative energy sources -> Too much,Developing alternative energy sources,Too much,2,na,na,na,na,na,na,na,na,na,na,na,na,na,7,9,9,8,6
2267,r045,Developing alternative energy sources -> Don't know,Developing alternative energy sources,Don't know,2,na,na,na,na,na,na,na,na,na,na,na,na,na,4,4,4,4,5
2267,r046,Highways and bridges,Highways and bridges,,1,,,,,,,,,,,,,,,,,,
2267,r047,Highways and bridges -> Too little,Highways and bridges,Too little,2,na,na,na,na,na,na,na,na,na,35,29,35,43,43,43,45,48,53
2267,r048,Highways and bridges -> About right,Highways and bridges,About right,2,na,na,na,na,na,na,na,na,na,50,55,52,45,45,43,42,40,37
2267,r049,Highways and bridges -> Too much,Highways and bridges,Too much,2,na,na,na,na,na,na,na,na,na,12,13,11,9,10,12,11,11,9
2267,r050,Highways and bridges -> Don't know,Highways and bridges,Don't know,2,na,na,na,na,na,na,na,na,na,3,3,3,3,2,2,2,2,2
2267,r051,Assistance to blacks,Assistance to blacks,,1,,,,,,,,,,,,,,,,,,
2267,r052,Assistance to blacks -> Too little,Assistance to blacks,Too little,2,na,na,na,na,na,na,na,na,na,30,32,29,29,26,27,27,41,48
2267,r053,Assistance to blacks -> About right,Assistance to blacks,About right,2,na,na,na,na,na,na,na,na,na,45,46,42,44,46,45,43,36,33
2267,r054,Assistance to blacks -> Too much,Assistance to blacks,Too much,2,na,na,na,na,na,na,na,na,na,17,13,18,15,16,16,18,12,9
2267,r055,Assistance to blacks -> Don't know,Assistance to blacks,Don't know,2,na,na,na,na,na,na,na,na,na,8,9,11,11,11,13,12,10,10
2267,r056,Supporting scientific research,Supporting scientific research,,1,,,,,,,,,,,,,,,,,,
2267,r057,Supporting scientific research -> Too little,Supporting scientific research,Too little,2,31,na,29,34,30,34,34,37,36,34,38,41,36,36,38,39,38,43
2267,r058,Supporting scientific research -> About right,Supporting scientific research,About right,2,47,na,46,48,47,43,46,43,44,46,45,41,46,47,45,45,45,44
