table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_hierarchy_depth,field_one_or_more_limitations_of_any_type_number,field_one_or_more_limitations_of_any_type_percent,field_visual_limitations_number,field_visual_limitations_percent,field_hearing_limitations_number,field_hearing_limitations_percent,field_walking_limitations_number,field_walking_limitations_percent,field_lifting_limitations_number,field_lifting_limitations_percent,field_cognitive_limitations_number,field_cognitive_limitations_percent
4665,r001,All doctorate recipients,All doctorate recipients,,,1,4558,8.2,1688,3.1,648,1.2,274,0.5,416,0.8,2518,4.6
4665,r002,All doctorate recipients -> Field of doctorate,All doctorate recipients,Field of doctorate,,2,,,,,,,,,,,,
4665,r003,All doctorate recipients -> Field of doctorate -> Life sciences<sup>a</sup>,All doctorate recipients,Field of doctorate,Life sciences<sup>a</sup>,3,1020,8.1,330,2.6,124,1.0,47,0.4,73,0.6,629,5.0
4665,r004,All doctorate recipients -> Field of doctorate -> Physical sciences and earth sciences,All doctorate recipients,Field of doctorate,Physical sciences and earth sciences,3,501,8.0,177,2.8,71,1.1,27,0.4,34,0.5,294,4.7
4665,r005,All doctorate recipients -> Field of doctorate -> Mathematics and computer sciences,All doctorate recipients,Field of doctorate,Mathematics and computer sciences,3,317,7.2,148,3.4,38,0.9,14,0.3,32,0.7,156,3.6
4665,r006,All doctorate recipients -> Field of doctorate -> Psychology and social sciences,All doctorate recipients,Field of doctorate,Psychology and social sciences,3,879,9.8,254,2.8,121,1.4,57,0.6,97,1.1,548,6.1
4665,r007,All doctorate recipients -> Field of doctorate -> Engineering,All doctorate recipients,Field of doctorate,Engineering,3,653,6.2,343,3.3,106,1.0,33,0.3,54,0.5,264,2.5
4665,r008,All doctorate recipients -> Field of doctorate -> Education,All doctorate recipients,Field of doctorate,Education,3,418,8.9,189,4.0,69,1.5,43,0.9,46,1.0,175,3.7
4665,r009,All doctorate recipients -> Field of doctorate -> Humanities and arts,All doctorate recipients,Field of doctorate,Humanities and arts,3,547,11.1,150,3.0,88,1.8,33,0.7,57,1.2,341,6.9
4665,r010,All doctorate recipients -> Field of doctorate -> Other<sup>b</sup>,All doctorate recipients,Field of doctorate,Other<sup>b</sup>,3,223,7.4,97,3.2,31,1.0,20,0.7,23,0.8,111,3.7
4665,r011,All doctorate recipients -> Sex,All doctorate recipients,Sex,,2,,,,,,,,,,,,
4665,r012,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,3,2241,7.5,882,3.0,400,1.3,109,0.4,139,0.5,1213,4.1
4665,r013,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,3,2317,9.1,806,3.2,248,1.0,165,0.6,277,1.1,1305,5.1
4665,r014,All doctorate recipients -> Citizenship status<sup>c</sup>,All doctorate recipients,Citizenship status<sup>c</sup>,,2,,,,,,,,,,,,
4665,r015,All doctorate recipients -> Citizenship status<sup>c</sup> -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status<sup>c</sup>,U.S. citizen or permanent resident,3,3309,9.6,873,2.5,501,1.5,200,0.6,246,0.7,2100,6.1
4665,r016,All doctorate recipients -> Citizenship status<sup>c</sup> -> Temporary visa holder,All doctorate recipients,Citizenship status<sup>c</sup>,Temporary visa holder,3,1244,6.7,814,4.4,147,0.8,72,0.4,167,0.9,417,2.3
