table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,characteristic_hierarchy_depth,field_all_other_fieldsa,field_business_management_and_administration,field_communication,field_non_s_e_fields_nec
1798,r001,All doctorate recipients (number)<sup>b</sup>,All doctorate recipients (number)<sup>b</sup>,,,,,,1,2989,1481,631,877
1798,r002,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,,,,,2,,,,
1798,r003,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite postgraduation study,,,,3,176,63,45,68
1798,r004,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment,,,,3,1782,1000,350,432
1798,r005,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Seeking employment or study,,,,3,543,193,154,196
1798,r006,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Other<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Other<sup>d</sup>,,,,3,53,30,6,17
1798,r007,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite postgraduation study (%)<sup>e</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite postgraduation study (%)<sup>e</sup>,,,,3,,,,
1798,r008,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite postgraduation study (%)<sup>e</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite postgraduation study (%)<sup>e</sup>,Postdoc fellowship or research associateship,,,4,93.2,90.5,93.3,95.6
1798,r009,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite postgraduation study (%)<sup>e</sup> -> Other or unknown<sup>f</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite postgraduation study (%)<sup>e</sup>,Other or unknown<sup>f</sup>,,,4,6.8,9.5,6.7,4.4
1798,r010,All doctorate recipients (number)<sup>b</sup> -> Postgraduation status (number)<sup>c</sup> -> Definite employment (%)<sup>g</sup>,All doctorate recipients (number)<sup>b</sup>,Postgraduation status (number)<sup>c</sup>,Definite employment (%)<sup>g</sup>,,,,3,,,,
