table_id,row_id,_b_mechanism_of_support_and_sex_b_full_path,_b_mechanism_of_support_and_sex_b_level_1,_b_mechanism_of_support_and_sex_b_level_2,_b_mechanism_of_support_and_sex_b_level_3,_b_mechanism_of_support_and_sex_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support
6021,r001,"Doctoral students, imputation rate (%)","Doctoral students, imputation rate (%)",,,1,,,,,,,,,,,,,
6021,r002,"Doctoral students, imputation rate (%) -> All full-time doctoral students","Doctoral students, imputation rate (%)",All full-time doctoral students,,2,2.6,5.5,4.9,6.8,15.6,7.5,6.8,5.4,7.2,6.7,7.5,9.1,10.9
6021,r003,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Fellowships","Doctoral students, imputation rate (%)",All full-time doctoral students,Fellowships,3,9.0,4.6,8.9,6.8,0.0,5.6,7.9,1.4,13.7,6.5,17.0,9.4,na
6021,r004,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Research assistantships","Doctoral students, imputation rate (%)",All full-time doctoral students,Research assistantships,3,7.5,5.7,5.0,7.1,12.5,7.6,6.7,5.4,6.5,6.7,3.4,9.0,na
6021,r005,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Teaching assistantships","Doctoral students, imputation rate (%)",All full-time doctoral students,Teaching assistantships,3,9.6,na,8.5,na,11.8,9.5,7.3,4.0,4.3,7.8,3.2,9.8,na
6021,r006,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Traineeships","Doctoral students, imputation rate (%)",All full-time doctoral students,Traineeships,3,6.4,6.3,0.0,6.8,37.7,11.0,3.5,0.0,0.5,0.9,6.8,4.4,na
6021,r007,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Other types of support","Doctoral students, imputation rate (%)",All full-time doctoral students,Other types of support,3,9.8,9.9,2.0,7.7,0.0,7.9,8.1,17.1,8.7,12.5,13.3,7.8,10.9
6021,r008,"Doctoral students, imputation rate (%) -> Male","Doctoral students, imputation rate (%)",Male,,2,4.8,5.0,4.9,6.9,15.1,7.4,7.0,4.8,7.3,6.9,6.9,9.9,11.5
6021,r009,"Doctoral students, imputation rate (%) -> Female","Doctoral students, imputation rate (%)",Female,,2,4.8,7.3,6.3,6.7,16.0,8.0,7.0,5.9,7.1,6.6,8.7,10.0,10.5
6021,r010,"Doctoral students, number imputed<sup>a</sup>","Doctoral students, number imputed<sup>a</sup>",,,1,,,,,,,,,,,,,
6021,r011,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,,2,6512,327,239,1413,350,135,1385,87,439,926,210,13102,2570
6021,r012,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Fellowships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Fellowships,3,3343,23,13,140,0,14,342,1,93,124,83,2516,na
6021,r013,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Research assistantships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Research assistantships,3,7211,293,227,975,224,109,977,77,282,677,48,3356,na
6021,r014,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Teaching assistantships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Teaching assistantships,3,6127,na,6,na,2,2,56,3,9,34,11,6024,na
6021,r015,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Traineeships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Traineeships,3,625,1,0,304,124,8,15,0,1,3,5,164,na
6021,r016,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Other types of support","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Other types of support,3,4031,33,1,33,0,3,23,6,57,133,66,1105,2570
6021,r017,"Doctoral students, number imputed<sup>a</sup> -> Male","Doctoral students, number imputed<sup>a</sup>",Male,,2,6679,222,181,679,164,88,891,38,260,564,123,7862,1378
6021,r018,"Doctoral students, number imputed<sup>a</sup> -> Female","Doctoral students, number imputed<sup>a</sup>",Female,,2,5276,108,74,735,186,49,537,49,181,372,90,6477,1216
6021,r019,"Master's students, imputation rate (%)","Master's students, imputation rate (%)",,,1,,,,,,,,,,,,,
6021,r020,"Master's students, imputation rate (%) -> All full-time master's students","Master's students, imputation rate (%)",All full-time master's students,,2,2.7,4.0,4.3,9.5,6.8,6.5,8.6,5.9,11.9,10.0,13.9,10.8,11.1
6021,r021,"Master's students, imputation rate (%) -> All full-time master's students -> Fellowships","Master's students, imputation rate (%)",All full-time master's students,Fellowships,3,17.4,9.8,20.0,8.3,25.0,0.0,12.8,33.3,20.3,3.9,7.1,19.1,na
