table_id,row_id,_b_institution_status_b_full_path,_b_institution_status_b_level_1,_b_institution_status_b_level_2,_b_institution_status_b_hierarchy_depth
8262,r001,New institutions (0),New institutions (0),,1
8262,r002,Became ineligible for the survey (12),Became ineligible for the survey (12),,1
8262,r003,Became ineligible for the survey (12) -> Bastyr U.,Became ineligible for the survey (12),Bastyr U.,2
8262,r004,Became ineligible for the survey (12) -> Bryant U.,Became ineligible for the survey (12),Bryant U.,2
8262,r005,Became ineligible for the survey (12) -> Cabrini U.,Became ineligible for the survey (12),Cabrini U.,2
8262,r006,"Became ineligible for the survey (12) -> California State U., Channel Islands",Became ineligible for the survey (12),"California State U., Channel Islands",2
8262,r007,Became ineligible for the survey (12) -> Goucher C.,Became ineligible for the survey (12),Goucher C.,2
8262,r008,Became ineligible for the survey (12) -> Mount Holyoke C.,Became ineligible for the survey (12),Mount Holyoke C.,2
8262,r009,Became ineligible for the survey (12) -> North Central C.,Became ineligible for the survey (12),North Central C.,2
8262,r010,Became ineligible for the survey (12) -> Northwestern Polytechnic U.,Became ineligible for the survey (12),Northwestern Polytechnic U.,2
8262,r011,Became ineligible for the survey (12) -> Trinity U.,Became ineligible for the survey (12),Trinity U.,2
8262,r012,"Became ineligible for the survey (12) -> U. of Saint Francis, Fort Wayne",Became ineligible for the survey (12),"U. of Saint Francis, Fort Wayne",2
8262,r013,Became ineligible for the survey (12) -> U. of St. Thomas (MN),Became ineligible for the survey (12),U. of St. Thomas (MN),2
8262,r014,Became ineligible for the survey (12) -> Vassar C.,Became ineligible for the survey (12),Vassar C.,2
8262,r015,Merged Institutions (1),Merged Institutions (1),,1
8262,r016,"Merged Institutions (1) -> U. Texas Health Science Center, Tyler merged into U. Texas, Tyler",Merged Institutions (1),"U. Texas Health Science Center, Tyler merged into U. Texas, Tyler",2
8262,r017,Changed from a doctorate-granting to master's-granting institution (2)<sup>a</sup>,Changed from a doctorate-granting to master's-granting institution (2)<sup>a</sup>,,1
8262,r018,Changed from a doctorate-granting to master's-granting institution (2)<sup>a</sup> -> Kean U.,Changed from a doctorate-granting to master's-granting institution (2)<sup>a</sup>,Kean U.,2
8262,r019,"Changed from a doctorate-granting to master's-granting institution (2)<sup>a</sup> -> U. Arkansas, Pine Bluff",Changed from a doctorate-granting to master's-granting institution (2)<sup>a</sup>,"U. Arkansas, Pine Bluff",2
8262,r020,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,,1
8262,r021,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> Butler U.,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,Butler U.,2
8262,r022,"Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> Des Moines U., Osteopathic Medical Center",Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,"Des Moines U., Osteopathic Medical Center",2
8262,r023,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> East Stroudsburg U. Pennsylvania,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,East Stroudsburg U. Pennsylvania,2
8262,r024,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> Lipscomb U.,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,Lipscomb U.,2
8262,r025,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> New York Institute of Technology,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,New York Institute of Technology,2
8262,r026,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> Roosevelt U.,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,Roosevelt U.,2
8262,r027,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> Simmons U.,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,Simmons U.,2
8262,r028,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> U. New Haven,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,U. New Haven,2
8262,r029,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> U. North Alabama,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,U. North Alabama,2
8262,r030,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup> -> U. Texas Rio Grande Valley,Changed from a master's-granting to doctorate-granting institution (10)<sup>a</sup>,U. Texas Rio Grande Valley,2
