table_id,row_id,citizenship_ethnicity_race_and_sex_full_path,citizenship_ethnicity_race_and_sex_level_1,citizenship_ethnicity_race_and_sex_level_2,citizenship_ethnicity_race_and_sex_level_3,citizenship_ethnicity_race_and_sex_level_4,citizenship_ethnicity_race_and_sex_level_5,citizenship_ethnicity_race_and_sex_hierarchy_depth,field_all_institutions_total,field_all_institutions_full_time,field_all_institutions_part_time,field_public_total,field_public_full_time,field_public_part_time,field_private_nonprofit_total,field_private_nonprofit_full_time,field_private_nonprofit_part_time,field_private_for_profit_total,field_private_for_profit_full_time,field_private_for_profit_part_time
3235,r001,All undergraduates,All undergraduates,,,,,1,16793888,10414121,6379767,13115045,7507316,5607729,2910622,2390640,519982,768221,516165,252056
3235,r002,All undergraduates -> U.S. citizen and permanent resident,All undergraduates,U.S. citizen and permanent resident,,,,2,16228080,9932298,6295782,12725277,7185759,5539518,2748205,2242312,505893,754598,504227,250371
3235,r003,All undergraduates -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All undergraduates,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,3,3389293,1880887,1508406,2827734,1433455,1394279,405849,329942,75907,155710,117490,38220
3235,r004,All undergraduates -> U.S. citizen and permanent resident -> Not Hispanic or Latino  ,All undergraduates,U.S. citizen and permanent resident,Not Hispanic or Latino  ,,,3,12838787,8051411,4787376,9897543,5752304,4145239,2342356,1912370,429986,598888,386737,212151
3235,r005,All undergraduates -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> American Indian or Alaska Native,All undergraduates,U.S. citizen and permanent resident,Not Hispanic or Latino  ,American Indian or Alaska Native,,4,115749,64977,50772,95214,49533,45681,13986,10800,3186,6549,4644,1905
3235,r006,All undergraduates -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Asian,All undergraduates,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Asian,,4,1050692,700766,349926,870369,543240,327129,154686,138788,15898,25637,18738,6899
3235,r007,All undergraduates -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Black or African American ,All undergraduates,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Black or African American ,,4,2027114,1194703,832411,1524181,831420,692761,320691,249922,70769,182242,113361,68881
3235,r008,All undergraduates -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander  ,All undergraduates,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,,4,50410,29654,20756,38273,20586,17687,7470,5755,1715,4667,3313,1354
3235,r009,All undergraduates -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> White,All undergraduates,U.S. citizen and permanent resident,Not Hispanic or Latino  ,White,,4,8278881,5305912,2972969,6440200,3828564,2611636,1576496,1313961,262535,262185,163387,98798
3235,r010,All undergraduates -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> More than one race,All undergraduates,U.S. citizen and permanent resident,Not Hispanic or Latino  ,More than one race,,4,621465,408796,212669,496035,304519,191516,100612,86825,13787,24818,17452,7366
3235,r011,All undergraduates -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Other or unknown race or ethnicity,All undergraduates,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Other or unknown race or ethnicity,,4,694476,346603,347873,433271,174442,258829,168415,106319,62096,92790,65842,26948
3235,r012,All undergraduates -> Temporary resident,All undergraduates,Temporary resident,,,,2,565808,481823,83985,389768,321557,68211,162417,148328,14089,13623,11938,1685
3235,r013,All undergraduates -> Female,All undergraduates,Female,,,,2,9490396,5749352,3741044,7311455,4055524,3255931,1682351,1366940,315411,496590,326888,169702
3235,r014,All undergraduates -> Female -> U.S. citizen and permanent resident,All undergraduates,Female,U.S. citizen and permanent resident,,,3,9226449,5529032,3697417,7133820,3913671,3220149,1603892,1295323,308569,488737,320038,168699
