table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_able_to_manage_demands_of_position_disagree,field_able_to_manage_demands_of_position_neither_agree_nor_disagree,field_able_to_manage_demands_of_position_agree,field_work_schedule_allowed_maintenance_of_desired_quality_of_life_disagree,field_work_schedule_allowed_maintenance_of_desired_quality_of_life_neither_agree_nor_disagree,field_work_schedule_allowed_maintenance_of_desired_quality_of_life_agree,field_supervisor_understood_relationship_between_personal_and_professional_responsibilities_disagree,field_supervisor_understood_relationship_between_personal_and_professional_responsibilities_neither_agree_nor_disagree,field_supervisor_understood_relationship_between_personal_and_professional_responsibilities_agree,field_demands_at_home_have_slowed_progress_of_professional_activities_disagree,field_demands_at_home_have_slowed_progress_of_professional_activities_neither_agree_nor_disagree,field_demands_at_home_have_slowed_progress_of_professional_activities_agree
3821,r001,All early career doctorates,All early career doctorates,,,,1,186700,9.6,5.6,84.8,21.2,8.9,69.9,10.2,22.3,67.5,34.1,21.4,44.5
3821,r002,All early career doctorates -> Sex,All early career doctorates,Sex,,,2,,,,,,,,,,,,,
3821,r003,All early career doctorates -> Sex -> Female,All early career doctorates,Sex,Female,,3,89400,11.5,5.4,83.1,23.4,8.3,68.3,11.2,23.9,64.9,34.7,21.8,43.5
3821,r004,All early career doctorates -> Sex -> Male,All early career doctorates,Sex,Male,,3,97300,7.8,5.8,86.4,19.2,9.5,71.4,9.3,20.8,69.9,33.6,21.0,45.4
3821,r005,All early career doctorates -> Citizenship and sex,All early career doctorates,Citizenship and sex,,,2,,,,,,,,,,,,,
3821,r006,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,,3,156100,9.6,5.3,85.1,21.4,8.3,70.3,10.6,23.0,66.4,33.2,20.5,46.2
3821,r007,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,4,79900,11.7,5.0,83.3,23.7,7.8,68.4,11.6,24.1,64.3,33.6,20.8,45.6
3821,r008,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,4,76300,7.4,5.5,87.1,18.9,8.9,72.2,9.6,21.8,68.6,32.8,20.3,47.0
3821,r009,All early career doctorates -> Citizenship and sex -> Temporary visa holder,All early career doctorates,Citizenship and sex,Temporary visa holder,,3,30600,9.4,7.4,83.2,20.2,11.7,68.1,8.2,18.8,73.1,38.7,25.7,35.6
3821,r010,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,All early career doctorates,Citizenship and sex,Temporary visa holder,Female,4,9600,10.2,8.3,81.5,20.3,12.2,67.5,8.2,22.2,69.6,43.1,30.7,26.2
