table_id,row_id,_b_survey_population_and_type_of_institution_b_full_path,_b_survey_population_and_type_of_institution_b_level_1,_b_survey_population_and_type_of_institution_b_level_2,_b_survey_population_and_type_of_institution_b_level_3,_b_survey_population_and_type_of_institution_b_hierarchy_depth,field_number_in_survey_universe,field_complete_responses,field_partial_responses,field_total_responses,field_response_rate_
7924,r001,All respondents,All respondents,,,1,910,521,344,865,95.1
7924,r002,All respondents -> Standard form institutions,All respondents,Standard form institutions,,2,648,288,332,620,95.7
7924,r003,All respondents -> Standard form institutions -> Doctorate,All respondents,Standard form institutions,Doctorate,3,478,203,267,470,98.3
7924,r004,All respondents -> Standard form institutions -> Professional,All respondents,Standard form institutions,Professional,3,37,18,16,34,91.9
7924,r005,All respondents -> Standard form institutions -> Master's,All respondents,Standard form institutions,Master's,3,93,45,35,80,86.0
7924,r006,All respondents -> Standard form institutions -> Bachelor's,All respondents,Standard form institutions,Bachelor's,3,40,22,14,36,90.0
7924,r007,All respondents -> Standard form institutions -> Public,All respondents,Standard form institutions,Public,3,412,174,227,401,97.3
7924,r008,All respondents -> Standard form institutions -> Private,All respondents,Standard form institutions,Private,3,236,114,105,219,92.8
7924,r009,All respondents -> Short form institutions,All respondents,Short form institutions,,2,262,233,12,245,93.5
7924,r010,All respondents -> Short form institutions -> Doctorate,All respondents,Short form institutions,Doctorate,3,81,71,3,74,91.4
7924,r011,All respondents -> Short form institutions -> Professional,All respondents,Short form institutions,Professional,3,42,36,4,40,95.2
7924,r012,All respondents -> Short form institutions -> Master's,All respondents,Short form institutions,Master's,3,92,85,4,89,96.7
7924,r013,All respondents -> Short form institutions -> Bachelor's,All respondents,Short form institutions,Bachelor's,3,47,41,1,42,89.4
7924,r014,All respondents -> Short form institutions -> Public,All respondents,Short form institutions,Public,3,114,107,3,110,96.5
7924,r015,All respondents -> Short form institutions -> Private,All respondents,Short form institutions,Private,3,148,126,9,135,91.2
