table_id,row_id,oecd_education_system,average_score_in_2012,average_score_in_2015,average_score_in_2018
4100,r001,Japan,"['536', '*']","['532', '*']","['527', '*']"
4100,r002,South Korea,"['554', '*']","['524', '*']","['526', '*']"
4100,r003,Estonia,"['521', '*']","['520', '*']","['523', '*']"
4100,r004,Netherlands,"['523', '*']","['512', '*']","['519', '*']"
4100,r005,Poland,"['518', '*']","['504', '*']","['516', '*']"
4100,r006,Switzerland,"['531', '*']","['521', '*']","['515', '*']"
4100,r007,Canada,"['518', '*']","['516', '*']","['512', '*']"
4100,r008,Denmark,"['500', '*']","['511', '*']","['509', '*']"
4100,r009,Slovenia,"['501', '*']","['510', '*']","['509', '*']"
4100,r010,Belgium,"['515', '*']","['507', '*']","['508', '*']"
4100,r011,Finland,"['519', '*']","['511', '*']","['507', '*']"
4100,r012,Sweden,"['478', '&nbsp;']","['494', '*']","['502', '*']"
4100,r013,United Kingdom,"['494', '*']","['492', '*']","['502', '*']"
4100,r014,Norway,"['489', '&nbsp;']","['502', '*']","['501', '*']"
4100,r015,Germany,"['514', '*']","['506', '*']","['500', '*']"
4100,r016,Ireland,"['501', '*']","['504', '*']","['500', '*']"
4100,r017,Czechia,"['499', '*']","['492', '*']","['499', '*']"
4100,r018,Austria,"['506', '*']","['497', '*']","['499', '*']"
4100,r019,Latvia,"['491', '*']","['482', '*']","['496', '*']"
4100,r020,France,"['495', '*']","['493', '*']","['495', '*']"
4100,r021,Iceland,"['493', '*']","['488', '*']","['495', '*']"
4100,r022,New Zealand,"['500', '*']","['495', '*']","['494', '*']"
4100,r023,Portugal,"['487', '&nbsp;']","['492', '*']","['492', '*']"
4100,r024,Australia,"['504', '*']","['494', '*']","['491', '*']"
4100,r025,Italy,"['485', '&nbsp;']","['490', '*']","['487', '&nbsp;']"
4100,r026,Slovakia,"['482', '&nbsp;']","['475', '&nbsp;']","['486', '&nbsp;']"
4100,r027,Luxembourg,"['490', '*']","['486', '*']","['483', '&nbsp;']"
4100,r028,Spain,"['484', '&nbsp;']","['486', '*']","['481', '&nbsp;']"
4100,r029,Lithuania,"['479', '&nbsp;']","['478', '*']","['481', '&nbsp;']"
4100,r030,Hungary,"['477', '&nbsp;']","['477', '&nbsp;']","['481', '&nbsp;']"
4100,r031,United States,"['481', '&nbsp;']","['470', '&nbsp;']","['478', '&nbsp;']"
4100,r032,Israel,"['466', '*']","['470', '&nbsp;']","['463', '*']"
4100,r033,Turkey,"['448', '*']","['420', '*']","['454', '*']"
4100,r034,Greece,"['453', '*']","['454', '*']","['451', '*']"
4100,r035,Chile,"['423', '*']","['423', '*']","['417', '*']"
4100,r036,Mexico,"['413', '*']","['408', '*']","['409', '*']"
4100,r037,Colombia,"['376', '*']","['390', '*']","['391', '*']"
