table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5411,r001,All institutions,All institutions,,1,-,"['5,745,238', '']","['81,578', '']","['149,331', '']","['3,725,032', '']","['39,436', '']","['241,118', '']","['87,853', '']","['451,233', '']","['48,714', '']","['393,387', '']","['527,556', '']"
5411,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['231,371', '']","['0', '']","['0', '']","['223,346', '']","['0', '']","['8,025', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5411,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['198,220', '']","['2,149', '']","['8,825', '']","['157,999', '']","['734', '']","['3,550', '']","['175', '']","['5,703', '']","['0', '']","['8,055', '']","['11,030', '']"
5411,r004,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,3,"['194,946', '']","['989', '']","['4,119', '']","['146,195', '']","['692', '']","['2,622', '']","['2,542', '']","['11,535', '']","['2,075', '']","['8,746', '']","['15,431', '']"
5411,r005,All institutions -> Harvard U.,All institutions,Harvard U.,2,4,"['171,566', '']","['956', '']","['4,890', '']","['81,170', '']","['712', '']","['14,950', '']","['204', '']","['37,409', '']","['450', '']","['4,228', '']","['26,597', '']"
5411,r006,All institutions -> Stanford U.,All institutions,Stanford U.,2,5,"['168,843', '']","['810', '']","['5,753', '']","['105,380', '']","['298', '']","['14,090', '']","['4,733', '']","['13,512', '']","['77', '']","['12,782', '']","['11,408', '']"
5411,r007,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,6,"['155,728', '']","['951', '']","['1,221', '']","['142,487', '']","['69', '']","['2,971', '']","['327', '']","['967', '']","['0', '']","['4,696', '']","['2,039', '']"
5411,r008,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,7,"['135,100', '']","['9,025', '']","['642', '']","['44,861', '']","['592', '']","['13,781', '']","['4,528', '']","['18,102', '']","['10,995', '']","['19,124', '']","['13,450', '']"
5411,r009,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,8,"['122,835', '']","['2,391', '']","['1,939', '']","['73,519', '']","['1,104', '']","['4,834', '']","['1,557', '']","['9,681', '']","['2,917', '']","['9,517', '']","['15,376', '']"
5411,r010,All institutions -> Cornell U.,All institutions,Cornell U.,2,9,"['119,570', '']","['1,864', '']","['209', '']","['102,190', '']","['265', '']","['2,852', '']","['522', '']","['1,455', '']","['0', '']","['4,066', '']","['6,147', '']"
5411,r011,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,10,"['112,832', '']","['349', '']","['248', '']","['88,657', '']","['569', '']","['3,077', '']","['3,412', '']","['4,335', '']","['0', '']","['3,598', '']","['8,587', '']"
5411,r012,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,11,"['110,299', '']","['1,442', '']","['8,280', '']","['72,484', '']","['166', '']","['16,530', '']","['778', '']","['3,074', '']","['5', '']","['6,558', '']","['982', '']"
5411,r013,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,12,"['105,442', '']","['524', '']","['12,466', '']","['58,576', '']","['775', '']","['2,851', '']","['500', '']","['7,360', '']","['0', '']","['2,779', '']","['19,611', '']"
5411,r014,All institutions -> Duke U.,All institutions,Duke U.,2,13,"['104,685', '']","['23', '']","['1,255', '']","['82,358', '']","['1,062', '']","['252', '']","['658', '']","['8,803', '']","['0', '']","['6,252', '']","['4,022', '']"
5411,r015,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,14,"['99,438', '']","['5,693', '']","['3,741', '']","['15,952', '']","['2,250', '']","['6,793', '']","['187', '']","['24,151', '']","['1,348', '']","['26,392', '']","['12,931', '']"
5411,r016,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,15,"['92,835', '']","['0', '']","['0', '']","['92,835', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5411,r017,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,16,"['91,685', '']","['91', '']","['184', '']","['85,594', '']","['14', '']","['1,098', '']","['345', '']","['292', '']","['0', '']","['1,633', '']","['2,434', '']"
5411,r018,All institutions -> Yale U.,All institutions,Yale U.,2,17,"['86,548', '']","['204', '']","['152', '']","['70,268', '']","['303', '']","['3,507', '']","['517', '']","['2,896', '']","['0', '']","['1,455', '']","['7,246', '']"
5411,r019,All institutions -> New York U.,All institutions,New York U.,2,18,"['85,710', '']","['1,738', '']","['1', '']","['55,079', '']","['1,259', '']","['1,313', '']","['2,914', '']","['4,696', '']","['0', '']","['3,465', '']","['15,245', '']"
5411,r020,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,19,"['76,679', '']","['1,634', '']","['244', '']","['48,340', '']","['378', '']","['1,612', '']","['4,157', '']","['12,103', '']","['0', '']","['1,378', '']","['6,833', '']"
5411,r021,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,20,"['75,131', '']","['1,498', '']","['238', '']","['46,613', '']","['357', '']","['1,577', '']","['1,642', '']","['12,782', '']","['0', '']","['5,269', '']","['5,155', '']"
5411,r022,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,21,"['71,676', '']","['1,086', '']","['15', '']","['60,213', '']","['47', '']","['282', '']","['609', '']","['4,322', '']","['1,849', '']","['1,072', '']","['2,181', '']"
5411,r023,All institutions -> Emory U.,All institutions,Emory U.,2,22,"['67,600', '']","['38', '']","['104', '']","['64,549', '']","['13', '']","['243', '']","['209', '']","['135', '']","['0', '']","['330', '']","['1,979', '']"
5411,r024,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,23,"['65,940', '']","['158', '']","['323', '']","['58,134', '']","['421', '']","['473', '']","['922', '']","['1,207', '']","['2,309', '']","['872', '']","['1,121', '']"
5411,r025,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,24,"['63,664', '']","['2,181', '']","['1,697', '']","['33,735', '']","['660', '']","['5,650', '']","['1,808', '']","['2,149', '']","['0', '']","['13,434', '']","['2,350', '']"
5411,r026,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,25,"['62,702', '']","['569', '']","['1,841', '']","['16,301', '']","['144', '']","['1,211', '']","['2,198', '']","['7,491', '']","['10,336', '']","['6,991', '']","['15,620', '']"
5411,r027,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,26,"['60,621', '']","['249', '']","['1,970', '']","['46,981', '']","['362', '']","['1,337', '']","['380', '']","['693', '']","['26', '']","['1,111', '']","['7,512', '']"
5411,r028,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,27,"['57,662', '']","['476', '']","['870', '']","['41,288', '']","['66', '']","['1,326', '']","['204', '']","['8,654', '']","['0', '']","['1,960', '']","['2,818', '']"
5411,r029,All institutions -> Princeton U.,All institutions,Princeton U.,2,28,"['55,398', '']","['1,358', '']","['865', '']","['9,139', '']","['2,412', '']","['7,464', '']","['1,685', '']","['26,844', '']","['0', '']","['2,720', '']","['2,911', '']"
5411,r030,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,29,"['53,780', '']","['0', '']","['0', '']","['53,780', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5411,r031,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,30,"['53,691', '']","['0', '']","['0', '']","['53,691', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5411,r032,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,31,"['53,539', '']","['748', '']","['2,351', '']","['14,625', '']","['547', '']","['6,627', '']","['162', '']","['2,904', '']","['158', '']","['23,999', '']","['1,418', '']"
5411,r033,All institutions -> U. Florida,All institutions,U. Florida,2,32,"['50,483', '']","['105', '']","['148', '']","['45,223', '']","['120', '']","['383', '']","['658', '']","['391', '']","['0', '']","['1,698', '']","['1,757', '']"
5411,r034,All institutions -> U. Southern California,All institutions,U. Southern California,2,33,"['50,026', '']","['300', '']","['772', '']","['28,844', '']","['73', '']","['350', '']","['703', '']","['9,816', '']","['0', '']","['1,161', '']","['8,007', '']"
5411,r035,All institutions -> U. Colorado Denver and Anschutz Medical Campus,All institutions,U. Colorado Denver and Anschutz Medical Campus,2,34,"['49,479', '']","['2', '']","['31', '']","['48,338', '']","['19', '']","['16', '']","['149', '']","['1', '']","['2', '']","['240', '']","['681', '']"
5411,r036,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,35,"['48,919', '']","['12,676', '']","['0', '']","['11,474', '']","['1,291', '']","['17', '']","['669', '']","['13,384', '']","['0', '']","['0', '']","['9,408', '']"
5411,r037,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,36,"['48,087', '']","['10', '']","['157', '']","['36,656', '']","['115', '']","['2,619', '']","['66', '']","['1,627', '']","['2,964', '']","['1,256', '']","['2,617', '']"
5411,r038,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,37,"['48,000', '']","['290', '']","['394', '']","['35,248', '']","['162', '']","['2,133', '']","['188', '']","['1,380', '']","['1,238', '']","['2,944', '']","['4,023', '']"
5411,r039,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,38,"['42,970', '']","['51', '']","['1,746', '']","['31,859', '']","['443', '']","['496', '']","['710', '']","['1,959', '']","['0', '']","['3,491', '']","['2,215', '']"
5411,r040,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,39,"['42,326', '']","['0', '']","['63', '']","['36,168', '']","['26', '']","['278', '']","['27', '']","['5,487', '']","['0', '']","['168', '']","['109', '']"
5411,r041,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,40,"['42,157', '']","['192', '']","['37', '']","['33,597', '']","['670', '']","['364', '']","['1,225', '']","['1,572', '']","['532', '']","['2,197', '']","['1,771', '']"
5411,r042,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,41,"['41,520', '']","['0', '']","['0', '']","['39,553', '']","['0', '']","['0', '']","['53', '']","['0', '']","['0', '']","['1,850', '']","['64', '']"
5411,r043,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,42,"['40,881', '']","['867', '']","['3,861', '']","['9,480', '']","['5,057', '']","['3,672', '']","['874', '']","['3,339', '']","['215', '']","['7,245', '']","['6,271', '']"
5411,r044,All institutions -> Boston U.,All institutions,Boston U.,2,43,"['40,325', '']","['59', '']","['299', '']","['29,837', '']","['644', '']","['548', '']","['1,354', '']","['1,431', '']","['111', '']","['2,178', '']","['3,864', '']"
5411,r045,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,44,"['39,090', '']","['0', '']","['0', '']","['39,090', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5411,r046,All institutions -> George Mason U.,All institutions,George Mason U.,2,45,"['38,691', '']","['495', '']","['135', '']","['1,855', '']","['8', '']","['0', '']","['392', '']","['30,272', '']","['0', '']","['273', '']","['5,261', '']"
5411,r047,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,46,"['37,430', '']","['162', '']","['300', '']","['19,675', '']","['288', '']","['277', '']","['2,838', '']","['1,887', '']","['304', '']","['1,269', '']","['10,430', '']"
5411,r048,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,47,"['36,500', '']","['540', '']","['8,177', '']","['10,498', '']","['184', '']","['9,399', '']","['0', '']","['0', '']","['0', '']","['2,842', '']","['4,860', '']"
5411,r049,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,48,"['36,434', '']","['0', '']","['0', '']","['29,351', '']","['132', '']","['465', '']","['576', '']","['1,190', '']","['0', '']","['1,664', '']","['3,056', '']"
5411,r050,All institutions -> U. Utah,All institutions,U. Utah,2,49,"['36,404', '']","['234', '']","['343', '']","['25,005', '']","['273', '']","['548', '']","['1,050', '']","['1,042', '']","['0', '']","['257', '']","['7,652', '']"
5411,r051,All institutions -> U. Miami,All institutions,U. Miami,2,50,"['35,005', '']","['0', '']","['8,001', '']","['23,014', '']","['671', '']","['130', '']","['1,463', '']","['241', '']","['0', '']","['1,279', '']","['206', '']"
5411,r052,All institutions -> U. Chicago,All institutions,U. Chicago,2,51,"['34,865', '']","['214', '']","['253', '']","['16,862', '']","['414', '']","['2,615', '']","['1,409', '']","['9,023', '']","['0', '']","['499', '']","['3,576', '']"
5411,r053,All institutions -> U. Arizona,All institutions,U. Arizona,2,52,"['34,707', '']","['239', '']","['909', '']","['10,725', '']","['35', '']","['18,376', '']","['81', '']","['717', '']","['20', '']","['3,446', '']","['159', '']"
5411,r054,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,53,"['34,212', '']","['775', '']","['98', '']","['17,267', '']","['736', '']","['4,081', '']","['517', '']","['551', '']","['151', '']","['5,610', '']","['4,426', '']"
5411,r055,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,54,"['33,853', '']","['0', '']","['399', '']","['32,470', '']","['157', '']","['827', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5411,r056,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,55,"['33,706', '']","['0', '']","['0', '']","['32,794', '']","['3', '']","['0', '']","['171', '']","['14', '']","['0', '']","['681', '']","['43', '']"
