table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_published_papers_in_conference_proceedings,field_authored_or_co_authored_conference_papers,field_submitted_articles_for_publication_in_a_peer_reviewed_journal,field_published_books_or_book_chapters,field_mentored_or_supervised_students,field_taught_courses,field_named_as_an_inventor_on_a_patent_application,field_provided_service_to_department_institution_or_professional_society
3829,r001,All early career doctorates,All early career doctorates,,,,1,186700,56.1,82.6,87.4,39.2,89.2,82.5,7.6,90.3
3829,r002,All early career doctorates -> Sex,All early career doctorates,Sex,,,2,,,,,,,,,
3829,r003,All early career doctorates -> Sex -> Female,All early career doctorates,Sex,Female,,3,89400,51.2,83.5,85.3,40.5,91.0,87.1,3.7,91.8
3829,r004,All early career doctorates -> Sex -> Male,All early career doctorates,Sex,Male,,3,97300,60.6,81.7,89.3,37.9,87.6,78.3,11.3,88.9
3829,r005,All early career doctorates -> Citizenship and sex,All early career doctorates,Citizenship and sex,,,2,,,,,,,,,
3829,r006,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,,3,156100,55.1,83.1,86.2,41.7,91.3,87.2,6.5,92.5
3829,r007,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,4,79900,50.4,83.6,84.3,42.4,92.3,90.0,3.1,93.2
3829,r008,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,4,76300,60.0,82.7,88.2,40.9,90.4,84.4,10.2,91.7
3829,r009,All early career doctorates -> Citizenship and sex -> Temporary visa holder,All early career doctorates,Citizenship and sex,Temporary visa holder,,3,30600,61.3,79.9,93.5,26.4,78.4,58.6,13.2,79.1
3829,r010,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,All early career doctorates,Citizenship and sex,Temporary visa holder,Female,4,9600,57.7,83.0,93.5,25.0,80.4,63.2,8.7,80.3
3829,r011,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,All early career doctorates,Citizenship and sex,Temporary visa holder,Male,4,21000,63.0,78.4,93.6,27.0,77.5,56.5,15.3,78.5
3829,r012,All early career doctorates -> Ethnicity and race,All early career doctorates,Ethnicity and race,,,2,,,,,,,,,
3829,r013,All early career doctorates -> Ethnicity and race -> Hispanic or Latino,All early career doctorates,Ethnicity and race,Hispanic or Latino,,3,13600,55.3,81.4,88.0,43.1,90.4,81.6,6.7,89.3
3829,r014,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,
3829,r015,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Asian,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Asian,4,37600,65.7,83.6,93.0,29.7,81.3,68.1,15.3,82.6
3829,r016,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,10100,48.1,78.7,78.0,44.9,88.5,90.1,2.0,89.3
3829,r017,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> White,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,White,4,120800,53.9,82.6,86.5,41.0,91.5,86.3,6.0,92.9
3829,r018,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,4,4700,56.5,86.6,84.7,42.6,91.3,87.1,3.8,89.7
3829,r019,All early career doctorates -> Age quartile,All early career doctorates,Age quartile,,,2,,,,,,,,,
3829,r020,All early career doctorates -> Age quartile -> 32 years and under,All early career doctorates,Age quartile,32 years and under,,3,38400,51.0,77.4,90.1,24.2,85.0,65.1,11.4,83.7
3829,r021,All early career doctorates -> Age quartile -> 33&#8211;35 year,All early career doctorates,Age quartile,33&#8211;35 year,,3,51100,55.8,85.7,91.7,37.9,90.5,81.9,9.8,90.4
3829,r022,All early career doctorates -> Age quartile -> 36&#8211;40 years,All early career doctorates,Age quartile,36&#8211;40 years,,3,41900,59.3,88.2,90.6,48.9,90.8,87.0,7.4,93.0
3829,r023,All early career doctorates -> Age quartile -> 41 years or older,All early career doctorates,Age quartile,41 years or older,,3,55300,57.5,79.1,79.2,43.3,89.8,91.9,3.1,92.6
3829,r024,All early career doctorates -> Marital status,All early career doctorates,Marital status,,,2,,,,,,,,,
3829,r025,All early career doctorates -> Marital status -> Never married,All early career doctorates,Marital status,Never married,,3,29500,52.4,81.3,89.4,31.3,88.3,74.7,6.7,86.3
3829,r026,All early career doctorates -> Marital status -> Married,All early career doctorates,Marital status,Married,,3,135400,57.3,83.4,87.8,40.2,88.8,83.7,8.1,91.0
3829,r027,All early career doctorates -> Marital status -> Marriage-like relationship,All early career doctorates,Marital status,Marriage-like relationship,,3,11500,48.3,80.5,87.1,41.4,94.6,83.5,6.0,89.9
3829,r028,"All early career doctorates -> Marital status -> Separated, divorced, widowed",All early career doctorates,Marital status,"Separated, divorced, widowed",,3,10300,60.6,77.4,76.5,45.0,92.0,88.6,5.9,92.0
3829,r029,All early career doctorates -> Dependents,All early career doctorates,Dependents,,,2,,,,,,,,,
3829,r030,All early career doctorates -> Dependents -> With dependents,All early career doctorates,Dependents,With dependents,,3,96800,59.2,84.8,87.4,42.8,89.2,86.3,8.1,91.8
3829,r031,All early career doctorates -> Dependents -> Without dependents,All early career doctorates,Dependents,Without dependents,,3,90000,52.8,80.2,87.4,35.3,89.3,78.6,7.1,88.6
3829,r032,All early career doctorates -> Disability status,All early career doctorates,Disability status,,,2,,,,,,,,,
3829,r033,All early career doctorates -> Disability status -> With disability,All early career doctorates,Disability status,With disability,,3,51700,54.9,81.6,84.7,39.9,90.0,86.0,5.8,91.1
3829,r034,All early career doctorates -> Disability status -> Without disability,All early career doctorates,Disability status,Without disability,,3,135000,56.6,82.9,88.4,38.9,88.9,81.2,8.3,89.9
