table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_level_5,occupation_hierarchy_depth,field_bls_national_employment_matrix_2016_estimate,field_blsprojected_2026_employment,field_occupational_openings_2016_26_annual_average,field_10_yeargrowth_in_totalemployment_
1618,r001,"Total, all occupations","Total, all occupations",,,,,1,156063.8,167582.3,18742.0,7.4
1618,r002,"Total, all occupations -> All S&E","Total, all occupations",All S&E,,,,2,6952.6,7825.3,591.5,12.6
1618,r003,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",,,3,4248.7,4882.3,364.7,14.9
1618,r004,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Computer and information research scientists","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",Computer and information research scientists,,4,27.9,33.2,2.5,19.2
1618,r005,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Computer and information analysts","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",Computer and information analysts,,4,700.5,783.4,55.4,11.8
1618,r006,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Software and web developers","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",Software and web developers,,4,1419.2,1745.9,133.2,23.0
1618,r007,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Database and systems administrators and network architects","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",Database and systems administrators and network architects,,4,673.4,721.7,48.0,7.2
1618,r008,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Computer support specialists","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",Computer support specialists,,4,835.3,923.8,72.0,10.6
1618,r009,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Computer occupations, all other","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)","Computer occupations, all other",,4,287.2,313.8,22.4,9.3
1618,r010,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Mathematicians","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",Mathematicians,,4,3.1,4.0,0.3,29.7
1618,r011,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Operations research analysts","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",Operations research analysts,,4,114.0,145.3,10.7,27.4
1618,r012,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Statisticians","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",Statisticians,,4,37.2,49.8,4.4,33.8
1618,r013,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Logisticians","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)",Logisticians,,4,148.7,159.0,15.6,6.9
1618,r014,"Total, all occupations -> All S&E -> Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians) -> Mathematical science occupations, all other","Total, all occupations",All S&E,"Computer and mathematical scientists (excluding computer programmers and mathematical technicians, including logisticians)","Mathematical science occupations, all other",,4,2.2,2.4,0.2,11.0
1618,r015,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",,,3,1765.8,1911.0,136.1,8.2
1618,r016,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Aerospace engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Aerospace engineers,,4,69.6,73.8,4.6,6.1
1618,r017,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Agricultural engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Agricultural engineers,,4,2.7,2.9,0.2,8.2
1618,r018,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Biomedical engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Biomedical engineers,,4,21.3,22.8,1.6,7.2
1618,r019,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Chemical engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Chemical engineers,,4,32.7,35.1,2.4,7.5
1618,r020,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Civil engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Civil engineers,,4,303.5,335.7,25.9,10.6
1618,r021,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Computer hardware engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Computer hardware engineers,,4,73.6,77.6,5.1,5.5
1618,r022,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Electrical and electronics engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Electrical and electronics engineers,,4,324.6,345.8,23.1,6.5
1618,r023,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Electrical and electronics engineers -> Electrical engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Electrical and electronics engineers,Electrical engineers,5,188.3,204.5,13.9,8.6
1618,r024,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Electrical and electronics engineers -> Electronics engineers, except computer","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Electrical and electronics engineers,"Electronics engineers, except computer",5,136.3,141.3,9.2,3.7
1618,r025,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Environmental engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Environmental engineers,,4,53.8,58.3,4.0,8.3
1618,r026,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Industrial engineers, including health and safety","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers","Industrial engineers, including health and safety",,4,283.8,311.2,21.6,9.6
1618,r027,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Industrial engineers, including health and safety -> Health and safety engineers, except mining safety engineers and inspectors","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers","Industrial engineers, including health and safety","Health and safety engineers, except mining safety engineers and inspectors",5,25.9,28.1,1.9,8.6
1618,r028,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Industrial engineers, including health and safety -> Industrial engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers","Industrial engineers, including health and safety",Industrial engineers,5,257.9,283.0,19.7,9.7
1618,r029,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Marine engineers and naval architects","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Marine engineers and naval architects,,4,8.2,9.2,0.6,11.5
1618,r030,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Materials engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Materials engineers,,4,27.0,27.5,1.9,1.6
1618,r031,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Mechanical engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Mechanical engineers,,4,288.8,314.1,21.2,8.8
1618,r032,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Mining and geological engineers, including mining safety engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers","Mining and geological engineers, including mining safety engineers",,4,7.3,7.9,0.6,8.2
1618,r033,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Nuclear engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Nuclear engineers,,4,17.7,18.4,1.4,3.8
1618,r034,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Petroleum engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Petroleum engineers,,4,33.7,38.8,2.8,15.2
1618,r035,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Sales engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Sales engineers,,4,74.9,80.1,8.3,6.9
1618,r036,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Ship engineers","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers",Ship engineers,,4,10.1,10.8,1.3,6.5
1618,r037,"Total, all occupations -> All S&E -> Engineers, including ship engineers and sales engineers -> Engineers, all other","Total, all occupations",All S&E,"Engineers, including ship engineers and sales engineers","Engineers, all other",,4,132.5,141.0,9.5,6.4
1618,r038,"Total, all occupations -> All S&E -> Life scientists","Total, all occupations",All S&E,Life scientists,,,3,325.4,358.0,32.4,10.0
1618,r039,"Total, all occupations -> All S&E -> Life scientists -> Agricultural and food scientists","Total, all occupations",All S&E,Life scientists,Agricultural and food scientists,,4,43.0,46.1,4.7,7.2
1618,r040,"Total, all occupations -> All S&E -> Life scientists -> Agricultural and food scientists -> Animal scientists","Total, all occupations",All S&E,Life scientists,Agricultural and food scientists,Animal scientists,5,6.1,6.4,0.7,5.9
1618,r041,"Total, all occupations -> All S&E -> Life scientists -> Agricultural and food scientists -> Food scientists and technologists","Total, all occupations",All S&E,Life scientists,Agricultural and food scientists,Food scientists and technologists,5,17.0,18.0,1.8,5.7
1618,r042,"Total, all occupations -> All S&E -> Life scientists -> Agricultural and food scientists -> Soil and plant scientists","Total, all occupations",All S&E,Life scientists,Agricultural and food scientists,Soil and plant scientists,5,19.9,21.7,2.2,8.8
