table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2012_22_change_,field_2022_23_change_
8460,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,91,90,90,-1.1,0.0
8460,r002,R&D and R&D plant -> Other income security (609),R&D and R&D plant,Other income security (609),,,,2,91,90,90,-1.1,0.0
8460,r003,R&D and R&D plant -> Other income security (609) ->    Department of Health and Human Services,R&D and R&D plant,Other income security (609),   Department of Health and Human Services,,,3,5,4,4,-20.0,0.0
8460,r004,R&D and R&D plant -> Other income security (609) ->    Department of Health and Human Services -> Administration for Children and Families,R&D and R&D plant,Other income security (609),   Department of Health and Human Services,Administration for Children and Families,,4,5,4,4,-20.0,0.0
8460,r005,R&D and R&D plant -> Other income security (609) -> Social Security Administration,R&D and R&D plant,Other income security (609),Social Security Administration,,,3,86,86,86,0.0,0.0
8460,r006,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,91,90,90,-1.1,0.0
8460,r007,R&D and R&D plant -> R&D -> Other income security (609),R&D and R&D plant,R&D,Other income security (609),,,3,91,90,90,-1.1,0.0
8460,r008,R&D and R&D plant -> R&D -> Other income security (609) ->    Department of Health and Human Services,R&D and R&D plant,R&D,Other income security (609),   Department of Health and Human Services,,4,5,4,4,-20.0,0.0
8460,r009,R&D and R&D plant -> R&D -> Other income security (609) ->    Department of Health and Human Services -> Administration for Children and Families,R&D and R&D plant,R&D,Other income security (609),   Department of Health and Human Services,Administration for Children and Families,5,5,4,4,-20.0,0.0
8460,r010,R&D and R&D plant -> R&D -> Other income security (609) -> Social Security Administration,R&D and R&D plant,R&D,Other income security (609),Social Security Administration,,4,86,86,86,0.0,0.0
