table_id,row_id,_b_country_or_economy_and_field_b_full_path,_b_country_or_economy_and_field_b_level_1,_b_country_or_economy_and_field_b_level_2,_b_country_or_economy_and_field_b_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7575,r001,China<sup>a</sup>,China<sup>a</sup>,,1,3988,4222,4796,4982,5374,5527,5553,6188,6316,6336,6148
7575,r002,China<sup>a</sup> -> Science and engineering,China<sup>a</sup>,Science and engineering,2,3652,3906,4443,4650,4970,5141,5147,5692,5755,5731,5558
7575,r003,China<sup>a</sup> -> Non-science and engineering,China<sup>a</sup>,Non-science and engineering,2,336,316,353,332,404,386,406,496,561,605,590
7575,r004,India ,India ,,1,2165,2248,2204,2316,2229,2195,1970,2045,2056,2250,2291
7575,r005,India  -> Science and engineering,India ,Science and engineering,2,2036,2142,2074,2208,2119,2085,1884,1922,1910,2111,2126
7575,r006,India  -> Non-science and engineering,India ,Non-science and engineering,2,129,106,130,108,110,110,86,123,146,139,165
7575,r007,South Korea ,South Korea ,,1,1445,1472,1383,1284,1234,1229,1128,1039,1168,1056,1025
7575,r008,South Korea  -> Science and engineering,South Korea ,Science and engineering,2,1085,1132,1012,928,920,891,815,729,824,757,729
7575,r009,South Korea  -> Non-science and engineering,South Korea ,Non-science and engineering,2,360,340,371,356,314,338,313,310,344,299,296
7575,r010,Iran ,Iran ,,1,198,287,409,483,629,695,767,935,964,963,809
7575,r011,Iran  -> Science and engineering,Iran ,Science and engineering,2,193,278,380,463,608,664,728,869,882,896,735
7575,r012,Iran  -> Non-science and engineering,Iran ,Non-science and engineering,2,5,9,29,20,21,31,39,66,82,67,74
7575,r013,Taiwan ,Taiwan ,,1,693,719,699,668,614,592,520,514,492,468,409
7575,r014,Taiwan  -> Science and engineering,Taiwan ,Science and engineering,2,570,581,571,558,514,499,435,445,426,417,373
7575,r015,Taiwan  -> Non-science and engineering,Taiwan ,Non-science and engineering,2,123,138,128,110,100,93,85,69,66,51,36
7575,r016,Turkey ,Turkey ,,1,493,439,478,426,469,472,496,454,406,371,330
7575,r017,Turkey  -> Science and engineering,Turkey ,Science and engineering,2,422,352,391,360,386,380,392,364,324,305,271
7575,r018,Turkey  -> Non-science and engineering,Turkey ,Non-science and engineering,2,71,87,87,66,83,92,104,90,82,66,59
7575,r019,Canada ,Canada ,,1,455,423,485,488,454,408,409,431,427,398,367
7575,r020,Canada  -> Science and engineering,Canada ,Science and engineering,2,307,299,332,321,318,272,288,307,313,281,266
7575,r021,Canada  -> Non-science and engineering,Canada ,Non-science and engineering,2,148,124,153,167,136,136,121,124,114,117,101
7575,r022,Saudi Arabia ,Saudi Arabia ,,1,49,57,73,105,134,238,339,403,554,614,477
7575,r023,Saudi Arabia  -> Science and engineering,Saudi Arabia ,Science and engineering,2,34,41,53,76,98,175,232,294,431,471,362
7575,r024,Saudi Arabia  -> Non-science and engineering,Saudi Arabia ,Non-science and engineering,2,15,16,20,29,36,63,107,109,123,143,115
7575,r025,Bangladesh ,Bangladesh ,,1,77,86,107,139,154,185,236,280,292,392,397
7575,r026,Bangladesh  -> Science and engineering,Bangladesh ,Science and engineering,2,70,78,96,127,146,178,224,271,271,369,381
7575,r027,Bangladesh  -> Non-science and engineering,Bangladesh ,Non-science and engineering,2,7,8,11,12,8,7,12,9,21,23,16
7575,r028,Mexico ,Mexico ,,1,185,213,177,193,194,221,180,185,187,236,214
7575,r029,Mexico  -> Science and engineering,Mexico ,Science and engineering,2,159,185,146,161,155,191,145,156,162,196,175
7575,r030,Mexico  -> Non-science and engineering,Mexico ,Non-science and engineering,2,26,28,31,32,39,30,35,29,25,40,39
