table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_sent_one_form_brdi_1,field_sent_one_form_brdi_1_s_,field_sent_multiple_formsa_companies,field_sent_multiple_formsa_brdi_1,field_sent_multiple_formsa_brdi_1_s_
1455,r001,Total,Total,,,1,7100,37542,12,83,8
1455,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,6985,11037,12,83,8
1455,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,6566,6386,12,83,8
1455,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,419,4651,0,0,0
1455,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,27,1017,0,0,0
1455,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,27,778,0,0,0
1455,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,0,239,0,0,0
1455,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,12,25474,0,0,0
1455,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,8,6822,0,0,0
1455,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,4,18652,0,0,0
1455,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,76,14,0,0,0
