table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_artificial_intelligence_r_d_total_companiesa_number_,field_artificial_intelligence_r_d_total_amount,field_artificial_intelligence_r_d_paid_for_by_the_company_companiesa_number_,field_artificial_intelligence_r_d_paid_for_by_the_company_amount,field_artificial_intelligence_r_d_paid_for_by_others_companiesa_number_,field_artificial_intelligence_r_d_paid_for_by_others_amount
8813,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['30,360', '&nbsp;']","['537,619', '&nbsp;']","['3,580', 'i']","['20,644', 'i']","['3,270', 'i']","['18,613', 'i']","['490', 'i']","['2,030', 'i']"
8813,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['15,920', '&nbsp;']","['308,445', '&nbsp;']","['1,100', 'i']","['6,636', '&nbsp;']","['1,060', 'i']","['6,345', '&nbsp;']","['80', '&nbsp;']","['291', '&nbsp;']"
8813,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['970', '&nbsp;']","['5,239', '&nbsp;']","['20', '&nbsp;']","['9', '&nbsp;']","['20', '&nbsp;']","['8', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']"
8813,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['240', '&nbsp;']","['1,177', 'i']","['10', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8813,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['230', '&nbsp;']","['822', '&nbsp;']","['20', 'i']","['8', '&nbsp;']","['20', 'i']","['8', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8813,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['130', '&nbsp;']","['187', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8813,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['100', '&nbsp;']","['928', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8813,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['220', '&nbsp;']","['283', '&nbsp;']","['10', 'i']","['2', 'i']","['10', 'i']","['2', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
8813,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['100', '&nbsp;']","['1,311 - 1,324', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8813,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,550', '&nbsp;']","['101,079', '&nbsp;']","['50', '&nbsp;']","['450', '&nbsp;']","['50', '&nbsp;']","['444', '&nbsp;']","['10', '&nbsp;']","['6', '&nbsp;']"
8813,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['300', '&nbsp;']","['2,694', '&nbsp;']","['10', '&nbsp;']","['20', '&nbsp;']","['10', '&nbsp;']","['16', '&nbsp;']","['10', '&nbsp;']","['5', '&nbsp;']"
8813,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['150', '&nbsp;']","['1,234', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8813,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['130', '&nbsp;']","['1,060 - 1,066', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8813,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,230', '&nbsp;']","['91,776', '&nbsp;']","['30', '&nbsp;']","['417', '&nbsp;']","['30', '&nbsp;']","['417', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
