table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
12342,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,810', '&nbsp;']","['D', '&nbsp;']","['2,705', '&nbsp;']","['2,620', '&nbsp;']","['2,849', '&nbsp;']","['3,042', '&nbsp;']","['0 - 5,157', '  ']","['2,544', '  ']","['2,443', '&nbsp;']","['2,360', '&nbsp;']","['2,697', '  ']","['2,713', '  ']","['2,860', '  ']"
12342,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['NA', '&nbsp;']","['NA', '&nbsp;']","['783', '&nbsp;']","['798', '&nbsp;']","['997', '&nbsp;']","['1,197', '&nbsp;']","['1,154', '&nbsp;']","['1,201', '&nbsp;']","['0 - 5,157', '  ']","['541', '  ']","['1,636 - 1,662', '&nbsp;']","['1,172', '&nbsp;']","['1,233', '  ']","['1,389', 'i ']","['1,493', '  ']"
12342,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,691', 'i']","['1,743', 'i']","['D', '&nbsp;']","['0 - 5,157', '  ']","['1,469', '  ']","['1,460', '&nbsp;']","['1,822 - 1,846', '&nbsp;']","['961 - 1,173', '  ']","['1,156', '  ']","['1,193', '  ']"
12342,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['48,131', '&nbsp;']","['46,415', '&nbsp;']","['49,469', '&nbsp;']","['46,308', '&nbsp;']","['47,851', '&nbsp;']","['52,790', '&nbsp;']","['56,482', '&nbsp;']","['57,332', '&nbsp;']","['62,346 - 67,504', '  ']","['66,870', '  ']","['74,815', '&nbsp;']","['87,735', '&nbsp;']","['92,050', '  ']","['103,534', '  ']","['116,073', '  ']"
12342,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,400', '&nbsp;']","['2,476', '&nbsp;']","['2,342', '&nbsp;']","['2,434', '&nbsp;']","['2,548', '&nbsp;']","['2,579', '&nbsp;']","['2,800', '  ']","['2,860', '  ']","['2,720', '&nbsp;']","['2,760', '&nbsp;']","['2,665', '  ']","['2,742', '  ']","['2,886', '  ']"
12342,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,290', '&nbsp;']","['D', '&nbsp;']","['1,354', '&nbsp;']","['1,357', 'i']","['D', '&nbsp;']","['1,500 - 1,523', '  ']","['1,450', '  ']","['1,265 - 1,294', '&nbsp;']","['1,302 - 1,334', '&nbsp;']","['1,540 - 1,753', '  ']","['1,271', '  ']","['1,223', '  ']"
12342,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['1,817', '&nbsp;']","['2,388', '&nbsp;']","['2,129', '&nbsp;']","['2,278', '&nbsp;']","['3,585', '&nbsp;']","['3,647', '&nbsp;']","['3,614', '&nbsp;']","['2,549', '&nbsp;']","['3,752', '  ']","['3,722', '  ']","['2,742', '&nbsp;']","['2,857', '&nbsp;']","['2,616', '  ']","['3,143', '  ']","['3,470', '  ']"
12342,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,556', '&nbsp;']","['1,098', 'i']","['1,314', 'i']","['1,175', '&nbsp;']","['1,327', 'i']","['1,329', 'i']","['1,445', 'i']","['1,259', '&nbsp;']","['1,289', '  ']","['1,304', '  ']","['1,385', '&nbsp;']","['1,507', 'i']","['1,696', 'i ']","['1,532', '  ']","['1,464', '  ']"
12342,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['695', '&nbsp;']","['863', '&nbsp;']","['681', '&nbsp;']","['655', '&nbsp;']","['741', '&nbsp;']","['618', '&nbsp;']","['677', '&nbsp;']","['625', '&nbsp;']","['592', '  ']","['747', '  ']","['839', '&nbsp;']","['663', '&nbsp;']","['816', '  ']","['925', '  ']","['1,120', '  ']"
12342,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,419', '&nbsp;']","['2,057', '&nbsp;']","['1,727', '&nbsp;']","['1,857', '&nbsp;']","['1,827', 'i']","['2,194', 'i']","['2,107', 'i']","['2,273', 'i']","['2,094', '  ']","['2,234', '  ']","['2,316', '&nbsp;']","['2,866', '&nbsp;']","['3,390', '  ']","['4,044', '  ']","['3,526', '  ']"
12342,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['10,104', '&nbsp;']","['9,226', '&nbsp;']","['10,260', '&nbsp;']","['14,725', '&nbsp;']","['13,752', '&nbsp;']","['12,586', '&nbsp;']","['12,106', '&nbsp;']","['13,539', '&nbsp;']","['12,718', '  ']","['13,341', '  ']","['14,770', '&nbsp;']","['15,182', '&nbsp;']","['16,243', '  ']","['17,747', '  ']","['19,464', '  ']"
12342,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,345', '&nbsp;']","['1,277', '&nbsp;']","['1,546', '&nbsp;']","['1,597', '&nbsp;']","['1,578', '&nbsp;']","['1,531', '&nbsp;']","['1,565', '  ']","['1,565', '  ']","['1,872', '&nbsp;']","['1,920', '&nbsp;']","['1,807 - 1,811', '  ']","['1,867', '  ']","['2,287', '  ']"
12342,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,173', '&nbsp;']","['2,351', '&nbsp;']","['1,291', '&nbsp;']","['3,194', '&nbsp;']","['2,941', '&nbsp;']","['3,214', '&nbsp;']","['3,411', '  ']","['3,737', '  ']","['4,166', '&nbsp;']","['4,459', '&nbsp;']","['4,809', '  ']","['5,349', '  ']","['5,438', '  ']"
12342,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,430', '&nbsp;']","['4,273', '&nbsp;']","['4,336', '&nbsp;']","['1,448', '&nbsp;']","['2,356', '&nbsp;']","['2,515', '&nbsp;']","['2,060', '  ']","['649 - 2,579', '  ']","['2,483', '&nbsp;']","['1,301', '&nbsp;']","['1,653 - 1,657', '  ']","['1,374', '  ']","['3,026', '  ']"
12342,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['5,312', '&nbsp;']","['6,824', '&nbsp;']","['6,579', '&nbsp;']","['6,347', '&nbsp;']","['5,229', '&nbsp;']","['6,280', '&nbsp;']","['5,683', '  ']","['5,459 - 7,388', '  ']","['6,249', '&nbsp;']","['7,503', '&nbsp;']","['7,969', '  ']","['9,157', '  ']","['8,713', '  ']"
12342,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['60,464', '&nbsp;']","['55,856', '&nbsp;']","['61,623', '&nbsp;']","['62,438', '&nbsp;']","['66,290', '&nbsp;']","['68,629', '&nbsp;']","['73,256', '&nbsp;']","['72,182', '&nbsp;']","['77,451', '  ']","['78,003', '  ']","['83,948', '&nbsp;']","['85,571', '&nbsp;']","['99,523', '  ']","['101,830', '  ']","['104,718', '  ']"
12342,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['NA', '&nbsp;']","['NA', '&nbsp;']","['13,875', '&nbsp;']","['12,335', '&nbsp;']","['14,352', '&nbsp;']","['15,663', '&nbsp;']","['18,345', '&nbsp;']","['19,424', '&nbsp;']","['13,156', '  ']","['12,492', '  ']","['13,090', '&nbsp;']","['12,497 - 12,503', '&nbsp;']","['12,096', '  ']","['12,555', '  ']","['11,665', '  ']"
12342,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['22,324', '&nbsp;']","['20,023', '&nbsp;']","['23,011', '&nbsp;']","['24,237', '&nbsp;']","['28,218', '&nbsp;']","['30,176', '&nbsp;']","['31,668', '&nbsp;']","['30,451', '&nbsp;']","['31,413', '  ']","['30,373', '  ']","['30,232 - 43,377', '&nbsp;']","['35,178', 'i']","['43,184', '  ']","['48,134', '  ']","['49,330', '  ']"
12342,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['15,460', '&nbsp;']","['14,318', '&nbsp;']","['15,747', '&nbsp;']","['15,852', '&nbsp;']","['15,918', '&nbsp;']","['15,119', '&nbsp;']","['15,871', '&nbsp;']","['14,202', '&nbsp;']","['14,885', '  ']","['14,325', '  ']","['4,671 - 17,814', '&nbsp;']","['17,644', '&nbsp;']","['18,505', '  ']","['13,676', '  ']","['12,777', '  ']"
12342,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['NA', '&nbsp;']","['NA', '&nbsp;']","['4,189', '&nbsp;']","['4,430', '&nbsp;']","['4,413', '&nbsp;']","['2,634', '&nbsp;']","['3,975', '&nbsp;']","['2,676', '&nbsp;']","['2,632', '  ']","['2,632', '  ']","['0 - 13,142', '&nbsp;']","['3,342', '&nbsp;']","['2,874', '  ']","['3,119', '  ']","['4,578', '  ']"
12342,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['NA', '&nbsp;']","['NA', '&nbsp;']","['8,293', '&nbsp;']","['8,066', '&nbsp;']","['7,734', '&nbsp;']","['8,106', '&nbsp;']","['7,861', '&nbsp;']","['7,360', '&nbsp;']","['7,532', '  ']","['7,379', '  ']","['0 - 13,142', '&nbsp;']","['9,662', '&nbsp;']","['10,587', '  ']","['5,301', '  ']","['4,146', '  ']"
12342,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['NA', '&nbsp;']","['NA', '&nbsp;']","['3,265', '&nbsp;']","['3,356', '&nbsp;']","['3,772', '&nbsp;']","['4,379', '&nbsp;']","['4,035', '&nbsp;']","['4,165', '&nbsp;']","['4,722', '  ']","['4,314', '  ']","['4,672', '&nbsp;']","['4,640', '&nbsp;']","['5,044', '  ']","['5,256', '  ']","['4,053', '  ']"
12342,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['NA', '&nbsp;']","['NA', '&nbsp;']","['8,990', '&nbsp;']","['10,014', '&nbsp;']","['7,801', '&nbsp;']","['7,671', '&nbsp;']","['7,372', '&nbsp;']","['8,105', '&nbsp;']","['17,997', '  ']","['20,814', '  ']","['22,811', '&nbsp;']","['20,244 - 20,254', '&nbsp;']","['25,738', '  ']","['27,465', '  ']","['30,946', '  ']"
12342,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['3,143', '&nbsp;']","['3,317', '&nbsp;']","['3,320', '&nbsp;']","['3,624', '&nbsp;']","['3,078', '&nbsp;']","['4,133', '&nbsp;']","['4,323', '&nbsp;']","['4,359', '&nbsp;']","['4,771', '  ']","['4,319', '  ']","['4,487', '&nbsp;']","['5,282', '&nbsp;']","['5,029', '  ']","['5,463', '  ']","['7,086', '  ']"
12342,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['50,552', '&nbsp;']","['48,209', '&nbsp;']","['42,940', '&nbsp;']","['41,094', '&nbsp;']","['42,340', '&nbsp;']","['43,648', '&nbsp;']","['46,977', '&nbsp;']","['49,286', '&nbsp;']","['51,569', '  ']","['50,698', '  ']","['52,446', '&nbsp;']","['45,482', '&nbsp;']","['49,223', '  ']","['54,651', '  ']","['71,259', '  ']"
12342,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['16,733', '&nbsp;']","['18,518', '&nbsp;']","['19,113', '&nbsp;']","['0 - 47,558', '  ']","['23,542', '  ']","['25,393', '&nbsp;']","['24,223', '&nbsp;']","['23,516 - 23,521', '  ']","['30,144', '  ']","['32,881', '  ']"
12342,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['36,941', '&nbsp;']","['34,563', '&nbsp;']","['29,857', '&nbsp;']","['26,086', 'i']","['24,874', 'i']","['24,783', '&nbsp;']","['26,292', 'i']","['27,440', '&nbsp;']","['1,423 - 48,982', '  ']","['24,154', '  ']","['24,301', '&nbsp;']","['18,358', 'i']","['22,944', '  ']","['21,602', 'i ']","['35,356', '  ']"
12342,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['NA', '&nbsp;']","['NA', '&nbsp;']","['24,777', 'i']","['24,839', 'i']","['23,454', 'i']","['D', '&nbsp;']","['25,002', 'i']","['25,793', '&nbsp;']","['0 - 47,558', '  ']","['22,629 - 24,155', '  ']","['22,978', '&nbsp;']","['16,891', 'i']","['21,291', '  ']","['19,978', 'i ']","['24,571', 'i ']"
12342,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['NA', '&nbsp;']","['NA', '&nbsp;']","['5,080', '&nbsp;']","['1,247', '&nbsp;']","['1,420', '&nbsp;']","['D', '&nbsp;']","['1,290', 'i']","['1,647', 'i']","['1,424', 'i ']","['0 - 1,524', '  ']","['1,323', '&nbsp;']","['1,467', '&nbsp;']","['1,652', '  ']","['1,623', '  ']","['10,785', '  ']"
12342,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['51', '&nbsp;']","['D', '&nbsp;']","['9', 'i']","['18', '&nbsp;']","['16', '&nbsp;']","['3 - 38', '  ']","['9', '  ']","['11', '&nbsp;']","['35', '&nbsp;']","['11', '  ']","['D', '  ']","['30', '  ']"
12342,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,124', '&nbsp;']","['2,148', 'i']","['2,716', '&nbsp;']","['2,549 - 2,586', 'i ']","['2,993', '  ']","['2,741', '&nbsp;']","['2,866', '&nbsp;']","['2,748 - 2,753', '  ']","['D', '  ']","['2,992', '  ']"
12342,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['477', '&nbsp;']","['395', '&nbsp;']","['374', '&nbsp;']","['319', '&nbsp;']","['360', '&nbsp;']","['374', '&nbsp;']","['377', '&nbsp;']","['452', '&nbsp;']","['359', '  ']","['430', '  ']","['409', '&nbsp;']","['409', '&nbsp;']","['418', '  ']","['428', '  ']","['410', '  ']"
12342,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['15,292', '&nbsp;']","['12,757', '&nbsp;']","['13,662', '&nbsp;']","['14,988', '  ']","['16,370', '  ']","['17,245', '&nbsp;']","['18,546', '&nbsp;']","['17,431 - 20,077', '  ']","['21,031', '  ']","['23,382', '  ']"
12342,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['NA', '&nbsp;']","['NA', '&nbsp;']","['6,459', '&nbsp;']","['7,796', '&nbsp;']","['8,333', '&nbsp;']","['12,741', '&nbsp;']","['10,309', '&nbsp;']","['11,353', '&nbsp;']","['12,647 - 12,660', '  ']","['13,930', '  ']","['14,559', '&nbsp;']","['16,022', '&nbsp;']","['16,071', '  ']","['18,394', '  ']","['20,394', '  ']"
12342,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,551', '&nbsp;']","['2,449', '&nbsp;']","['2,309', 'i']","['2,329 - 2,340', 'i ']","['2,439', '  ']","['2,686', '&nbsp;']","['2,524', '&nbsp;']","['1,360 - 4,006', '  ']","['2,636', '  ']","['2,989', '  ']"
12342,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['86,926', '&nbsp;']","['86,064', '&nbsp;']","['80,142', '&nbsp;']","['87,877', '&nbsp;']","['94,183', '&nbsp;']","['100,389', '&nbsp;']","['108,834', '&nbsp;']","['119,501', '&nbsp;']","['128,591', '  ']","['141,377', '  ']","['169,318', '&nbsp;']","['206,761', '&nbsp;']","['229,849', '  ']","['275,067', '  ']","['319,088', '  ']"
12342,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,545', '&nbsp;']","['2,365', '&nbsp;']","['3,031', '&nbsp;']","['4,000', '&nbsp;']","['4,633', '&nbsp;']","['4,012', '&nbsp;']","['3,296', '  ']","['3,292', '  ']","['1,827', '&nbsp;']","['2,716', '&nbsp;']","['1,165 - 1,167', '  ']","['D', '  ']","['D', '&nbsp;']"
12342,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['NA', '&nbsp;']","['NA', '&nbsp;']","['425', '&nbsp;']","['358', '&nbsp;']","['348', '&nbsp;']","['294', '&nbsp;']","['313', '&nbsp;']","['480', '&nbsp;']","['351', '  ']","['326', '  ']","['275', '&nbsp;']","['275', '&nbsp;']","['264', '  ']","['D', '  ']","['D', '  ']"
12342,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,092', '&nbsp;']","['1,556', 'i']","['2,053', 'i']","['452', 'i']","['339', 'i']","['1,698', 'i']","['467', 'i ']","['0 - 9,599', '  ']","['851', 'i']","['1,186', '&nbsp;']","['1,053', '  ']","['D', '&nbsp;']","['D', '  ']"
12342,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['949', 'i']","['1,353', '&nbsp;']","['1,356', 'i']","['1,388', '&nbsp;']","['D', '&nbsp;']","['0 - 9,499', 'i ']","['0 - 9,599', '  ']","['11,652', 'i']","['0 - 17,176', 'i']","['14,518 - 20,878', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
12342,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['NA', '&nbsp;']","['NA', '&nbsp;']","['95', '&nbsp;']","['132', '&nbsp;']","['178', '&nbsp;']","['D', '&nbsp;']","['679', '&nbsp;']","['403', '&nbsp;']","['488', '  ']","['1,214', '  ']","['2,548', 'i']","['9,890', 'i']","['6,180', 'i ']","['7,208', '  ']","['9,395', '  ']"
12342,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['37,695', '&nbsp;']","['35,953', '&nbsp;']","['37,088', '&nbsp;']","['42,697', '&nbsp;']","['46,900', '&nbsp;']","['56,608', '&nbsp;']","['64,277', '&nbsp;']","['65,457', '&nbsp;']","['70,946', '  ']","['80,120', '  ']","['94,507', '&nbsp;']","['110,665', '&nbsp;']","['129,379', '  ']","['148,069', '  ']","['182,340', '  ']"
