table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_hierarchy_depth,field_all_physical_sciences_fields,field_astronomy_and_astrophysics,field_chemistry,field_materials_sciences,field_physics
11731,r001,Doctorate recipients reporting postgraduation status (number),Doctorate recipients reporting postgraduation status (number),,,,,1,4983,308,2472,374,1829
11731,r002,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans,,,,2,34.8,62.0,29.5,23.5,39.7
11731,r003,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans,Doctorate recipients reporting postgraduation status (number),Definite employment plans,,,,2,38.4,18.8,43.6,46.3,33.1
11731,r004,Doctorate recipients reporting postgraduation status (number) -> Seeking employment or study,Doctorate recipients reporting postgraduation status (number),Seeking employment or study,,,,2,25.2,17.2,25.4,29.1,25.4
11731,r005,Doctorate recipients reporting postgraduation status (number) -> Other status<sup>a</sup>,Doctorate recipients reporting postgraduation status (number),Other status<sup>a</sup>,,,,2,1.6,1.9,1.5,1.1,1.7
11731,r006,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,,,,2,,,,,
11731,r007,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Postdoc fellowship or research associateship,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Postdoc fellowship or research associateship,,,3,98.3,99.5,97.3,,98.9
11731,r008,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Other training or unknown<sup>c</sup>,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Other training or unknown<sup>c</sup>,,,3,1.7,0.5,2.7,,1.1
11731,r009,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,,,,2,,,,,
11731,r010,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,,,3,11.9,34.5,10.5,7.5,13.5
11731,r011,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> In tenure track faculty position (%),Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,In tenure track faculty position (%),,4,19.7,,22.1,,18.3
11731,r012,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> Not in tenure track position (%),Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,Not in tenure track position (%),,4,75.0,,74.3,,75.6
11731,r013,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Government,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Government,,,3,5.1,,4.6,,5.4
11731,r014,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Industry or business<sup>e</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Industry or business<sup>e</sup>,,,3,78.8,46.6,81.1,83.2,76.7
11731,r015,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Nonprofit organization,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Nonprofit organization,,,3,2.7,,2.3,,3.0
11731,r016,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Other or unknown<sup>f</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Other or unknown<sup>f</sup>,,,3,1.5,3.4,1.5,1.7,1.3
11731,r017,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,,,3,,,,,
11731,r018,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Research and development,,4,72.6,61.4,73.4,76.5,71.2
11731,r019,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Teaching,,4,8.5,,8.4,,
11731,r020,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Management or administration,,4,0.7,,0.9,,
11731,r021,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Professional services and other,,4,18.2,21.1,17.3,17.3,19.6
11731,r022,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,,,3,,,,,
11731,r023,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Research and development,,4,9.1,,,9.3,13.5
11731,r024,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Teaching,,4,1.2,0.0,,,1.0
11731,r025,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Management or administration,,4,16.5,,20.3,,9.7
11731,r026,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Professional services and other,,4,8.8,15.8,6.5,9.9,11.9
11731,r027,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> No secondary activity,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,No secondary activity,,4,64.4,57.9,65.9,58.6,63.8
11731,r028,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Activity unknown,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Activity unknown,,,3,3.4,1.7,3.1,6.4,3.3
11731,r029,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,,,,2,,,,,
11731,r030,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup>,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,,,3,91.7,85.1,94.6,94.6,88.4
11731,r031,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> Midwest,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,Midwest,,4,14.3,10.4,16.5,14.6,12.0
11731,r032,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> Northeast,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,Northeast,,4,24.1,18.9,26.0,19.5,23.3
11731,r033,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> South,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,South,,4,20.4,21.7,21.6,15.7,19.6
11731,r034,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> West,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,West,,4,32.4,33.7,30.3,42.9,33.0
11731,r035,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Outside the United States,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Outside the United States,,,3,8.3,14.9,5.4,5.4,11.6
11731,r036,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Location unknown,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Location unknown,,,3,0.0,0.0,0.0,0.0,0.0
11731,r037,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location in same state as doctorate institution (%),Doctorate recipients reporting postgraduation status (number),Postgraduation location in same state as doctorate institution (%),,,,2,30.7,22.5,33.9,33.7,27.3
11731,r038,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),,,,2,3285,209,1398,238,1440
11731,r039,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans,,,3,36.8,61.7,32.0,26.9,39.5
11731,r040,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans,,,3,36.6,19.6,41.8,42.0,33.1
11731,r041,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Seeking employment or study,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Seeking employment or study,,,3,25.4,16.7,25.0,30.3,26.2
11731,r042,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Other status<sup>a</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Other status<sup>a</sup>,,,3,1.2,1.9,1.2,0.8,1.3
11731,r043,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,,,3,,,,,
11731,r044,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Postdoc fellowship or research associateship,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Postdoc fellowship or research associateship,,4,98.6,99.2,97.5,,99.1
11731,r045,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Other training or unknown<sup>c</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Other training or unknown<sup>c</sup>,,4,1.4,0.8,2.5,,0.9
11731,r046,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,,,3,,,,,
11731,r047,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,,4,11.1,,,7.0,11.3
11731,r048,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> In tenure track faculty position (%),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,In tenure track faculty position (%),5,16.5,,,0.0,18.5
11731,r049,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> Not in tenure track position (%),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,Not in tenure track position (%),5,76.7,81.8,75.4,85.7,75.9
11731,r050,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Government,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Government,,4,4.7,,,6.0,5.7
11731,r051,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Industry or business<sup>e</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Industry or business<sup>e</sup>,,4,80.7,53.7,83.2,85.0,79.0
11731,r052,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Nonprofit organization,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Nonprofit organization,,4,1.7,,,0.0,2.7
11731,r053,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Other or unknown<sup>f</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Other or unknown<sup>f</sup>,,4,1.7,4.9,1.9,2.0,1.3
11731,r054,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,,4,,,,,
11731,r055,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Research and development,5,75.2,,76.0,,73.5
11731,r056,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Teaching,5,7.8,,,,
11731,r057,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Management or administration,5,0.6,0.0,,0.0,
11731,r058,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Professional services and other,5,16.5,17.5,14.6,15.1,18.9
11731,r059,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,,4,,,,,
11731,r060,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Research and development,5,9.7,20.0,6.0,9.7,13.3
11731,r061,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Teaching,5,1.0,0.0,,,
11731,r062,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Management or administration,5,16.2,,,19.4,10.0
11731,r063,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Professional services and other,5,10.3,22.5,7.3,,
