table_id,row_id,time_period,summary_occupations_sup_a_sup_level_1,summary_occupations_sup_a_sup_level_2,summary_occupations_sup_a_sup_level_3,summary_occupations_sup_a_sup_hierarchy_depth,value
5974,r001_1,Rate factor (RF)&#8212;Standardized,Summary occupationsa,Standardization of patenting rates,"Urban, containing a global city",3,"['0.00199', '']"
5974,r001_2,Rate factor (RF)&#8212;Standardized,Summary occupationsa,Standardization of patenting rates,"Urban, without a global city",3,"['0.00155', '']"
5974,r001_3,Rate factor (RF)&#8212;Standardized,Summary occupationsa,Standardization of patenting rates,Rural,3,"['0.00121', '']"
5974,r001_4,Rate factor (RF)&#8212;Standardized,Detailed occupations,Standardization of patenting rates,"Urban, containing a global city",3,"['0.00226', '']"
5974,r001_5,Rate factor (RF)&#8212;Standardized,Detailed occupations,Standardization of patenting rates,"Urban, without a global city",3,"['0.0015', '']"
5974,r001_6,Rate factor (RF)&#8212;Standardized,Detailed occupations,Standardization of patenting rates,Rural,3,"['0.00096', '']"
5974,r002_1,Compositional factor (CF)&#8212;Standardized,Summary occupationsa,Standardization of patenting rates,"Urban, containing a global city",3,"['0.00246', '']"
5974,r002_2,Compositional factor (CF)&#8212;Standardized,Summary occupationsa,Standardization of patenting rates,"Urban, without a global city",3,"['0.0015', '']"
5974,r002_3,Compositional factor (CF)&#8212;Standardized,Summary occupationsa,Standardization of patenting rates,Rural,3,"['0.0008', '']"
5974,r002_4,Compositional factor (CF)&#8212;Standardized,Detailed occupations,Standardization of patenting rates,"Urban, containing a global city",3,"['0.00216', '']"
5974,r002_5,Compositional factor (CF)&#8212;Standardized,Detailed occupations,Standardization of patenting rates,"Urban, without a global city",3,"['0.00154', '']"
5974,r002_6,Compositional factor (CF)&#8212;Standardized,Detailed occupations,Standardization of patenting rates,Rural,3,"['0.00102', '']"
5974,r003_1,Observed,Summary occupationsa,Standardization of patenting rates,"Urban, containing a global city",3,"['0.00297', '']"
5974,r003_2,Observed,Summary occupationsa,Standardization of patenting rates,"Urban, without a global city",3,"['0.00158', '']"
5974,r003_3,Observed,Summary occupationsa,Standardization of patenting rates,Rural,3,"['0.00053', '']"
5974,r003_4,Observed,Detailed occupations,Standardization of patenting rates,"Urban, containing a global city",3,"['0.00297', '']"
5974,r003_5,Observed,Detailed occupations,Standardization of patenting rates,"Urban, without a global city",3,"['0.00159', '']"
5974,r003_6,Observed,Detailed occupations,Standardization of patenting rates,Rural,3,"['0.00053', '']"
