table_id,row_id,employment_sector_sex_race_and_ethnicity_full_path,employment_sector_sex_race_and_ethnicity_level_1,employment_sector_sex_race_and_ethnicity_level_2,employment_sector_sex_race_and_ethnicity_level_3,employment_sector_sex_race_and_ethnicity_hierarchy_depth,field_estimates_nsf_award,field_estimates_no_award,field_estimates_share_,field_standard_errors_nsf_award,field_standard_errors_no_award,field_standard_errors_share_
6995,r001,All doctorate holders,All doctorate holders,,,1,,,,,,
6995,r002,All doctorate holders -> Both sexes,All doctorate holders,Both sexes,,2,86850,961050,8.3,1325,1700,0.15
6995,r003,All doctorate holders -> Asian,All doctorate holders,Asian,,2,13600,245200,5.3,625,1000,0.25
6995,r004,All doctorate holders -> Black,All doctorate holders,Black,,2,2150,31800,6.4,175,350,0.5
6995,r005,All doctorate holders -> Hispanic,All doctorate holders,Hispanic,,2,3650,44350,7.6,225,425,0.45
6995,r006,All doctorate holders -> White,All doctorate holders,White,,2,66100,627050,9.5,1150,1600,0.2
6995,r007,All doctorate holders -> Other,All doctorate holders,Other,,2,1300,12700,9.4,175,400,1.05
6995,r008,All doctorate holders -> Female,All doctorate holders,Female,,2,21050,320350,6.2,575,800,0.2
6995,r009,All doctorate holders -> Asian,All doctorate holders,Asian,,2,2550,69450,3.6,225,800,0.3
6995,r010,All doctorate holders -> Black,All doctorate holders,Black,,2,700,14450,4.7,100,300,0.6
6995,r011,All doctorate holders -> Hispanic,All doctorate holders,Hispanic,,2,1100,16400,6.3,100,275,0.55
6995,r012,All doctorate holders -> White,All doctorate holders,White,,2,16250,214650,7.0,525,1100,0.25
6995,r013,All doctorate holders -> Other,All doctorate holders,Other,,2,450,5350,7.4,75,250,1.15
6995,r014,All doctorate holders -> Male,All doctorate holders,Male,,2,65750,640750,9.3,1175,1500,0.2
6995,r015,All doctorate holders -> Asian,All doctorate holders,Asian,,2,11050,175750,5.9,575,1050,0.3
6995,r016,All doctorate holders -> Black,All doctorate holders,Black,,2,1450,17300,7.8,175,400,0.8
6995,r017,All doctorate holders -> Hispanic,All doctorate holders,Hispanic,,2,2550,27950,8.4,200,425,0.6
6995,r018,All doctorate holders -> White,All doctorate holders,White,,2,49850,412350,10.8,1025,1775,0.25
6995,r019,All doctorate holders -> Other,All doctorate holders,Other,,2,900,7350,10.9,150,375,1.6
6995,r020,Employed by 4-year educational institutions,Employed by 4-year educational institutions,,,1,,,,,,
6995,r021,Employed by 4-year educational institutions -> Both sexes,Employed by 4-year educational institutions,Both sexes,,2,73150,326650,18.3,1225,2100,0.3
6995,r022,Employed by 4-year educational institutions -> Both sexes -> Asian,Employed by 4-year educational institutions,Both sexes,Asian,3,12000,85400,12.3,575,1275,0.6
6995,r023,Employed by 4-year educational institutions -> Both sexes -> Black,Employed by 4-year educational institutions,Both sexes,Black,3,1900,12350,13.4,175,325,1.1
6995,r024,Employed by 4-year educational institutions -> Both sexes -> Hispanic,Employed by 4-year educational institutions,Both sexes,Hispanic,3,3150,19250,14.1,175,425,0.75
6995,r025,Employed by 4-year educational institutions -> Both sexes -> White,Employed by 4-year educational institutions,Both sexes,White,3,54950,205200,21.1,1075,1725,0.4
6995,r026,Employed by 4-year educational institutions -> Both sexes -> Other,Employed by 4-year educational institutions,Both sexes,Other,3,1100,4450,19.8,150,275,2.4
6995,r027,Employed by 4-year educational institutions -> Female,Employed by 4-year educational institutions,Female,,2,18050,119500,13.1,525,1100,0.4
6995,r028,Employed by 4-year educational institutions -> Female -> Asian,Employed by 4-year educational institutions,Female,Asian,3,2250,25900,7.9,200,600,0.7
6995,r029,Employed by 4-year educational institutions -> Female -> Black,Employed by 4-year educational institutions,Female,Black,3,600,5600,9.9,100,225,1.4
6995,r030,Employed by 4-year educational institutions -> Female -> Hispanic,Employed by 4-year educational institutions,Female,Hispanic,3,950,7100,11.8,100,250,1.05
6995,r031,Employed by 4-year educational institutions -> Female -> White,Employed by 4-year educational institutions,Female,White,3,13900,78900,15.0,475,975,0.45
6995,r032,Employed by 4-year educational institutions -> Female -> Other,Employed by 4-year educational institutions,Female,Other,3,350,2000,15.1,75,150,2.45
6995,r033,Employed by 4-year educational institutions -> Male,Employed by 4-year educational institutions,Male,,2,55150,207150,21.0,1100,1925,0.4
6995,r034,Employed by 4-year educational institutions -> Male -> Asian,Employed by 4-year educational institutions,Male,Asian,3,9800,59500,14.1,550,1175,0.75
6995,r035,Employed by 4-year educational institutions -> Male -> Black,Employed by 4-year educational institutions,Male,Black,3,1300,6800,16.1,150,300,1.65
6995,r036,Employed by 4-year educational institutions -> Male -> Hispanic,Employed by 4-year educational institutions,Male,Hispanic,3,2200,12150,15.4,175,350,1.05
6995,r037,Employed by 4-year educational institutions -> Male -> White,Employed by 4-year educational institutions,Male,White,3,41100,126300,24.5,950,1575,0.55
6995,r038,Employed by 4-year educational institutions -> Male -> Other,Employed by 4-year educational institutions,Male,Other,3,750,2450,23.3,150,225,3.6
