table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022_all_non_s_e_fields,field_2022_business_management_and_business_administration,field_2022_communication_and_communications_technologies,field_2022_education,field_2022_humanities,field_2022_law,field_2022_social_work,field_2022_visual_and_performing_arts,field_2022_other
10150,r001,All institutions,All institutions,,1,-,"['5,035,968', '']","['5,114,283', '']","['5,857,608', '']","['1,081,380', '']","['213,000', '']","['1,740,784', '']","['713,685', '']","['358,693', '']","['363,079', '']","['224,572', '']","['1,162,415', '']"
10150,r002,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,1,"['146,396', '']","['139,396', '']","['139,339', '']","['80,722', '']","['8,837', '']","['13,885', '']","['10,078', '']","['12,920', '']","['0', '']","['3,622', '']","['9,275', '']"
10150,r003,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,2,"['78,430', '']","['81,652', '']","['128,398', '']","['44,875', '']","['4,076', '']","['47,317', '']","['11,005', '']","['4,787', '']","['10,981', '']","['5,357', '']","['0', '']"
10150,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['100,931', '']","['118,228', '']","['121,582', '']","['15,156', '']","['1,740', '']","['12,943', '']","['25,283', '']","['6,311', '']","['7,319', '']","['3,616', '']","['49,214', '']"
10150,r005,All institutions -> U. Utah,All institutions,U. Utah,2,4,"['29,823', 'i']","['27,419', 'i']","['117,635', '']","['3,460', '']","['1,671', '']","['1,809', '']","['1,557', '']","['732', '']","['43', '']","['3,950', '']","['104,413', '']"
10150,r006,All institutions -> New York U.,All institutions,New York U.,2,5,"['89,103', '']","['76,810', '']","['115,115', '']","['7,270', '']","['0', '']","['26,248', '']","['25,247', '']","['38,726', '']","['5,913', '']","['1,800', '']","['9,911', '']"
10150,r007,All institutions -> Harvard U.,All institutions,Harvard U.,2,6,"['123,639', '']","['109,083', '']","['111,157', '']","['32,502', '']","['3,057', '']","['40,789', '']","['12,226', '']","['20,298', '']","['0', '']","['2,285', '']","['0', '']"
10150,r008,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,7,"['91,878', '']","['85,191', '']","['95,771', '']","['12,255', '']","['6,059', '']","['30,239', '']","['17,166', '']","['3,958', '']","['1,314', '']","['2,423', '']","['22,357', '']"
10150,r009,All institutions -> Florida State U.,All institutions,Florida State U.,2,8,"['80,379', '']","['77,689', '']","['88,449', '']","['14,381', '']","['2,413', '']","['35,670', '']","['9,901', '']","['5,189', '']","['12,449', '']","['5,872', '']","['2,574', '']"
10150,r010,All institutions -> U. Kansas,All institutions,U. Kansas,2,9,"['76,326', '']","['80,837', '']","['86,502', '']","['1,210', '']","['1,567', '']","['64,951', '']","['2,104', '']","['18', '']","['15,433', '']","['342', '']","['877', '']"
