table_id,row_id,business_sector,abbreviation_if_applicable_,nice_class,class_description
10583,r001,,,,
10583,r002,,,29,"Meat, fish, poultry, and game; meat extracts; preserved, frozen, dried, and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk, cheese, butter, yogurt, and other milk products; oils and fats for food."
10583,r003,,,30,"Coffee, tea, cocoa, and artificial coffee; rice, pasta, and noodles; tapioca and sago; flour and preparations made from cereals; bread, pastries, and confectionery; chocolate; ice cream, sorbets, and other edible ices; sugar, honey, treacle; yeast, baking powder; salt, seasonings, spices, preserved herbs; vinegar, sauces, and other condiments; ice (frozen water)."
10583,r004,,,31,"Raw and unprocessed agricultural, aquacultural, horticultural, and forestry products; raw and unprocessed grains and seeds; fresh fruits and vegetables, fresh herbs; natural plants and flowers; bulbs, seedlings, and seeds for planting; live animals; foodstuffs and beverages for animals; malt."
10583,r005,,,32,Beers; non-alcoholic beverages; mineral and aerated waters; fruit beverages and fruit juices; syrups and other non-alcoholic preparations for making beverages.
10583,r006,,,33,"Alcoholic beverages, except beers; alcoholic preparations for making beverages."
10583,r007,Agricultural products and services,Agriculture,43,Services for providing food and drink; temporary accommodation.
10583,r008,,,,
10583,r009,,,1,"Chemicals for use in industry, science, and photography, as well as in agriculture, horticulture, and forestry; unprocessed artificial resins, unprocessed plastics; fire extinguishing and fire prevention compositions; tempering and soldering preparations; substances for tanning animal skins and hides; adhesives for use in industry; putties and other paste fillers; compost, manures, fertilizers; biological preparations for use in industry and science."
10583,r010,,,2,"Paints, varnishes, lacquers; preservatives against rust and against deterioration of wood; colorants, dyes; inks for printing, marking, and engraving; raw natural resins; metals in foil and powder form for use in painting, decorating, printing, and art. "
10583,r011,Chemicals ,na,4,"Industrial oils and greases, wax; lubricants; dust-absorbing, wetting, and binding compositions; fuels and illuminants; candles and wicks for lighting. "
10583,r012,,,,
10583,r013,,,6,"Common metals and their alloys, ores; metal materials for building and construction; transportable buildings of metal; non-electric cables and wires of common metal; small items of metal hardware; metal containers for storage or transport; safes. "
10583,r014,,,17,"Unprocessed and semi-processed rubber, gutta-percha, gum, asbestos, mica, and substitutes for all these materials; plastics and resins in extruded form for use in manufacture; packing, stopping, and insulating materials; flexible pipes, tubes, and hoses, not of metal."
10583,r015,,,19,"Materials, not of metal, for building and construction; rigid pipes, not of metal, for building; asphalt, pitch, tar, and bitumen; transportable buildings, not of metal; monuments, not of metal."
10583,r016,,,37,Building construction; repair; installation services. 
10583,r017,Construction and infrastructure,Construction,40,Treatment of materials.
10583,r018,,,,
10583,r019,,,8,"Hand tools and implements, hand-operated; cutlery; side arms, except firearms; razors. "
10583,r020,,,11,"Apparatus and installations for lighting, heating, cooling, steam generating, cooking, drying, ventilating, water supply, and sanitary purposes. "
10583,r021,,,20,"Furniture, mirrors, picture frames; containers, not of metal, for storage or transport; unworked or semi-worked bone, horn, whalebone, or mother-of-pearl; shells; meerschaum; yellow amber."
