table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_female_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
9608,r001,Female doctorate recipients reporting postgraduation commitments,Female doctorate recipients reporting postgraduation commitments,,,,1,27069,17707,16392,6339,3964,3765,2324,1301,14
9608,r002,Female doctorate recipients reporting postgraduation commitments -> Science and engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,,,2,20243,13476,12535,5761,1997,3402,1375,928,13
9608,r003,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,,3,679,424,376,162,63,92,59,48,0
9608,r004,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",4,449,279,245,96,45,79,25,34,0
9608,r005,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,4,230,145,131,66,18,13,34,14,0
9608,r006,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,,3,5014,3339,3159,1860,250,857,192,177,3
9608,r007,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",4,754,506,475,266,,166,,31,0
9608,r008,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",4,288,203,194,57,19,104,14,7,2
9608,r009,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,4,377,242,,141,,72,6,,0
9608,r010,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",4,689,483,447,282,45,51,69,35,1
9608,r011,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Genetics and genomics,4,239,156,,101,,35,7,,0
9608,r012,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,4,614,413,395,251,32,99,13,18,0
9608,r013,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,4,616,404,393,271,24,86,12,11,0
