table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2019,field_2020,field_2021,field_2022_all_social_sciences,field_2022_anthropology,field_2022_economics,field_2022_political_science_and_government,field_2022_sociology_demography_and_population_studies,field_2022_social_sciences_nec
10145,r001,All institutions,All institutions,,1,-,"['2,805,654', '']","['2,951,369', '']","['2,827,648', '']","['3,165,440', '']","['132,764', '']","['667,707', '']","['488,480', '']","['616,142', '']","['1,260,347', '']"
10145,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['191,336', '']","['187,421', '']","['175,698', '']","['189,167', '']","['5,723', '']","['33,300', '']","['29,770', '']","['27,767', '']","['92,607', '']"
10145,r003,All institutions -> Harvard U.,All institutions,Harvard U.,2,2,"['141,321', '']","['142,484', '']","['136,543', '']","['144,801', '']","['2,537', '']","['32,074', '']","['36,713', '']","['6,062', '']","['67,415', '']"
10145,r004,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,3,"['86,570', '']","['83,980', '']","['73,205', '']","['80,307', '']","['15,618', '']","['8,692', '']","['19,345', '']","['5,788', '']","['30,864', '']"
10145,r005,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,4,"['108,095', '']","['82,154', '']","['67,325', '']","['77,515', '']","['365', '']","['309', '']","['5,653', '']","['60,260', '']","['10,928', '']"
10145,r006,All institutions -> U. Southern California,All institutions,U. Southern California,2,5,"['52,212', '']","['59,926', '']","['75,520', '']","['75,558', '']","['416', '']","['27,359', '']","['492', '']","['611', '']","['46,680', '']"
10145,r007,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,6,"['61,374', '']","['60,568', '']","['56,908', '']","['73,560', '']","['347', '']","['32,985', '']","['15,580', '']","['5,935', '']","['18,713', '']"
10145,r008,All institutions -> Princeton U.,All institutions,Princeton U.,2,7,"['58,918', '']","['57,913', '']","['57,323', '']","['72,862', '']","['227', '']","['15,755', '']","['32,212', '']","['18,334', '']","['6,334', '']"
10145,r009,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,8,"['58,050', '']","['60,591', '']","['62,413', '']","['68,872', '']","['0', '']","['469', '']","['4,168', '']","['12,805', '']","['51,430', '']"
10145,r010,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,9,"['48,019', '']","['59,239', '']","['63,043', '']","['65,924', '']","['1,513', '']","['9,483', '']","['8,183', '']","['7,258', '']","['39,487', '']"
10145,r011,All institutions -> George Mason U.,All institutions,George Mason U.,2,10,"['57,278', '']","['65,405', '']","['48,250', '']","['61,667', '']","['251', '']","['44,433', '']","['1,673', '']","['3,435', '']","['11,875', '']"
10145,r012,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,11,"['66,691', '']","['64,636', '']","['58,423', '']","['56,249', '']","['995', '']","['1,672', '']","['4,854', '']","['5,437', '']","['43,291', '']"
10145,r013,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,12,"['46,532', '']","['51,477', '']","['47,850', '']","['54,104', '']","['0', '']","['36,854', '']","['3,387', '']","['64', '']","['13,799', '']"
10145,r014,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,13,"['49,088', '']","['51,374', '']","['46,021', '']","['53,759', '']","['1,484', '']","['5,988', '']","['3,393', '']","['22,405', '']","['20,489', '']"
10145,r015,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,14,"['27,037', '']","['50,407', '']","['45,620', '']","['43,672', '']","['1,418', '']","['16,870', '']","['3,160', '']","['3,579', '']","['18,645', '']"
10145,r016,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,15,"['27,943', '']","['27,842', '']","['27,130', '']","['41,275', '']","['559', '']","['6,662', '']","['1,822', '']","['32,232', '']","['0', '']"
10145,r017,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,16,"['44,681', '']","['47,426', '']","['40,800', '']","['40,995', '']","['3,010', '']","['2,938', '']","['13,160', '']","['5,808', '']","['16,079', '']"
10145,r018,All institutions -> Duke U.,All institutions,Duke U.,2,17,"['34,532', '']","['36,760', '']","['36,432', '']","['40,627', '']","['1,361', '']","['3,997', '']","['1,118', '']","['12,180', '']","['21,971', '']"
