table_id,row_id,time_to_degree_and_demographic_characteristic_full_path,time_to_degree_and_demographic_characteristic_level_1,time_to_degree_and_demographic_characteristic_level_2,time_to_degree_and_demographic_characteristic_level_3,time_to_degree_and_demographic_characteristic_level_4,time_to_degree_and_demographic_characteristic_hierarchy_depth,field_all_fields_median,field_all_fields_number,field_life_sciencesa_median,field_life_sciencesa_number,field_physical_sciences_and_earth_sciences_median,field_physical_sciences_and_earth_sciences_number,field_mathematics_and_computer_sciences_median,field_mathematics_and_computer_sciences_number,field_psychology_and_social_sciences_median,field_psychology_and_social_sciences_number,field_engineering_median,field_engineering_number,field_education_median,field_education_number,field_humanities_and_arts_median,field_humanities_and_arts_number,field_otherb_median,field_otherb_number
2824,r001,Years since bachelor's,Years since bachelor's,,,,1,,,,,,,,,,,,,,,,,,
2824,r002,All doctorate recipients<sup>c</sup>,All doctorate recipients<sup>c</sup>,,,,1,8.7,53126,8.3,12307,6.9,6342,7.8,4057,9.4,8605,7.4,9799,14.8,4433,11.0,4771,11.4,2812
2824,r003,All doctorate recipients<sup>c</sup> -> Sex,All doctorate recipients<sup>c</sup>,Sex,,,2,,,,,,,,,,,,,,,,,,
2824,r004,All doctorate recipients<sup>c</sup> -> Sex -> Male,All doctorate recipients<sup>c</sup>,Sex,Male,,3,8.3,28752,8.1,5584,7.0,4192,7.6,3008,9.6,3514,7.5,7464,14.1,1358,11.1,2333,11.2,1299
2824,r005,All doctorate recipients<sup>c</sup> -> Sex -> Female,All doctorate recipients<sup>c</sup>,Sex,Female,,3,9.2,24373,8.3,6723,6.8,2150,7.9,1049,9.3,5091,7.1,2335,15.0,3075,11.0,2437,11.6,1513
2824,r006,All doctorate recipients<sup>c</sup> -> Citizenship status,All doctorate recipients<sup>c</sup>,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
2824,r007,All doctorate recipients<sup>c</sup> -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients<sup>c</sup>,Citizenship status,U.S. citizen or permanent resident,,3,9.0,34719,8.1,8912,6.6,3869,7.5,1764,9.3,6608,7.0,4192,15.4,3788,11.0,3901,13.0,1685
2824,r008,All doctorate recipients<sup>c</sup> -> Citizenship status -> Temporary visa holder,All doctorate recipients<sup>c</sup>,Citizenship status,Temporary visa holder,,3,8.3,17805,8.5,3292,7.5,2415,7.8,2253,9.6,1868,7.8,5525,12.0,591,11.1,788,10.0,1073
2824,r009,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
2824,r010,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,9.0,2819,8.0,766,6.4,269,7.3,103,9.4,625,7.0,304,14.2,315,11.3,328,13.4,109
