table_id,row_id,_b_department_b_full_path,_b_department_b_level_1,_b_department_b_level_2,_b_department_b_level_3,_b_department_b_hierarchy_depth,field_explanatory_information
10794,r001,Department of Agriculture,Department of Agriculture,,,1,
10794,r002,Department of Agriculture -> Agricultural Marketing Service,Department of Agriculture,Agricultural Marketing Service,,2,"Although the Agricultural Marketing Service (AMS) was established in April 1972, FY 1979 was the first year in which Congress appropriated funds to this agency."
10794,r003,Department of Agriculture -> ,Department of Agriculture,,,2,Data reported for AMS include funds for the Office of Transportation beginning in 1989.
10794,r004,Department of Agriculture -> ,Department of Agriculture,,,2,"The Grain Inspection, Packers, and Stockyards Administration (GIPSA) was re-organized and absorbed in AMS in September 2017. Because GIPSA R&D projects were closed out, the transfer did not have much effect on the FY 2018 funding reported by AMS."
10794,r005,Department of Agriculture -> Agricultural Research Service,Department of Agriculture,Agricultural Research Service,,2,The Human Nutrition Information Service merged with the Agricultural Research Service on 20 February 1994.
10794,r006,Department of Agriculture -> Agricultural Stabilization and Conservation Service,Department of Agriculture,Agricultural Stabilization and Conservation Service,,2,The Agricultural Stabilization and Conservation Service was abolished as of 20 October 1994.
10794,r007,"Department of Agriculture -> Cooperative State Research, Education, and Extension Service",Department of Agriculture,"Cooperative State Research, Education, and Extension Service",,2,"The Cooperative State Research Service merged with the Extension Service on 19 October 1994 to become the Cooperative State Research, Education, and Extension Service (CSREES) due to reorganization of the Department of Agriculture."
10794,r008,Department of Agriculture -> ,Department of Agriculture,,,2,CSREES changed its name to the National Institute of Food and Agriculture in FY 2008.
10794,r009,Department of Agriculture -> Economic Research Service,Department of Agriculture,Economic Research Service,,2,"Data reported for the Economics, Statistics, and Cooperative Service include programs of the Economic Research Service (ERS), the Statistical Reporting Service (SRS), and the Farmer Cooperative Service for FYs 1977–79."
10794,r010,Department of Agriculture -> ,Department of Agriculture,,,2,Data reported for the Economics and Statistics Service include programs of ERS and SRS for FY 1980.
10794,r011,Department of Agriculture -> Economics and Statistics Service,Department of Agriculture,Economics and Statistics Service,,2,Data reported for the Economics and Statistics Service include programs of the Economic Research Service and the Statistical Reporting Service for FY 1980.
10794,r012,"Department of Agriculture -> Economics, Statistics, and Cooperative Service",Department of Agriculture,"Economics, Statistics, and Cooperative Service",,2,"Data reported for the Economics, Statistics, and Cooperative Service include programs of the Economic Research Service, the Statistical Reporting Service, and the Farmer Cooperative Service for FYs 1977–79."
10794,r013,Department of Agriculture -> Federal Grain Inspection Service,Department of Agriculture,Federal Grain Inspection Service,,2,"The Federal Grain Inspection Service was abolished on 20 October 1994, and the Grain Inspection, Packers, and Stockyards Administration assumed its functions."
10794,r014,Department of Agriculture -> Foreign Agricultural Service,Department of Agriculture,Foreign Agricultural Service,,2,The Office of International Cooperation and Development became part of the Foreign Agricultural Service (FAS) in June 1994. Data reported for FAS include funds appropriated to International Cooperation and Development programs within FAS as of FY 1994.
10794,r015,"Grain Inspection, Packers, and Stockyards Administration","Grain Inspection, Packers, and Stockyards Administration",,,1,"The Federal Grain Inspection Service was abolished on 20 October 1994, and the Grain Inspection, Packers, and Stockyards Administration (GIPSA) assumed its functions."
10794,r016,,,,,1,"GIPSA was reorganized and absorbed in the Agricultural Marketing Service in September 2017; GIPSA funding for FY 2017 declined because GIPSA R&D projects were closed out. GIPSA was eliminated as a standalone agency as of 14 November 2017, so no funding was reported for FY 2018."
10794,r017, -> Human Nutrition Information Service,,Human Nutrition Information Service,,2,The Human Nutrition Information Service merged with the Agricultural Research Service on 20 February 1994.
10794,r018, -> National Institute of Food and Agriculture,,National Institute of Food and Agriculture,,2,"The National Institute of Food and Agriculture was created through the Food, Conservation, and Energy Act of 2008 and replaced the former Cooperative State Research, Education, and Extension Service."
10794,r019, -> Natural Resources Conservation Service,,Natural Resources Conservation Service,,2,"The Soil Conservation Service became part of the Department of Agriculture in 1990; it was renamed the Natural Resources Conservation Service (NRCS) in 1994. NRCS started reporting for volume 71 (FYs 2021–22) because the Survey of Federal Science and Engineering Support to Universities, Colleges, and Nonprofit Institutions (Federal S&E Support Survey) was integrated as a module in volume 71 of the Survey of Federal Funds for R&D. NRCS continued to have no R&D data to report but did have S&E obligations to report in the module of the Federal S&E Support Survey module."
10794,r020, -> Office of International Cooperation and Development,,Office of International Cooperation and Development,,2,The Office of International Cooperation and Development became part of the Foreign Agricultural Service (FAS) in June 1994. Data reported for FAS include funds appropriated to International Cooperation and Development programs within FAS as of FY 1994.
10794,r021, -> Office of Transportation,,Office of Transportation,,2,Data reported for the Agricultural Marketing Service include funds for the Office of Transportation beginning in 1989.
10794,r022, -> Rural Business-Cooperative Service,,Rural Business-Cooperative Service,,2,This agency's name changed from the Rural Business and Cooperative Development Service to the Rural Business-Cooperative Service on 30 January 1996.
10794,r023,Department of Commerce,Department of Commerce,,,1,
10794,r024,Department of Commerce -> Maritime Administration,Department of Commerce,Maritime Administration,,2,"In 1981, the Maritime Administration moved from the Department of Commerce to the Department of Transportation."
10794,r025,Department of Commerce -> ,Department of Commerce,,,2,The Maritime Administration resumed reporting for volume 71 (FYs 2021–22). It had last reported for volume 30 (FYs 1980–82).
10794,r026,Department of Commerce -> National Fire Prevention and Control Administration,Department of Commerce,National Fire Prevention and Control Administration,,2,Functions for the National Fire Prevention and Control Administration transferred from the Department of Commerce to the Federal Emergency Management Agency as of 1 April 1979.
10794,r027,Department of Defense,Department of Defense,,,1,"Since volume 40, the Department of Defense (DOD) has reported research obligations and development obligations separately. Tables reporting obligations for research, by state and performer, and obligations for development, by state and performer, were specifically created for DOD. Circumstances specific to DOD are (1) DOD funds the preponderance of federal development and (2) DOD development funded at institutions of higher education is typically performed at university-affiliated nonacademic laboratories, which are separate from universities’ academic departments, where university research is typically performed."
10794,r028,,,,,1,"During the volume 44 survey cycle, the Director for Defense Research and Engineering (DDR&E) at DOD requested that the National Science Foundation (NSF) further clarify the true character of DOD’s R&D program, particularly as it compares with other federal agencies, by adding more detail to development obligations reported by DOD respondents. Specifically, DOD requested that NSF allow DOD agencies to report development obligations in two separate categories: advanced technology development and major systems development. An excerpt from a letter written by Robert V. Tuohy, Chief, Program Analysis and Integration at DDR&E, to John E. Jankowski, Program Director, Research and Development Statistics Program, Division of Science Resources Statistics, NSF, explains the reasoning behind the DDR&E request: ""The DOD’s R&D program is divided into two major pieces, Science and Technology (S&T) and Major Systems Development. The other federal agencies’ entire R&D programs are equivalent in nature to DOD’s S&T program, with the exception of the Department of Energy and possibly the National Aeronautics and Space Administration. Comparing those other agency programs to DOD’s program, including the development of weapons systems such as F-22 Fighter and the New Attack Submarine, is misleading."""
10794,r029,,,,,1,"Not all DOD agencies with development obligations are able to categorize them according to the advanced technology and major systems development breakdown. Therefore, in the volume 46 (FYs 1996–98) survey cycle, total DOD development does not equal the sum of total DOD advanced technology development and total DOD major systems development."
10794,r030,,,,,1,"Beginning with volume 54 (FYs 2004–06), DOD now requires its reporting agencies to adhere to DOD control numbers when providing data to the Survey of Federal Funds for Research and Development."
10794,r031,,,,,1,"Starting with volume 61 (FYs 2011–13), DOD subagencies other than the Defense Advanced Research Projects Agency were reported as an aggregate total under other defense agencies to enable complete reporting of DOD R&D (both unclassified and classified). Consequently, DOD began reporting additional classified R&D not previously reported by its subagencies."
10794,r032,,,,,1,"Starting with volume 62 (FYs 2012–14), an ""undistributed"" category was added to the geographic location tables for DOD obligations for which the location of performance is not reported. It includes DOD obligations for industry R&D that were included in individual state totals prior to FY 2012 and DOD obligations for other performers that were not reported prior to FY 2011. This change was applied retroactively to FY 2011 data."
