table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
11279,r001,All companies ,All companies ,,,,1,"['15,339', '&nbsp;']","['6,124,669', '&nbsp;']","['9,611', '&nbsp;']","['2,590,797', '&nbsp;']","['5,727', '&nbsp;']","['3,533,871', '&nbsp;']"
11279,r002,All companies  -> Race,All companies ,Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11279,r003,All companies  -> Race -> White,All companies ,Race,White,,3,"['11,881', '&nbsp;']","['4,574,296', '&nbsp;']","['7,435', '&nbsp;']","['1,973,782', '&nbsp;']","['4,444', '&nbsp;']","['2,600,514', '&nbsp;']"
11279,r004,All companies  -> Race -> Asian,All companies ,Race,Asian,,3,"['2,657', '&nbsp;']","['1,065,869', '&nbsp;']","['1,691', '&nbsp;']","['439,225', '&nbsp;']","['967', '&nbsp;']","['626,644', '&nbsp;']"
11279,r005,All companies  -> Race -> Black or African American,All companies ,Race,Black or African American,,3,"['233', '&nbsp;']","['71,811', '&nbsp;']","['195', '&nbsp;']","['45,235', '&nbsp;']","['37', '&nbsp;']","['26,576', 'r']"
11279,r006,All companies  -> Race -> American Indian or Alaska Native,All companies ,Race,American Indian or Alaska Native,,3,"['139', '&nbsp;']","['76,141', 'r']","['58', '&nbsp;']","['7,378', '&nbsp;']","['80', 'r']","['68,763', 'r']"
11279,r007,All companies  -> Race -> Native Hawaiian or Other Pacific Islander,All companies ,Race,Native Hawaiian or Other Pacific Islander,,3,"['13', 'r']","['1,881', 'r']","['4', '&nbsp;']","['720', '&nbsp;']","['9', 'r']","['1,161', 'r']"
11279,r008,All companies  -> Ethnicity,All companies ,Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11279,r009,All companies  -> Ethnicity -> Hispanic or Latino,All companies ,Ethnicity,Hispanic or Latino,,3,"['456', '&nbsp;']","['142,000', '&nbsp;']","['275', '&nbsp;']","['60,546', '&nbsp;']","['181', '&nbsp;']","['81,454', '&nbsp;']"
11279,r010,All companies  -> Ethnicity -> Equally Hispanic or Latino and not Hispanic or Latino,All companies ,Ethnicity,Equally Hispanic or Latino and not Hispanic or Latino,,3,"['121', '&nbsp;']","['26,363', '&nbsp;']","['112', '&nbsp;']","['23,666', 'r']","['8', 'r']","['2,697', 'r']"
11279,r011,All companies  -> Ethnicity -> Not Hispanic or Latino,All companies ,Ethnicity,Not Hispanic or Latino,,3,"['14,482', '&nbsp;']","['5,696,928', '&nbsp;']","['9,115', '&nbsp;']","['2,432,826', '&nbsp;']","['5,369', '&nbsp;']","['3,264,101', '&nbsp;']"
11279,r012,All companies  -> Minority status,All companies ,Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11279,r013,All companies  -> Minority status -> Minority,All companies ,Minority status,Minority,,3,"['3,437', '&nbsp;']","['1,315,999', '&nbsp;']","['2,243', '&nbsp;']","['578,174', '&nbsp;']","['1,194', '&nbsp;']","['737,825', '&nbsp;']"
11279,r014,"All companies  -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies ,Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['789', '&nbsp;']","['272,077', '&nbsp;']","['507', '&nbsp;']","['111,114', '&nbsp;']","['280', '&nbsp;']","['160,963', '&nbsp;']"
11279,r015,All companies  -> Minority status -> Equally minority and nonminority,All companies ,Minority status,Equally minority and nonminority,,3,"['543', '&nbsp;']","['249,075', '&nbsp;']","['401', '&nbsp;']","['127,763', '&nbsp;']","['142', '&nbsp;']","['121,311', 'r']"
11279,r016,All companies  -> Minority status -> Nonminority,All companies ,Minority status,Nonminority,,3,"['11,082', '&nbsp;']","['4,300,217', '&nbsp;']","['6,860', '&nbsp;']","['1,811,101', '&nbsp;']","['4,221', '&nbsp;']","['2,489,116', '&nbsp;']"
11279,r017,All companies  -> Unclassifiable,All companies ,Unclassifiable,,,2,"['279', '&nbsp;']","['259,378', '&nbsp;']","['109', '&nbsp;']","['73,759', '&nbsp;']","['169', '&nbsp;']","['185,619', '&nbsp;']"
