table_id,row_id,time_period,major_field_e_g_ndgmemg_level_1,major_field_e_g_ndgmemg_level_2,major_field_e_g_ndgmemg_hierarchy_depth,value
6858,r001_1,S&E fields,"Major field (e.g., NDGMEMG)",Code,2,1
6858,r001_2,S&E fields,"Major field (e.g., NDGMEMG)",Label,2,Computer and mathematical sciences
6858,r001_3,S&E fields,"Minor field (e.g., NDGMENG)",Code,2,11
6858,r001_4,S&E fields,"Minor field (e.g., NDGMENG)",Label,2,Computer and information sciences
6858,r001_5,S&E fields,"Detailed field (e.g., N2DGRMED)",Code,2,116710
6858,r001_6,S&E fields,"Detailed field (e.g., N2DGRMED)",Label,2,Computer and information sciences
6858,r002_5,,"Detailed field (e.g., N2DGRMED)",Code,2,116730
6858,r002_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Computer science
6858,r003_5,,"Detailed field (e.g., N2DGRMED)",Code,2,116740
6858,r003_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Computer systems analysis
6858,r004_5,,"Detailed field (e.g., N2DGRMED)",Code,2,116760
6858,r004_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Information services and systems
6858,r005_5,,"Detailed field (e.g., N2DGRMED)",Code,2,116770
6858,r005_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Other computer and information sciences
6858,r006_3,,"Minor field (e.g., NDGMENG)",Code,2,12
6858,r006_4,,"Minor field (e.g., NDGMENG)",Label,2,Mathematics and statistics
6858,r006_5,,"Detailed field (e.g., N2DGRMED)",Code,2,128410
6858,r006_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Applied mathematics
6858,r007_5,,"Detailed field (e.g., N2DGRMED)",Code,2,128420
6858,r007_6,,"Detailed field (e.g., N2DGRMED)",Label,2,"Mathematics, general"
6858,r008_5,,"Detailed field (e.g., N2DGRMED)",Code,2,128430
6858,r008_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Operations research
6858,r009_5,,"Detailed field (e.g., N2DGRMED)",Code,2,128440
6858,r009_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Statistics
6858,r010_5,,"Detailed field (e.g., N2DGRMED)",Code,2,128450
6858,r010_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Other mathematics
6858,r011_1,,"Major field (e.g., NDGMEMG)",Code,2,2
6858,r011_2,,"Major field (e.g., NDGMEMG)",Label,2,"Biological, agricultural, and environmental life sciences"
6858,r011_3,,"Minor field (e.g., NDGMENG)",Code,2,21
6858,r011_4,,"Minor field (e.g., NDGMENG)",Label,2,Agricultural and food sciences
6858,r011_5,,"Detailed field (e.g., N2DGRMED)",Code,2,216050
6858,r011_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Animal sciences
6858,r012_5,,"Detailed field (e.g., N2DGRMED)",Code,2,216060
6858,r012_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Food sciences and technology
6858,r013_5,,"Detailed field (e.g., N2DGRMED)",Code,2,216070
6858,r013_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Plant sciences
6858,r014_5,,"Detailed field (e.g., N2DGRMED)",Code,2,216080
6858,r014_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Other agricultural sciences
6858,r015_3,,"Minor field (e.g., NDGMENG)",Code,2,22
6858,r015_4,,"Minor field (e.g., NDGMENG)",Label,2,Biological sciences
6858,r015_5,,"Detailed field (e.g., N2DGRMED)",Code,2,226310
6858,r015_6,,"Detailed field (e.g., N2DGRMED)",Label,2,Biochemistry and biophysics
6858,r016_5,,"Detailed field (e.g., N2DGRMED)",Code,2,226320
6858,r016_6,,"Detailed field (e.g., N2DGRMED)",Label,2,"Biology, general"
6858,r017_5,,"Detailed field (e.g., N2DGRMED)",Code,2,226330
