table_id,row_id,_b_citizenship_ethnicity_and_race_b_full_path,_b_citizenship_ethnicity_and_race_b_level_1,_b_citizenship_ethnicity_and_race_b_level_2,_b_citizenship_ethnicity_and_race_b_level_3,_b_citizenship_ethnicity_and_race_b_level_4,_b_citizenship_ethnicity_and_race_b_level_5,_b_citizenship_ethnicity_and_race_b_hierarchy_depth,field_total,field_male,field_female
10639,r001,Imputation rate (%),Imputation rate (%),,,,,1,,,
10639,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,,,2,0.7,3.5,4.2
10639,r003,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup>,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,,,3,,,
10639,r004,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,4.1,4.4,5.6
10639,r005,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,
10639,r006,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,6.5,5.0,7.7
10639,r007,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,4.8,4.7,5.2
10639,r008,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,4.3,3.2,5.5
10639,r009,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,0.0,0.0,0.0
10639,r010,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,3.6,4.1,4.9
10639,r011,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,3.0,2.9,3.3
10639,r012,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,3.4,5.3,5.3
10639,r013,Imputation rate (%) -> Temporary visa holders,Imputation rate (%),Temporary visa holders,,,,2,3.9,4.5,4.9
10639,r014,Number imputed<sup>b</sup>,Number imputed<sup>b</sup>,,,,,1,,,
10639,r015,Number imputed<sup>b</sup> -> All postdoctoral appointees,Number imputed<sup>b</sup>,All postdoctoral appointees,,,,2,468,1276,1125
10639,r016,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup>,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,,,3,,,
10639,r017,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,90,47,63
10639,r018,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,
10639,r019,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,6,2,4
10639,r020,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,252,140,120
10639,r021,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,49,15,37
10639,r022,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,0,0,0
10639,r023,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,548,328,360
10639,r024,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,19,9,11
10639,r025,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,91,77,66
10639,r026,Number imputed<sup>b</sup> -> All postdoctoral appointees -> Temporary visa holders,Number imputed<sup>b</sup>,All postdoctoral appointees,Temporary visa holders,,,3,1399,979,675
