table_id,row_id,demographic_characteristic_and_broad_field_of_study_full_path,demographic_characteristic_and_broad_field_of_study_level_1,demographic_characteristic_and_broad_field_of_study_level_2,demographic_characteristic_and_broad_field_of_study_level_3,demographic_characteristic_and_broad_field_of_study_level_4,demographic_characteristic_and_broad_field_of_study_level_5,demographic_characteristic_and_broad_field_of_study_hierarchy_depth,field_total_number_,field_parental_education_attainment_all,field_parental_education_attainment_high_school_or_less,field_parental_education_attainment_some_collegea,field_parental_education_attainment_bachelor_s_degree,field_parental_education_attainment_advanced_degree
976,r001,All doctorate recipients,All doctorate recipients,,,,,1,,,,,,
976,r002,All doctorate recipients -> Father's education<sup>b</sup>,All doctorate recipients,Father's education<sup>b</sup>,,,,2,47400,100.0,24.0,13.9,27.0,35.1
976,r003,All doctorate recipients -> Mother's education<sup>c</sup>,All doctorate recipients,Mother's education<sup>c</sup>,,,,2,47622,100.0,28.4,17.3,28.6,25.6
976,r004,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,,2,,,,,,
976,r005,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,,3,,,,,,
976,r006,All doctorate recipients -> Sex -> Male -> Father's education,All doctorate recipients,Sex,Male,Father's education,,4,25663,100.0,24.1,13.4,27.5,35.0
976,r007,All doctorate recipients -> Sex -> Male -> Mother's education,All doctorate recipients,Sex,Male,Mother's education,,4,25718,100.0,30.1,16.3,29.2,24.4
976,r008,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,,3,,,,,,
976,r009,All doctorate recipients -> Sex -> Female -> Father's education,All doctorate recipients,Sex,Female,Father's education,,4,21736,100.0,23.8,14.6,26.4,35.2
976,r010,All doctorate recipients -> Sex -> Female -> Mother's education,All doctorate recipients,Sex,Female,Mother's education,,4,21903,100.0,26.5,18.5,28.0,27.1
976,r011,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,,2,,,,,,
976,r012,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,,3,,,,,,
976,r013,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident -> Father's education,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,,4,32131,100.0,21.5,14.6,24.6,39.3
976,r014,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident -> Mother's education,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,,4,32398,100.0,22.5,19.0,28.2,30.4
976,r015,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,,3,,,,,,
976,r016,All doctorate recipients -> Citizenship status -> Temporary visa holder -> Father's education,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,,4,15201,100.0,29.2,12.5,32.1,26.3
976,r017,All doctorate recipients -> Citizenship status -> Temporary visa holder -> Mother's education,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,,4,15154,100.0,41.0,13.9,29.6,15.5
976,r018,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,,2,,,,,,
976,r019,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,,3,,,,,,
976,r020,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,Father's education,,4,2246,100.0,35.8,16.7,21.1,26.5
976,r021,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,Mother's education,,4,2290,100.0,38.1,19.6,21.6,20.7
976,r022,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,,3,,,,,,
976,r023,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,,4,,,,,,
976,r024,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,Father's education,5,92,100.0,34.8,22.8,25.0,17.4
976,r025,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,Mother's education,5,93,100.0,26.9,26.9,24.7,21.5
976,r026,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,,4,,,,,,
976,r027,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,Father's education,5,3048,100.0,21.8,9.2,23.0,46.1
976,r028,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,Mother's education,5,3057,100.0,29.1,13.0,31.3,26.6
976,r029,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,,4,,,,,,
976,r030,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,Father's education,5,2053,100.0,40.1,20.1,16.5,23.3
976,r031,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,Mother's education,5,2134,100.0,34.0,24.6,19.4,22.1
976,r032,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,,4,,,,,,
976,r033,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,Father's education,5,23368,100.0,18.7,14.6,26.0,40.8
976,r034,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,Mother's education,5,23489,100.0,19.2,19.2,29.3,32.4
976,r035,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,,4,,,,,,
976,r036,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,Father's education,5,986,100.0,18.0,14.9,20.6,46.6
976,r037,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,Mother's education,5,994,100.0,20.8,19.3,25.7,34.2
976,r038,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,,4,,,,,,
976,r039,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,Father's education,5,252,100.0,15.9,11.9,27.8,44.4
976,r040,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,Mother's education,5,254,100.0,17.3,14.2,32.7,35.8
976,r041,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,,3,,,,,,
976,r042,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,Father's education,,4,86,100.0,17.4,12.8,31.4,38.4
976,r043,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,Mother's education,,4,87,100.0,24.1,16.1,27.6,32.2
976,r044,All doctorate recipients -> Field of study,All doctorate recipients,Field of study,,,,2,,,,,,
