table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4357,r001,All institutions,All institutions,,1,4754260,4347609,92133,0,252038,7872,54609
4357,r002,"All institutions -> U. California, San Diego<sup>a</sup>",All institutions,"U. California, San Diego<sup>a</sup>",2,707141,677958,9285,0,18866,600,432
4357,r003,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,572994,555095,9,0,17691,199,0
4357,r004,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,361860,301581,47642,0,10454,0,2184
4357,r005,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,352733,328476,0,0,12478,1702,10078
4357,r006,All institutions -> U. Arizona,All institutions,U. Arizona,2,277967,252782,6606,0,15287,495,2798
4357,r007,"All institutions -> U. Colorado Denver, Aurora, Anschutz Medical Campus<sup>a</sup>",All institutions,"U. Colorado Denver, Aurora, Anschutz Medical Campus<sup>a</sup>",2,244310,233872,0,0,10303,0,135
4357,r008,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,231086,224890,448,0,5146,595,6
4357,r009,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,208579,185499,32,0,21655,600,794
4357,r010,All institutions -> U. Miami<sup>a</sup>,All institutions,U. Miami<sup>a</sup>,2,198488,193318,330,0,4840,0,0
4357,r011,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,169602,167322,0,0,2281,0,0
4357,r012,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,114484,99851,4232,0,10276,0,124
4357,r013,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,113313,109185,1011,0,2114,0,1003
4357,r014,"All institutions -> U. Texas Health Science Center, Houston<sup>a</sup>",All institutions,"U. Texas Health Science Center, Houston<sup>a</sup>",2,112107,107310,0,0,4797,0,0
4357,r015,"All institutions -> U. Texas Health Science Center, San Antonio",All institutions,"U. Texas Health Science Center, San Antonio",2,96419,89928,0,0,6491,0,0
4357,r016,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,91605,80140,256,0,7750,0,3459
4357,r017,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,78620,77328,425,0,424,0,443
4357,r018,All institutions -> Florida International U.,All institutions,Florida International U.,2,70446,59840,2955,0,4043,1900,1709
4357,r019,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,70067,65404,0,0,4293,370,0
4357,r020,"All institutions -> New Mexico State U., Las Cruces",All institutions,"New Mexico State U., Las Cruces",2,50957,40546,0,0,6349,69,3994
4357,r021,All institutions -> U. Houston,All institutions,U. Houston,2,31579,31218,0,0,361,0,0
4357,r022,All institutions -> All other HHEs,All institutions,All other HHEs,2,599905,466068,18903,0,86139,1343,27453
