table_id,row_id,country_or_economy_and_field_full_path,country_or_economy_and_field_level_1,country_or_economy_and_field_level_2,country_or_economy_and_field_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
961,r001,China<sup>a</sup>,China<sup>a</sup>,,1,4528,4101,3744,3988,4222,4796,4982,5374,5532,5564
961,r002,China<sup>a</sup> -> Science and engineering,China<sup>a</sup>,Science and engineering,2,4148,3753,3457,3652,3906,4443,4650,4970,5144,5157
961,r003,China<sup>a</sup> -> Non-science and engineering,China<sup>a</sup>,Non-science and engineering,2,380,348,287,336,316,353,332,404,388,407
961,r004,India ,India ,,1,2318,2272,2142,2165,2248,2204,2316,2229,2199,1974
961,r005,India  -> Science and engineering,India ,Science and engineering,2,2158,2112,1994,2036,2142,2074,2208,2119,2089,1887
961,r006,India  -> Non-science and engineering,India ,Non-science and engineering,2,160,160,148,129,106,130,108,110,110,87
961,r007,South Korea ,South Korea ,,1,1442,1526,1381,1445,1472,1383,1284,1234,1229,1126
961,r008,South Korea  -> Science and engineering,South Korea ,Science and engineering,2,1153,1179,1076,1085,1132,1012,928,920,891,815
961,r009,South Korea  -> Non-science and engineering,South Korea ,Non-science and engineering,2,289,347,305,360,340,371,356,314,338,311
961,r010,Taiwan ,Taiwan ,,1,641,735,650,693,719,699,668,614,592,520
961,r011,Taiwan  -> Science and engineering,Taiwan ,Science and engineering,2,462,544,501,570,581,571,558,514,499,435
961,r012,Taiwan  -> Non-science and engineering,Taiwan ,Non-science and engineering,2,179,191,149,123,138,128,110,100,93,85
961,r013,Turkey ,Turkey ,,1,560,527,477,493,439,478,426,469,472,498
961,r014,Turkey  -> Science and engineering,Turkey ,Science and engineering,2,467,445,405,422,352,391,360,386,380,396
961,r015,Turkey  -> Non-science and engineering,Turkey ,Non-science and engineering,2,93,82,72,71,87,87,66,83,92,102
961,r016,Canada ,Canada ,,1,499,516,469,455,423,485,488,454,408,408
961,r017,Canada  -> Science and engineering,Canada ,Science and engineering,2,370,387,339,307,299,332,321,318,272,289
961,r018,Canada  -> Non-science and engineering,Canada ,Non-science and engineering,2,129,129,130,148,124,153,167,136,136,119
961,r019,Iran ,Iran ,,1,137,141,147,198,287,409,483,629,695,771
961,r020,Iran  -> Science and engineering,Iran ,Science and engineering,2,132,,,193,278,380,463,608,664,732
961,r021,Iran  -> Non-science and engineering,Iran ,Non-science and engineering,2,5,,,5,9,29,20,21,31,39
961,r022,Thailand ,Thailand ,,1,330,242,222,266,260,264,231,220,185,172
961,r023,Thailand  -> Science and engineering,Thailand ,Science and engineering,2,291,220,182,235,240,227,200,193,168,154
961,r024,Thailand  -> Non-science and engineering,Thailand ,Non-science and engineering,2,39,22,40,31,20,37,31,27,17,18
961,r025,Japan ,Japan ,,1,256,256,236,244,240,217,173,164,166,117
961,r026,Japan  -> Science and engineering,Japan ,Science and engineering,2,209,193,173,179,179,166,129,120,129,92
961,r027,Japan  -> Non-science and engineering,Japan ,Non-science and engineering,2,47,63,63,65,61,51,44,44,37,25
961,r028,Mexico ,Mexico ,,1,204,215,201,185,213,177,193,194,221,180
961,r029,Mexico  -> Science and engineering,Mexico ,Science and engineering,2,161,171,169,159,185,146,161,155,191,146
961,r030,Mexico  -> Non-science and engineering,Mexico ,Non-science and engineering,2,43,44,32,26,28,31,32,39,30,34
