table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_dod_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5441,r001,All institutions,All institutions,,1,-,"['7,080,598', '']","['942,322', '']","['248,527', '']","['1,332,269', '']","['139,892', '']","['636,550', '']","['49,265', '']","['81,961', '']","['67,986', '']","['3,524,858', '']","['56,968', '']"
5441,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,373,241', '']","['177,731', '']","['12,316', '']","['60,399', '']","['85,182', '']","['188,145', '']","['536', '']","['4,039', '']","['39,256', '']","['805,637', '']","['0', '']"
5441,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['580,258', '']","['135,125', '']","['353', '']","['13,586', '']","['137', '']","['3,834', '']","['725', '']","['6,670', '']","['0', '']","['419,828', '']","['0', '']"
5441,r004,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,3,"['330,115', '']","['68,746', '']","['6,371', '']","['6,253', '']","['8,833', '']","['14,861', '']","['372', '']","['564', '']","['0', '']","['223,717', '']","['398', '']"
5441,r005,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,4,"['218,434', '']","['0', '']","['0', '']","['212,730', '']","['0', '']","['0', '']","['5,704', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5441,r006,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,5,"['178,548', '']","['38,092', '']","['228', '']","['4,855', '']","['882', '']","['30,678', '']","['365', '']","['237', '']","['313', '']","['102,069', '']","['829', '']"
5441,r007,All institutions -> Utah State U.,All institutions,Utah State U.,2,6,"['153,330', '']","['0', '']","['0', '']","['936', '']","['0', '']","['123', '']","['0', '']","['135', '']","['0', '']","['152,136', '']","['0', '']"
5441,r008,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,7,"['134,685', '']","['23,828', '']","['1,207', '']","['5,351', '']","['1,220', '']","['8,504', '']","['202', '']","['886', '']","['554', '']","['91,616', '']","['1,317', '']"
5441,r009,All institutions -> U. Southern California,All institutions,U. Southern California,2,8,"['130,708', '']","['83,624', '']","['89', '']","['13,437', '']","['22', '']","['4,019', '']","['365', '']","['780', '']","['0', '']","['26,835', '']","['1,537', '']"
5441,r010,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,9,"['119,510', '']","['441', '']","['71,087', '']","['17,220', '']","['4', '']","['6,123', '']","['1,060', '']","['749', '']","['0', '']","['22,826', '']","['0', '']"
