table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
9611,r001,All doctorate recipients (number),All doctorate recipients (number),,,1,57596,35311,19633,3354,1262,98,8,3586,12862,2647,740,23320,3551,1210,124,425,532,671,554
9611,r002,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,,2,,,,,,,,,,,,,,,,,,,
9611,r003,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Teaching assistantships,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Teaching assistantships,3,21.7,19.8,25.0,19.0,24.6,13.9,,19.3,25.1,10.5,29.6,21.0,24.4,19.6,17.5,23.4,,20.8,30.7
9611,r004,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Research or other assistantships or traineeships<sup>c</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Research or other assistantships or traineeships<sup>c</sup>,3,35.0,27.9,47.7,21.4,34.8,12.7,,33.9,52.6,14.2,37.8,29.6,38.7,26.5,29.2,23.8,,30.4,39.3
9611,r005,"All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Fellowships, scholarships, or dissertation grants",All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,"Fellowships, scholarships, or dissertation grants",3,24.6,27.6,19.3,36.3,28.7,45.6,,31.1,16.5,27.8,18.0,25.5,25.0,33.6,38.3,24.8,,25.0,24.3
9611,r006,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Own resources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Own resources,3,14.6,20.3,4.3,19.9,3.2,24.1,,13.3,4.0,41.7,12.5,19.2,4.0,17.0,5.0,22.3,,20.2,4.3
9611,r007,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Employer or other sources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Employer or other sources,3,4.1,4.3,3.7,3.4,8.6,3.8,12.5,2.5,1.9,5.8,2.1,4.6,7.8,3.3,10.0,5.7,15.3,3.6,1.4
9611,r008,All doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,2,61.5,62.0,62.4,62.7,67.9,51.2,,60.6,61.9,47.2,59.4,64.0,64.1,64.3,,53.5,,48.5,50.0
9611,r009,All doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number),Master's earned (%),,2,73.6,71.0,79.5,70.5,81.7,88.1,,67.4,76.1,87.0,86.6,70.0,89.2,65.4,82.6,76.4,,74.1,80.6
9611,r010,All doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),3,44.8,50.3,36.2,52.0,40.5,43.2,,49.0,37.6,40.0,33.7,51.4,30.9,56.5,35.0,49.6,,46.8,34.4
9611,r011,All doctorate recipients (number) -> Marital status (%),All doctorate recipients (number),Marital status (%),,2,,,,,,,,,,,,,,,,,,,
9611,r012,All doctorate recipients (number) -> Marital status (%) -> Not married<sup>e</sup>,All doctorate recipients (number),Marital status (%),Not married<sup>e</sup>,3,39.9,37.2,50.1,38.7,42.5,34.7,,41.0,54.9,47.6,44.7,35.9,47.9,42.9,48.4,25.2,,9.4,9.7
