table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_product_innovation_number_yes,field_product_innovation_number_no,field_product_innovation_percent_yes,field_product_innovation_percent_no
5634,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['    4,805,151 ', '&nbsp;']","['    919,293 ', '&nbsp;']","['    3,885,858 ', '&nbsp;']","['    19.1 ', '&nbsp;']","['    80.9 ', '&nbsp;']"
5634,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5634,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['    4,170,180 ', '&nbsp;']","['    763,495 ', '&nbsp;']","['    3,406,685 ', '&nbsp;']","['    18.3 ', '&nbsp;']","['    81.7 ', '&nbsp;']"
5634,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['    473,828 ', '&nbsp;']","['    123,950 ', '&nbsp;']","['    349,878 ', '&nbsp;']","['    26.2 ', '&nbsp;']","['    73.8 ', '&nbsp;']"
5634,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['    94,492 ', '&nbsp;']","['    20,210 ', '&nbsp;']","['    74,282 ', '&nbsp;']","['    21.4 ', '&nbsp;']","['    78.6 ', '&nbsp;']"
5634,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['    21,567 ', '&nbsp;']","['    4,070 ', '&nbsp;']","['    17,497 ', '&nbsp;']","['    18.9 ', '&nbsp;']","['    81.1 ', '&nbsp;']"
5634,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['    5,446 ', '&nbsp;']","['    928 ', '&nbsp;']","['    4,518 ', '&nbsp;']","['    17.0 ', '&nbsp;']","['    83.0 ', '&nbsp;']"
5634,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5634,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['    271,545 ', '&nbsp;']","['    60,494 ', '&nbsp;']","['    211,051 ', '&nbsp;']","['    22.3 ', '&nbsp;']","['    77.7 ', '&nbsp;']"
5634,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['    41,138 ', '&nbsp;']","['    9,249 ', '&nbsp;']","['    31,889 ', '&nbsp;']","['    22.5 ', '&nbsp;']","['    77.5 ', '&nbsp;']"
5634,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['    4,449,259 ', '&nbsp;']","['    842,098 ', '&nbsp;']","['    3,607,161 ', '&nbsp;']","['    18.9 ', '&nbsp;']","['    81.1 ', '&nbsp;']"
5634,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5634,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['    853,539 ', '&nbsp;']","['    206,018 ', '&nbsp;']","['    647,521 ', '&nbsp;']","['    24.1 ', '&nbsp;']","['    75.9 ', '&nbsp;']"
5634,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['    376,112 ', '&nbsp;']","['    81,614 ', '&nbsp;']","['    294,498 ', '&nbsp;']","['    21.7 ', '&nbsp;']","['    78.3 ', '&nbsp;']"
5634,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['    71,956 ', '&nbsp;']","['    15,955 ', '&nbsp;']","['    56,001 ', '&nbsp;']","['    22.2 ', '&nbsp;']","['    77.8 ', '&nbsp;']"
5634,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['    3,836,446 ', '&nbsp;']","['    689,871 ', '&nbsp;']","['    3,146,575 ', '&nbsp;']","['    18.0 ', '&nbsp;']","['    82.0 ', '&nbsp;']"
5634,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['    43,211 ', '&nbsp;']","['    7,453 ', '&nbsp;']","['    35,758 ', '&nbsp;']","['    17.2 ', '&nbsp;']","['    82.8 ', '&nbsp;']"
