table_id,row_id,type_of_r_d_and_type_of_performer_full_path,type_of_r_d_and_type_of_performer_level_1,type_of_r_d_and_type_of_performer_level_2,type_of_r_d_and_type_of_performer_level_3,type_of_r_d_and_type_of_performer_level_4,type_of_r_d_and_type_of_performer_level_5,type_of_r_d_and_type_of_performer_hierarchy_depth,field_2019,field_2020,field_2021_preliminary_,field__change_2019_20,field__change_2020_21_preliminary_
6133,r001,Total R&D obligations,Total R&D obligations,,,,,1,142424,167403,179465,17.5,7.2
6133,r002,Total R&D obligations -> By agency,Total R&D obligations,By agency,,,,2,,,,,
6133,r003,Total R&D obligations -> By agency -> DOD,Total R&D obligations,By agency,DOD,,,3,58780,66695,69297,13.5,3.9
6133,r004,Total R&D obligations -> By agency -> DOE,Total R&D obligations,By agency,DOE,,,3,14376,13453,15070,-6.4,12.0
6133,r005,Total R&D obligations -> By agency -> HHS,Total R&D obligations,By agency,HHS,,,3,39191,60006,68834,53.1,14.7
6133,r006,Total R&D obligations -> By agency -> NASA,Total R&D obligations,By agency,NASA,,,3,13570,10538,8799,-22.3,-16.5
6133,r007,Total R&D obligations -> By agency -> NSF,Total R&D obligations,By agency,NSF,,,3,5996,6351,6406,5.9,0.1
6133,r008,Total R&D obligations -> By agency -> All other agencies,Total R&D obligations,By agency,All other agencies,,,3,10511,10360,11059,-1.4,6.7
6133,r009,Total R&D obligations -> By performer,Total R&D obligations,By performer,,,,2,,,,,
6133,r010,Total R&D obligations -> By performer -> Intramural<sup>a</sup>,Total R&D obligations,By performer,Intramural<sup>a</sup>,,,3,39313,51472,64209,30.9,24.7
6133,r011,Total R&D obligations -> By performer -> Extramural<sup>b</sup>,Total R&D obligations,By performer,Extramural<sup>b</sup>,,,3,103111,115931,115256,12.4,-0.6
6133,r012,Research obligations,Research obligations,,,,,1,81118,85305,85156,5.2,-0.2
6133,r013,Research obligations -> By agency,Research obligations,By agency,,,,2,,,,,
6133,r014,Research obligations -> By agency -> DOD,Research obligations,By agency,DOD,,,3,8268,8915,9250,7.8,3.8
6133,r015,Research obligations -> By agency -> DOE,Research obligations,By agency,DOE,,,3,11370,10525,11470,-7.4,9.0
