table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_medical_school_r_d_expenditures
8016,r001,Alabama,Alabama,,,1,"['', '']","['', '']"
8016,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']"
8016,r003,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['644,330', '']","['460,741', '']"
8016,r004,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['47,610', '']","['23,869', '']"
8016,r005,Arizona,Arizona,,,1,"['', '']","['', '']"
8016,r006,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']"
8016,r007,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['770,031', '']","['261,081', '']"
8016,r008,Arkansas,Arkansas,,,1,"['', '']","['', '']"
8016,r009,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']"
8016,r010,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['194,709', '']","['194,708', '']"
8016,r011,California,California,,,1,"['', '']","['', '']"
8016,r012,California -> Public,California,Public,,2,"['', '']","['', '']"
8016,r013,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['817,409', '']","['225,347', '']"
8016,r014,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['523,752', '']","['182,213', '']"
8016,r015,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['1,454,880', '']","['936,434', '']"
8016,r016,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['189,600', '']","['15,470', '']"
8016,r017,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['1,425,499', '']","['574,570', '']"
8016,r018,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['1,710,036', '']","['1,486,618', '']"
8016,r019,California -> Private,California,Private,,2,"['', '']","['', '']"
8016,r020,California -> Private -> Charles R. Drew U. of Medicine and Science<sup>a</sup>,California,Private,Charles R. Drew U. of Medicine and Science<sup>a</sup>,3,"['13,228', '']","['1,706', '']"
8016,r021,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['14,029', '']","['11,962', '']"
8016,r022,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['1,274,483', '']","['874,048', '']"
8016,r023,California -> Private -> Touro U.,California,Private,Touro U.,3,"['3,489', '']","['1,121', '']"
