table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_dod_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10152,r001,All institutions,All institutions,,1,-,"['7,978,816', '']","['1,008,407', '']","['265,345', '']","['1,398,169', '']","['172,278', '']","['688,996', '']","['58,674', '']","['82,686', '']","['111,293', '']","['4,116,469', '']","['76,499', '']"
10152,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,476,638', '']","['201,905', '']","['15,739', '']","['74,722', '']","['108,423', '']","['194,633', '']","['129', '']","['3,965', '']","['56,531', '']","['820,591', '']","['0', '']"
10152,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['694,431', '']","['103,556', '']","['1,057', '']","['188', '']","['24', '']","['2,638', '']","['837', '']","['1,566', '']","['0', '']","['576,016', '']","['8,549', '']"
10152,r004,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,3,"['274,204', '']","['43,196', '']","['4,294', '']","['3,666', '']","['9,022', '']","['15,704', '']","['307', '']","['1,369', '']","['0', '']","['192,902', '']","['3,744', '']"
10152,r005,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,4,"['211,424', '']","['40,420', '']","['131', '']","['4,438', '']","['1,145', '']","['35,889', '']","['277', '']","['158', '']","['17', '']","['128,422', '']","['527', '']"
10152,r006,All institutions -> U. Dayton,All institutions,U. Dayton,2,5,"['192,587', '']","['9,845', '']","['312', '']","['224', '']","['0', '']","['466', '']","['0', '']","['0', '']","['0', '']","['181,381', '']","['359', '']"
10152,r007,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,6,"['182,363', '']","['0', '']","['0', '']","['168,254', '']","['0', '']","['0', '']","['14,109', '']","['0', '']","['0', '']","['0', '']","['0', '']"
10152,r008,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,7,"['135,575', '']","['36,942', '']","['762', '']","['5,195', '']","['879', '']","['14,994', '']","['117', '']","['61', '']","['612', '']","['75,466', '']","['547', '']"
10152,r009,All institutions -> Utah State U.,All institutions,Utah State U.,2,8,"['131,862', '']","['63', '']","['0', '']","['1,923', '']","['0', '']","['488', '']","['0', '']","['34', '']","['0', '']","['129,101', '']","['253', '']"
10152,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['130,164', '']","['18,131', '']","['455', '']","['23,696', '']","['819', '']","['17,291', '']","['444', '']","['11,909', '']","['20,505', '']","['36,842', '']","['72', '']"
