table_id,row_id,organization_and_program_by_fy_2017_rank_order_full_path,organization_and_program_by_fy_2017_rank_order_level_1,organization_and_program_by_fy_2017_rank_order_level_2,organization_and_program_by_fy_2017_rank_order_level_3,organization_and_program_by_fy_2017_rank_order_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1325,r001,"R&D and R&D plant<sup>c,d</sup>","R&D and R&D plant<sup>c,d</sup>",,,1,32542,32713,23750,0.5,-27.4
1325,r002,"R&D and R&D plant<sup>c,d</sup> -> National Cancer Institute","R&D and R&D plant<sup>c,d</sup>",National Cancer Institute,,2,5660,5651,5626,-0.2,-0.4
1325,r003,"R&D and R&D plant<sup>c,d</sup> -> National Institute of Allergy and Infectious Diseases","R&D and R&D plant<sup>c,d</sup>",National Institute of Allergy and Infectious Diseases,,2,4906,4873,4762,-0.7,-2.3
1325,r004,"R&D and R&D plant<sup>c,d</sup> -> National Heart, Lung, and Blood Institute","R&D and R&D plant<sup>c,d</sup>","National Heart, Lung, and Blood Institute",,2,3210,3185,3112,-0.8,-2.3
1325,r005,"R&D and R&D plant<sup>c,d</sup> -> National Institute of General Medical Sciences","R&D and R&D plant<sup>c,d</sup>",National Institute of General Medical Sciences,,2,2646,2633,2573,-0.5,-2.3
1325,r006,"R&D and R&D plant<sup>c,d</sup> -> National Institute on Aging","R&D and R&D plant<sup>c,d</sup>",National Institute on Aging,,2,2049,2035,1988,-0.7,-2.3
1325,r007,"R&D and R&D plant<sup>c,d</sup> -> National Institute of Diabetes and Digestive and Kidney Diseases","R&D and R&D plant<sup>c,d</sup>",National Institute of Diabetes and Digestive and Kidney Diseases,,2,2010,2008,1965,-0.1,-2.1
1325,r008,"R&D and R&D plant<sup>c,d</sup> -> National Institute of Neurological Disorders and Stroke","R&D and R&D plant<sup>c,d</sup>",National Institute of Neurological Disorders and Stroke,,2,1779,1772,1839,-0.4,3.8
1325,r009,"R&D and R&D plant<sup>c,d</sup> -> Office of the Director","R&D and R&D plant<sup>c,d</sup>",Office of the Director,,2,1729,1706,2004,-1.3,17.5
1325,r010,"R&D and R&D plant<sup>c,d</sup> -> National Institute of Mental Health","R&D and R&D plant<sup>c,d</sup>",National Institute of Mental Health,,2,1605,1591,1612,-0.8,1.3
1325,r011,"R&D and R&D plant<sup>c,d</sup> -> National Institute of Child Health and Human Development","R&D and R&D plant<sup>c,d</sup>",National Institute of Child Health and Human Development,,2,1377,1371,1340,-0.4,-2.3
