table_id,row_id,sex_ethnicity_race_and_disability_status_full_path,sex_ethnicity_race_and_disability_status_level_1,sex_ethnicity_race_and_disability_status_level_2,sex_ethnicity_race_and_disability_status_level_3,sex_ethnicity_race_and_disability_status_hierarchy_depth,field_all_occupations,field_all_managers,field_s_e_managers_all_s_e_managers,field_s_e_managers_computer_manager,field_s_e_managers_engineering_manager,field_s_e_managers_medical_health_manager,field_s_e_managers_natural_science_manager,field_non_s_e_managers_all_non_s_e_managers,field_non_s_e_managers_top_level_manager,field_non_s_e_managers_other_mid_level_manager,field_non_managers
3399,r001,Total,Total,,,1,15580000,1964000,662000,193000,298000,123000,47000,1303000,812000,490000,13616000
3399,r002,Total -> Female,Total,Female,,2,5972000,459000,146000,40000,29000,62000,16000,313000,182000,131000,5513000
3399,r003,Total -> Male,Total,Male,,2,9608000,1505000,516000,154000,269000,61000,32000,989000,630000,359000,8102000
3399,r004,Total -> Hispanic or Latino<sup>a</sup>,Total,Hispanic or Latino<sup>a</sup>,,2,1380000,154000,64000,18000,25000,18000,S,89000,41000,48000,1226000
3399,r005,Total -> Not Hispanic or Latino,Total,Not Hispanic or Latino,,2,,,,,,,,,,,
3399,r006,Total -> Not Hispanic or Latino -> American Indian or Alaska Native,Total,Not Hispanic or Latino,American Indian or Alaska Native,3,41000,5000,S,,,,,4000,S,S,36000
3399,r007,Total -> Not Hispanic or Latino -> Asian,Total,Not Hispanic or Latino,Asian,3,2461000,287000,104000,58000,33000,8000,5000,184000,119000,64000,2173000
3399,r008,Total -> Not Hispanic or Latino -> Black or African American,Total,Not Hispanic or Latino,Black or African American,3,933000,74000,27000,7000,7000,12000,S,46000,20000,26000,859000
3399,r009,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,3,35000,1000,,,,,,,,,33000
3399,r010,Total -> Not Hispanic or Latino -> White,Total,Not Hispanic or Latino,White,3,10399000,1411000,458000,108000,227000,85000,38000,953000,616000,337000,8988000
3399,r011,Total -> Not Hispanic or Latino -> More than one race,Total,Not Hispanic or Latino,More than one race,3,333000,33000,7000,3000,3000,,1000,26000,13000,13000,300000
3399,r012,Total -> Without disability,Total,Without disability,,2,14014000,1770000,611000,179000,274000,116000,42000,1159000,732000,427000,12245000
3399,r013,Total -> With disability,Total,With disability,,2,1565000,195000,51000,14000,24000,S,5000,144000,80000,64000,1371000
